symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
TASR,2012-12-31,False,FY,2012,10-K,114752748.0,22528520.0,14737742.0,0.27,0.27,0.0,116236251.0,79052516.0,18109259.0,36126791.0,87285046.0,26517213.0,1681055.0,-13363416.0,,,1333986.0
TASR,2013-03-31,False,Q1,2013,10-Q,30433652.0,5256508.0,3297821.0,0.06,0.06,0.0,117068110.0,80536626.0,16819316.0,38580384.0,88176363.0,4519584.0,1227107.0,-3319901.0,,,383089.0
TASR,2011-06-30,False,Q2,2011,10-Q,21198055.0,-5016545.0,-2294832.0,-0.04,-0.04,0.0,125552818.0,76101733.0,14898650.0,27719405.0,104655264.0,9155092.0,-11648260.0,-12495893.0,,,659872.0
TASR,2011-09-30,False,Q3,2011,10-Q,24383110.0,1212092.0,1136285.0,0.02,0.02,0.0,117158101.0,69579027.0,16213481.0,24574858.0,94086253.0,14637384.0,-7813187.0,-24845271.0,,,1171193.0
TASR,2012-03-31,False,Q1,2012,10-Q,25641392.0,6455017.0,3803818.0,0.07,0.07,0.0,107868257.0,65930972.0,14162196.0,24349583.0,87031937.0,3662675.0,-644103.0,14629.0,,,277267.0
AAXN,2018-12-31,False,FY,2018,10-K,2010058000.0,24841000.0,29205000.0,0.52,0.5,0.0,719540000.0,558155000.0,166011000.0,349462000.0,467324000.0,63875000.0,-9860000.0,219348000.0,0.0,24981000.0,11139000.0
TASR,2012-06-30,False,Q2,2012,10-Q,28222443.0,6058932.0,3442247.0,0.06,0.06,0.0,97760319.0,57295845.0,14818829.0,17970019.0,75287068.0,13384506.0,-968175.0,-15741666.0,,,602302.0
TASR,2012-09-30,False,Q3,2012,10-Q,28772956.0,5277315.0,3676872.0,0.07,0.07,0.0,102586737.0,63477555.0,17415288.0,25965711.0,76315379.0,23258163.0,676690.0,-19265477.0,,,887609.0
TASR,2013-06-30,False,Q2,2013,10-Q,32175797.0,6810214.0,4457534.0,0.09,0.08,0.0,113008186.0,75878540.0,19965160.0,19079341.0,79664846.0,12223269.0,-12004259.0,-17271486.0,,,838995.0
TASR,2014-03-31,False,Q1,2014,10-Q,36185000.0,4856000.0,3391000.0,0.06,0.06,0.0,164762000.0,113085000.0,24414000.0,45133000.0,123786000.0,4310000.0,-12308000.0,10852000.0,,2235000.0,799000.0
TASR,2011-12-31,False,FY,2011,10-K,90027906.0,-10915933.0,-7039866.0,-0.12,-0.12,0.0,104962751.0,61732423.0,15887897.0,21300733.0,82455554.0,17265765.0,-7597642.0,-31061610.0,,,1854083.0
TASR,2013-12-31,False,FY,2013,10-K,137831000.0,27948000.0,18244000.0,0.35,0.34,0.0,148382000.0,97467000.0,23129000.0,42271000.0,108347000.0,32426000.0,-23062000.0,-3189000.0,,2235000.0,1783000.0
TASR,2014-06-30,False,Q2,2014,10-Q,37175000.0,6212000.0,3884000.0,0.07,0.07,0.0,149357000.0,102433000.0,20309000.0,25943000.0,110467000.0,5962000.0,-14443000.0,-7872000.0,,2235000.0,1222000.0
TASR,2014-09-30,False,Q3,2014,10-Q,44349000.0,12513000.0,7558000.0,0.14,0.14,0.0,164140000.0,123199000.0,23776000.0,38615000.0,118042000.0,22638000.0,-17126000.0,-9284000.0,,2206000.0,2066000.0
TASR,2013-09-30,False,Q3,2013,10-Q,35196822.0,6880213.0,5113592.0,0.1,0.1,0.0,128492252.0,90449712.0,20724915.0,35005494.0,92144841.0,23086514.0,-13236410.0,-10968934.0,,,1174420.0
TASR,2015-03-31,False,Q1,2015,10-Q,44762000.0,10745000.0,7205000.0,0.14,0.13,0.0,195811000.0,143170000.0,30121000.0,46848000.0,140034000.0,13008000.0,-16708000.0,2081000.0,,2206000.0,424000.0
TASR,2015-06-30,False,Q2,2015,10-Q,46713000.0,9374000.0,6103000.0,0.11,0.11,0.0,212153000.0,151300000.0,31693000.0,40354000.0,153885000.0,10969000.0,-27196000.0,8133000.0,,7786000.0,1770000.0
TASR,2014-12-31,False,FY,2014,10-K,164525000.0,32505000.0,19918000.0,0.38,0.37,0.0,185368000.0,139828000.0,31973000.0,48367000.0,129106000.0,35432000.0,-24581000.0,-4840000.0,,2206000.0,2505000.0
TASR,2016-06-30,False,Q2,2016,10-Q,58756000.0,6210000.0,3650000.0,0.07,0.07,0.0,228695000.0,153775000.0,52193000.0,37306000.0,134430000.0,10336000.0,1646000.0,-34520000.0,,9100000.0,1964000.0
TASR,2015-09-30,False,Q3,2015,10-Q,50376000.0,6706000.0,1521000.0,0.03,0.03,0.0,213477000.0,150155000.0,33006000.0,45887000.0,149486000.0,30314000.0,-33293000.0,429000.0,,9313000.0,3839000.0
TASR,2016-03-31,False,Q1,2016,10-Q,55530000.0,5142000.0,3463000.0,0.06,0.06,0.0,237108000.0,164416000.0,48403000.0,53365000.0,153226000.0,7093000.0,-3637000.0,-9722000.0,,9179000.0,1280000.0
TASR,2015-12-31,False,FY,2015,10-K,197892000.0,35335000.0,19933000.0,0.37,0.36,0.0,229881000.0,161409000.0,38140000.0,59526000.0,157004000.0,46445000.0,-36009000.0,603000.0,,9596000.0,6003000.0
AAXN,2017-03-31,False,Q1,2017,10-Q,79242000.0,5350000.0,4580000.0,0.09,0.09,0.0,299518000.0,180338000.0,90488000.0,41974000.0,157390000.0,-6609000.0,9884000.0,-1877000.0,,13001000.0,2343000.0
TASR,2016-09-30,False,Q3,2016,10-Q,71882000.0,11086000.0,3843000.0,0.07,0.07,0.0,252200000.0,168448000.0,67770000.0,50600000.0,141328000.0,21959000.0,2285000.0,-33801000.0,,8885000.0,3335000.0
AAXN,2017-06-30,False,Q2,2017,10-Q,79643000.0,824000.0,2276000.0,0.04,0.04,0.0,316311000.0,190954000.0,94844000.0,28038000.0,163461000.0,-12446000.0,2037000.0,-1347000.0,,13183000.0,5741000.0
TASR,2016-12-31,False,FY,2016,10-K,268245000.0,31851000.0,17297000.0,0.33,0.32,0.0,278163000.0,177231000.0,78039000.0,40651000.0,150888000.0,17925000.0,-3045000.0,-34661000.0,0.0,10442000.0,4957000.0
AAXN,2018-06-30,False,Q2,2018,10-Q,2010058000.0,5299000.0,8485000.0,0.15,0.15,0.0,642397000.0,486966000.0,120898000.0,307507000.0,448842000.0,16106000.0,-7226000.0,223197000.0,,24684000.0,4665000.0
AAXN,2018-03-31,False,Q1,2018,10-Q,80974000.0,13583000.0,12926000.0,0.24,0.24,0.0,392985000.0,258970000.0,128710000.0,92330000.0,199329000.0,18053000.0,1268000.0,-3430000.0,,14947000.0,1063000.0
AAXN,2017-12-31,False,FY,2017,10-K,343798000.0,13023000.0,5207000.0,0.1,0.1,0.0,338112000.0,205192000.0,107950000.0,75105000.0,167444000.0,18490000.0,19082000.0,-3854000.0,0.0,14927000.0,10419000.0
AAXN,2017-09-30,False,Q3,2017,10-Q,90262000.0,-799000.0,422000.0,0.01,0.01,0.0,327607000.0,188741000.0,100091000.0,43471000.0,166080000.0,-5835000.0,9551000.0,-1600000.0,,14923000.0,9072000.0
AAXN,2018-09-30,False,Q3,2018,10-Q,2010058000.0,3966000.0,5711000.0,0.1,0.1,0.0,681695000.0,524387000.0,141505000.0,324371000.0,459662000.0,32636000.0,-6003000.0,222158000.0,,25043000.0,6880000.0
