symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ABCB,2011-09-30,False,Q3,2011,10-Q,68510000.0,,15643000.0,0.67,0.66,0.0,3010379000.0,,,55761000.0,294422000.0,35638000.0,264789000.0,-318992000.0,,956000.0,9573000.0
ABCB,2011-06-30,False,Q2,2011,10-Q,41897000.0,,1307000.0,0.06,0.06,0.0,2857237000.0,,,68552000.0,277158000.0,9857000.0,104280000.0,-119911000.0,,956000.0,2459000.0
ABCB,2011-12-31,False,FY,2011,10-K,193878000.0,,17852000.0,0.76,0.76,0.0,2994307000.0,,,65528000.0,293770000.0,46166000.0,278505000.0,-333469000.0,,956000.0,12023000.0
ABCB,2018-12-31,False,FY,2018,10-K,531738000.0,,121027000.0,2.81,2.8,0.4,11443515000.0,,,679527000.0,1456347000.0,-108803000.0,-53314000.0,510986000.0,70000000.0,503434000.0,10009000.0
ABCB,2012-09-30,False,Q3,2012,10-Q,41482000.0,,1076000.0,0.05,0.04,0.0,2949383000.0,,,57289000.0,299206000.0,28943000.0,447243000.0,-484425000.0,,956000.0,6642000.0
ABCB,2012-06-30,False,Q2,2012,10-Q,41882000.0,,1678000.0,0.07,0.07,0.0,2920311000.0,,,60126000.0,300939000.0,25024000.0,323204000.0,-353630000.0,,956000.0,4744000.0
ABCB,2012-03-31,False,Q1,2012,10-Q,59546000.0,,4550000.0,0.19,0.19,0.0,3043234000.0,,,64963000.0,297697000.0,7722000.0,215009000.0,-223296000.0,,956000.0,1075000.0
ABCB,2013-06-30,False,Q2,2013,10-Q,43335000.0,,6236000.0,0.26,0.26,0.0,2808675000.0,,,50343000.0,287777000.0,23694000.0,159504000.0,-213111000.0,,956000.0,2117000.0
ABCB,2013-03-31,False,Q1,2013,10-Q,42233000.0,,4844000.0,0.2,0.2,0.0,2861651000.0,,,50487000.0,283722000.0,30921000.0,101645000.0,-162335000.0,,956000.0,1470000.0
ABCB,2012-12-31,False,FY,2012,10-K,187353000.0,,10858000.0,0.46,0.46,0.0,3019052000.0,,,80256000.0,279017000.0,32239000.0,414549000.0,-432060000.0,,956000.0,9065000.0
ABCB,2013-09-30,False,Q3,2013,10-Q,44037000.0,,6234000.0,0.26,0.26,0.0,2818502000.0,,,53516000.0,290356000.0,33502000.0,146621000.0,-206863000.0,,956000.0,4136000.0
ABCB,2014-03-31,False,Q1,2014,10-Q,50627000.0,,8064000.0,0.32,0.32,0.0,3487984000.0,,,71387000.0,300030000.0,32245000.0,161832000.0,-185645000.0,,35049000.0,464000.0
ABCB,2014-12-31,False,FY,2014,10-K,227402000.0,,38437000.0,1.48,1.46,0.15,4037077000.0,,,78036000.0,366028000.0,-5596000.0,143831000.0,-123154000.0,,63547000.0,5709000.0
ABCB,2013-12-31,False,FY,2013,10-K,172871000.0,,18280000.0,0.76,0.75,0.0,3667649000.0,,,62955000.0,316699000.0,33637000.0,40158000.0,-91096000.0,,35049000.0,5634000.0
ABCB,2014-09-30,False,Q3,2014,10-Q,61087000.0,,11663000.0,0.44,0.43,0.05,3999408000.0,,,69421000.0,353830000.0,-4893000.0,163641000.0,-152282000.0,,58879000.0,3779000.0
ABCB,2017-03-31,False,Q1,2017,10-Q,92756000.0,,21153000.0,0.59,0.59,0.1,7094856000.0,,,127164000.0,758216000.0,13253000.0,-24431000.0,172002000.0,0.0,125532000.0,1219000.0
ABCB,2015-06-30,False,Q2,2015,10-Q,64855000.0,,1308000.0,0.04,0.04,0.05,5205734000.0,,,115413000.0,486770000.0,-17264000.0,-5411000.0,60052000.0,,87367000.0,6595000.0
ABCB,2016-03-31,False,Q1,2016,10-Q,78845000.0,,12317000.0,0.38,0.37,0.05,6097771000.0,,,146863000.0,600828000.0,13479000.0,-100846000.0,-48960000.0,36000000.0,121512000.0,3694000.0
ABCB,2015-12-31,False,FY,2015,10-K,275979000.0,,40847000.0,1.29,1.27,0.2,5588940000.0,,,118518000.0,514759000.0,-25223000.0,-167860000.0,413287000.0,,90082000.0,12576000.0
ABCB,2015-09-30,False,Q3,2015,10-Q,76173000.0,,15627000.0,0.49,0.48,0.05,5216300000.0,,,114396000.0,502300000.0,-17989000.0,973000.0,53376000.0,,87701000.0,11057000.0
ABCB,2016-06-30,False,Q2,2016,10-Q,87719000.0,,20049000.0,0.58,0.57,0.05,6221294000.0,,,116255000.0,625915000.0,-16041000.0,-230842000.0,40848000.0,36000000.0,121422000.0,6878000.0
ABCB,2017-09-30,False,Q3,2017,10-Q,103321000.0,,20158000.0,0.54,0.54,0.1,7649820000.0,,,131071000.0,801921000.0,-95683000.0,-534723000.0,675936000.0,0.0,125532000.0,3016000.0
ABCB,2018-03-31,False,Q1,2018,10-Q,105976000.0,,26660000.0,0.7,0.7,0.1,8022828000.0,,,334875000.0,868944000.0,48497000.0,-158307000.0,114027000.0,0.0,208513000.0,1133000.0
ABCB,2016-12-31,False,FY,2016,10-K,344866000.0,,72100000.0,2.1,2.08,0.3,6892031000.0,,,127164000.0,646437000.0,-69767000.0,-802865000.0,680454000.0,38000000.0,125532000.0,10977000.0
ABCB,2017-12-31,False,FY,2017,10-K,398804000.0,,73548000.0,2.0,1.98,0.4,7856203000.0,,,139313000.0,804479000.0,-62562000.0,-666907000.0,861742000.0,0.0,125532000.0,3760000.0
ABCB,2018-09-30,False,Q3,2018,10-Q,151290000.0,,41444000.0,0.87,0.87,0.1,11428994000.0,,,629257000.0,1404977000.0,-93536000.0,-159394000.0,551529000.0,70000000.0,505604000.0,7335000.0
ABCB,2015-03-31,False,Q1,2015,10-Q,59943000.0,,9764000.0,0.32,0.32,0.05,4152904000.0,,,80142000.0,489783000.0,12288000.0,-119800000.0,109618000.0,,63547000.0,2999000.0
ABCB,2014-06-30,False,Q2,2014,10-Q,54426000.0,,8130000.0,0.32,0.32,0.05,3973135000.0,,,80986000.0,343399000.0,15907000.0,165404000.0,-163280000.0,,58903000.0,2223000.0
ABCB,2018-06-30,False,Q2,2018,10-Q,121253000.0,,9387000.0,0.24,0.24,0.1,11190697000.0,,,424709000.0,1371896000.0,-55465000.0,-190711000.0,340227000.0,70000000.0,504764000.0,3066000.0
ABCB,2017-06-30,False,Q2,2017,10-Q,99600000.0,,23087000.0,0.62,0.62,0.1,7397858000.0,,,139500000.0,782682000.0,-68328000.0,-305530000.0,452784000.0,0.0,125532000.0,2373000.0
ABCB,2016-09-30,False,Q3,2016,10-Q,91074000.0,,21557000.0,0.62,0.61,0.1,6493495000.0,,,123270000.0,642583000.0,-62250000.0,-399381000.0,285139000.0,36000000.0,122545000.0,8250000.0
