symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ABIO,2012-03-31,False,Q1,2012,10-Q,,-1406000.0,-1407000.0,-0.12,-0.12,0.0,4958000.0,4702000.0,594000.0,4227000.0,4356000.0,-1656000.0,45054000.0,-60000.0,,,1879000.0
ABIO,2012-06-30,False,Q2,2012,10-Q,,-1145000.0,-1146000.0,-0.09,-0.09,0.0,3816000.0,3590000.0,529000.0,3182000.0,3287000.0,-2633000.0,45053000.0,54105000.0,,,1880000.0
ABIO,2018-12-31,False,FY,2018,10-K,0.0,-8118000.0,-7933000.0,-0.57,-0.57,0.0,6825000.0,6777000.0,793000.0,6608000.0,6032000.0,-8244000.0,3046000.0,3104000.0,,,4000.0
ABIO,2011-06-30,False,Q2,2011,10-Q,,-1704000.0,294000.0,0.03,0.03,0.0,8581000.0,7827000.0,1004000.0,7463000.0,7545000.0,-4047000.0,45048000.0,52846000.0,,,1861000.0
ABIO,2011-09-30,False,Q3,2011,10-Q,,-1821000.0,-1822000.0,-0.17,-0.17,0.0,6498000.0,6088000.0,661000.0,5748000.0,5812000.0,-5723000.0,45049000.0,52806000.0,,,1861000.0
ABIO,2012-09-30,False,Q3,2012,10-Q,,-928000.0,-927000.0,-0.07,-0.07,0.0,3462000.0,3265000.0,286000.0,3081000.0,3176000.0,-3408000.0,45053000.0,54779000.0,,,1880000.0
ABIO,2012-12-31,False,FY,2012,10-K,0.0,-4319000.0,-4320000.0,-1.94,-1.94,0.0,3212000.0,3045000.0,305000.0,2920000.0,2907000.0,-4078000.0,45054000.0,1055000.0,,,1879000.0
ABIO,2013-09-30,False,Q3,2013,10-Q,,-1725000.0,-1723000.0,-0.16,-0.16,0.0,19138000.0,19011000.0,769000.0,18632000.0,18369000.0,-3416000.0,45026000.0,74443000.0,,,1907000.0
ABIO,2013-06-30,False,Q2,2013,10-Q,,-1198000.0,-3225000.0,-0.65,-0.65,0.0,20783000.0,20658000.0,750000.0,20374000.0,20033000.0,-1740000.0,45037000.0,74498000.0,,,1896000.0
ABIO,2013-03-31,False,Q1,2013,10-Q,0.0,-1070000.0,-1071000.0,-0.35,-0.35,0.0,4139000.0,3993000.0,828000.0,3537000.0,3311000.0,-764000.0,-9000.0,1390000.0,,,1888000.0
ABIO,2011-12-31,False,FY,2011,10-K,,-7361000.0,-5364000.0,-0.53,-0.53,0.0,6502000.0,6212000.0,754000.0,5943000.0,5732000.0,-6959000.0,2006000.0,3871000.0,,,1879000.0
ABIO,2013-12-31,False,FY,2013,10-K,,-6940000.0,-8965000.0,-1.04,-1.04,0.0,17084000.0,16925000.0,1502000.0,16756000.0,15581000.0,-5288000.0,-32000.0,19156000.0,,,1911000.0
ABIO,2016-03-31,False,Q1,2016,10-Q,0.0,-3668000.0,-3647000.0,-0.4,-0.4,0.0,36928000.0,31018000.0,2344000.0,29717000.0,34584000.0,-3883000.0,-5202000.0,,,,1000.0
