symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ABMD,2011-09-30,False,Q2,2011,10-Q,29478000.0,766000.0,601000.0,0.02,0.02,0.0,131610000.0,86928000.0,15434000.0,5338000.0,111399000.0,-6290000.0,-2138000.0,7997000.0,,37562000.0,1137000.0
ABMD,2018-12-31,False,Q3,2019,10-Q,200563000.0,62355000.0,44862000.0,1.0,0.97,0.0,957116000.0,628728000.0,92980000.0,84181000.0,851530000.0,181806000.0,-80701000.0,-58794000.0,,33260000.0,35469000.0
ABMD,2011-06-30,False,Q1,2011,10-Q,27355000.0,-4421000.0,-4594000.0,-0.12,-0.12,0.0,131137000.0,83892000.0,15379000.0,4151000.0,111183000.0,-8556000.0,-973000.0,7629000.0,,39752000.0,472000.0
ABMD,2011-12-31,False,Q3,2011,10-Q,32198000.0,2233000.0,2921000.0,0.08,0.07,0.0,140626000.0,97982000.0,17860000.0,5092000.0,117778000.0,-1359000.0,-10922000.0,11983000.0,,35772000.0,1937000.0
ABMD,2013-06-30,False,Q1,2013,10-Q,42670000.0,-1307000.0,-1723000.0,-0.04,-0.04,0.0,170463000.0,106685000.0,23092000.0,11727000.0,141305000.0,-33000.0,888000.0,1505000.0,,35932000.0,711000.0
ABMD,2012-12-31,False,Q3,2012,10-Q,38250000.0,2918000.0,2684000.0,0.07,0.07,0.0,165009000.0,122002000.0,23289000.0,10757000.0,136045000.0,18841000.0,-5824000.0,-7883000.0,,36506000.0,2072000.0
ABMD,2012-06-30,False,Q1,2012,10-Q,38783000.0,3561000.0,3119000.0,0.08,0.08,0.0,154902000.0,113791000.0,19115000.0,3989000.0,130520000.0,4318000.0,-6470000.0,990000.0,,34741000.0,470000.0
ABMD,2012-03-31,False,FY,2012,10-K,126375000.0,1520000.0,1495000.0,0.04,0.04,0.0,153911000.0,110539000.0,22415000.0,5990000.0,126297000.0,3634000.0,-17480000.0,14680000.0,,36846000.0,1745000.0
ABMD,2012-09-30,False,Q2,2012,10-Q,37417000.0,5932000.0,5469000.0,0.14,0.13,0.0,165846000.0,124034000.0,19703000.0,4497000.0,140672000.0,11132000.0,-14873000.0,2525000.0,,35512000.0,1623000.0
ABMD,2013-03-31,False,FY,2013,10-K,158124000.0,16543000.0,15014000.0,0.38,0.37,0.0,169999000.0,116605000.0,27056000.0,9451000.0,137080000.0,26399000.0,-10265000.0,-11811000.0,,35410000.0,2836000.0
ABMD,2013-09-30,False,Q2,2013,10-Q,44345000.0,1398000.0,1059000.0,0.03,0.03,0.0,181019000.0,110614000.0,24046000.0,10120000.0,150704000.0,5122000.0,-10085000.0,5204000.0,,37349000.0,1236000.0
ABMD,2014-03-31,False,FY,2014,10-K,183643000.0,8363000.0,7351000.0,0.19,0.18,0.0,205407000.0,117966000.0,30411000.0,20916000.0,168353000.0,23466000.0,-22272000.0,9632000.0,,37990000.0,2761000.0
ABMD,2014-09-30,False,Q2,2014,10-Q,51938000.0,4178000.0,3839000.0,0.09,0.09,0.0,215544000.0,135291000.0,27134000.0,17483000.0,175538000.0,9902000.0,-14973000.0,1944000.0,,36867000.0,1496000.0
ABMD,2014-06-30,False,Q1,2014,10-Q,48811000.0,-1538000.0,-1709000.0,-0.04,-0.04,0.0,206186000.0,127215000.0,28974000.0,34740000.0,170350000.0,3190000.0,10826000.0,-193000.0,,37694000.0,380000.0
ABMD,2013-12-31,False,Q3,2013,10-Q,46195000.0,4594000.0,4393000.0,0.11,0.11,0.0,193365000.0,119729000.0,26435000.0,22632000.0,160457000.0,13571000.0,-9117000.0,8113000.0,,38029000.0,2301000.0
ABMD,2014-12-31,False,Q3,2014,10-Q,62005000.0,13663000.0,12684000.0,0.31,0.3,0.0,240773000.0,160572000.0,31405000.0,19478000.0,195718000.0,25027000.0,-33700000.0,8008000.0,,35327000.0,2232000.0
ABMD,2015-09-30,False,Q2,2016,10-Q,76359000.0,12817000.0,7735000.0,0.18,0.17,0.0,373406000.0,265404000.0,34452000.0,54421000.0,331096000.0,28856000.0,-1718000.0,4995000.0,,32676000.0,3419000.0
ABMD,2015-12-31,False,Q3,2016,10-Q,85795000.0,17443000.0,10555000.0,0.25,0.23,0.0,391626000.0,281745000.0,37670000.0,53226000.0,345529000.0,54238000.0,-28083000.0,5268000.0,,31697000.0,7933000.0
ABMD,2015-03-31,False,FY,2015,10-K,230311000.0,28666000.0,113688000.0,2.8,2.65,0.0,338367000.0,220139000.0,39319000.0,22401000.0,291560000.0,43290000.0,-49863000.0,9523000.0,,31534000.0,5188000.0
ABMD,2015-06-30,False,Q1,2015,10-Q,73432000.0,15031000.0,8859000.0,0.21,0.2,0.0,352006000.0,244112000.0,36283000.0,40431000.0,308051000.0,10914000.0,5739000.0,1210000.0,,32243000.0,1863000.0
ABMD,2016-06-30,False,Q1,2017,10-Q,102995000.0,21233000.0,12910000.0,0.3,0.29,0.0,429312000.0,300288000.0,43219000.0,38274000.0,377327000.0,26380000.0,-25327000.0,-11222000.0,,32272000.0,5099000.0
ABMD,2016-09-30,False,Q2,2017,10-Q,102955000.0,14508000.0,8875000.0,0.21,0.2,0.0,474898000.0,319870000.0,51922000.0,54709000.0,398441000.0,43736000.0,-28003000.0,-9527000.0,,32582000.0,10453000.0
ABMD,2016-12-31,False,Q3,2017,10-Q,114674000.0,25403000.0,15432000.0,0.36,0.34,0.0,500964000.0,333419000.0,58871000.0,61069000.0,417380000.0,77861000.0,-57109000.0,-6533000.0,,30562000.0,24039000.0
ABMD,2017-03-31,False,FY,2017,10-K,445304000.0,90138000.0,52116000.0,1.21,1.17,0.0,550414000.0,326958000.0,69617000.0,39040000.0,452071000.0,115116000.0,-126333000.0,3867000.0,,31045000.0,50415000.0
ABMD,2016-03-31,False,FY,2016,10-K,329543000.0,65104000.0,38147000.0,0.9,0.85,0.0,423931000.0,288392000.0,46541000.0,48231000.0,368775000.0,76795000.0,-57710000.0,7160000.0,,33003000.0,15624000.0
ABMD,2017-09-30,False,Q2,2018,10-Q,132823000.0,31726000.0,24503000.0,0.56,0.54,0.0,694653000.0,370170000.0,63358000.0,44536000.0,604886000.0,79451000.0,-60593000.0,-13294000.0,,34332000.0,17675000.0
ABMD,2017-06-30,False,Q1,2018,10-Q,132468000.0,33078000.0,37374000.0,0.85,0.82,0.0,652217000.0,350915000.0,59005000.0,43970000.0,567044000.0,36294000.0,-17208000.0,-14434000.0,,33199000.0,9804000.0
ABMD,2017-12-31,False,Q3,2018,10-Q,154022000.0,44766000.0,13446000.0,0.3,0.29,0.0,719602000.0,422198000.0,75353000.0,50502000.0,632482000.0,136147000.0,-112307000.0,-11688000.0,,34814000.0,44168000.0
