symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ABR,2011-12-31,False,FY,2011,10-K,24168370.0,,-40311713.0,-1.61,-1.61,0.0,1776714330.0,,,55236479.0,173060533.0,-389622.0,-40348973.0,-5149490.0,85457708.0,,
ABR,2018-12-31,False,FY,2018,10-K,466262000.0,157782000.0,108312000.0,1.54,1.5,0.0,4612175000.0,,,160063000.0,1065566000.0,-37735000.0,-681875000.0,816507000.0,3367052000.0,56626000.0,
ABR,2011-09-30,False,Q3,2011,10-Q,7807389.0,,-2442229.0,-0.1,-0.1,0.0,1749448086.0,,,59352275.0,197670151.0,-4693480.0,-11232659.0,-25846150.0,85457708.0,,
ABR,2012-03-31,False,Q1,2012,10-Q,9023161.0,,4161780.0,0.17,0.17,0.0,1753500765.0,,,53455266.0,180580380.0,-435500.0,-13010682.0,11664969.0,85457708.0,,
ABR,2011-06-30,False,Q2,2011,10-Q,8264317.0,,-10354735.0,-0.41,-0.41,0.0,1763634233.0,,,42396026.0,207059649.0,-10682976.0,-3789844.0,-44255718.0,85457708.0,,
ABR,2012-09-30,False,Q3,2012,10-Q,7884029.0,,2060329.0,0.07,0.07,0.1,1666978182.0,,,40848637.0,212324133.0,11452522.0,6147061.0,-31987425.0,5500000.0,,
ABR,2012-06-30,False,Q2,2012,10-Q,8312794.0,,15546018.0,0.62,0.62,0.075,1690969525.0,,,64281810.0,212392596.0,7159822.0,33773180.0,-31887671.0,5500000.0,,
ABR,2013-12-31,False,FY,2013,10-K,27829358.0,,16667955.0,0.39,0.39,0.5,1877472482.0,,,60389552.0,437596282.0,22522344.0,-200076986.0,208755305.0,703600000.0,,
ABR,2013-06-30,False,Q2,2013,10-Q,8231822.0,,2995866.0,0.07,0.07,0.12,1933342583.0,,,50712074.0,397224070.0,13102533.0,-219950013.0,228370665.0,5500000.0,,
ABR,2013-03-31,False,Q1,2013,10-Q,8895434.0,,6640239.0,0.2,0.19,0.12,1856950128.0,,,77964567.0,363389020.0,1855664.0,-82374849.0,129294863.0,5500000.0,,
ABR,2012-12-31,False,FY,2012,10-K,30173754.0,,21500888.0,0.8,0.79,0.285,1701881280.0,,,29188889.0,231261122.0,20166051.0,-46533678.0,320037.0,5500000.0,,
ABR,2013-09-30,False,Q3,2013,10-Q,6939947.0,,3664679.0,0.08,0.08,0.13,1976560005.0,,,64658561.0,437751720.0,22518732.0,-224372281.0,237323221.0,649200000.0,,
