symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ACET,2018-12-31,False,Q2,2019,10-Q,163649000.0,-15068000.0,-22350000.0,-0.63,-0.63,0.0,753159000.0,504687000.0,503734000.0,41782000.0,50311000.0,-54499000.0,180000.0,-4171000.0,317121000.0,1862000.0,498000.0
ACET,2011-09-30,False,Q1,2012,10-Q,101317000.0,4950000.0,3033000.0,0.11,0.11,0.0,292355000.0,180425000.0,64567000.0,32186000.0,161372000.0,5913000.0,63000.0,-1570000.0,,33568000.0,114000.0
ACET,2011-12-31,False,Q2,2012,10-Q,110707000.0,7116000.0,4588000.0,0.17,0.17,0.0,300673000.0,189674000.0,73836000.0,28242000.0,161571000.0,5084000.0,-961000.0,-3007000.0,,33522000.0,545000.0
ACET,2012-12-31,False,Q2,2013,10-Q,113956000.0,6612000.0,4513000.0,0.17,0.17,0.055,315447000.0,209489000.0,78152000.0,25326000.0,179261000.0,2049000.0,-978000.0,-1105000.0,47651000.0,33541000.0,765000.0
ACET,2013-03-31,False,Q3,2013,10-Q,150871000.0,11746000.0,7593000.0,0.28,0.28,0.055,333282000.0,228486000.0,91160000.0,35423000.0,185169000.0,17417000.0,-1588000.0,-5460000.0,43868000.0,33512000.0,902000.0
ACET,2012-03-31,False,Q3,2012,10-Q,121415000.0,7574000.0,5379000.0,0.2,0.2,0.0,309804000.0,201018000.0,79450000.0,26611000.0,168649000.0,9833000.0,-2206000.0,-8629000.0,,33549000.0,692000.0
ACET,2012-09-30,False,Q1,2013,10-Q,111748000.0,7613000.0,4820000.0,0.18,0.18,0.055,300044000.0,193602000.0,66900000.0,24343000.0,173627000.0,-2942000.0,472000.0,1709000.0,48217000.0,33515000.0,327000.0
ACET,2012-06-30,False,FY,2012,10-K,444388000.0,25366000.0,16981000.0,0.64,0.63,0.2,299280000.0,191969000.0,73641000.0,24862000.0,168003000.0,13269000.0,-42000.0,-15295000.0,45765000.0,33495000.0,1098000.0
ACET,2013-06-30,False,FY,2013,10-K,499690000.0,34416000.0,22328000.0,0.83,0.81,0.22,323430000.0,218300000.0,89907000.0,33231000.0,194640000.0,23731000.0,-1451000.0,-14306000.0,32069000.0,33526000.0,1022000.0
ACET,2013-09-30,False,Q1,2014,10-Q,129261000.0,17416000.0,11335000.0,0.41,0.4,0.06,333262000.0,228887000.0,89667000.0,35058000.0,208438000.0,8010000.0,-412000.0,-6388000.0,26253000.0,33563000.0,356000.0
ACET,2013-12-31,False,Q2,2014,10-Q,116508000.0,10743000.0,6755000.0,0.24,0.24,0.06,339762000.0,235868000.0,89973000.0,41967000.0,218022000.0,15953000.0,-812000.0,-7409000.0,24453000.0,33804000.0,562000.0
ACET,2014-09-30,False,Q1,2015,10-Q,130803000.0,8623000.0,4828000.0,0.17,0.17,0.0,460764000.0,271212000.0,110251000.0,40669000.0,234987000.0,-899000.0,-2229000.0,2420000.0,108305000.0,66432000.0,225000.0
ACET,2015-09-30,False,Q1,2016,10-Q,133500000.0,15518000.0,9298000.0,0.32,0.32,0.0,490646000.0,307399000.0,105160000.0,30830000.0,265175000.0,2974000.0,-5772000.0,-614000.0,110108000.0,67883000.0,312000.0
ACET,2014-03-31,False,Q3,2014,10-Q,124830000.0,7078000.0,5356000.0,0.19,0.19,0.06,349862000.0,246909000.0,100121000.0,34383000.0,223407000.0,13086000.0,-1199000.0,-11532000.0,22404000.0,33804000.0,709000.0
