symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ACHN,2018-12-31,False,FY,2018,10-K,,-75914000.0,-70272000.0,-0.51,-0.51,0.0,277858000.0,275380000.0,11829000.0,49829000.0,266012000.0,-62012000.0,66316000.0,2029000.0,,,515000.0
ACHN,2011-09-30,False,Q3,2011,10-Q,64000.0,-10473000.0,-10438000.0,-0.15,-0.15,0.0,93355000.0,67265000.0,8406000.0,23388000.0,82195000.0,-25652000.0,-37774000.0,61441000.0,,,593000.0
ACHN,2012-06-30,False,Q2,2012,10-Q,,-11559000.0,-11527000.0,-0.16,-0.16,0.0,63845000.0,62317000.0,9929000.0,18264000.0,53392000.0,-21193000.0,21529000.0,1818000.0,863000.0,,576000.0
ACHN,2013-03-31,False,Q1,2013,10-Q,100000.0,-11793000.0,-11738000.0,-0.14,-0.14,0.0,205835000.0,149357000.0,10580000.0,39398000.0,195000000.0,-13170000.0,-99190000.0,133232000.0,611000.0,,143000.0
ACHN,2012-09-30,False,Q3,2012,10-Q,,-15288000.0,-15255000.0,-0.2,-0.2,0.0,94871000.0,83660000.0,12760000.0,20841000.0,81675000.0,-33347000.0,-6229000.0,44307000.0,781000.0,,628000.0
ACHN,2011-12-31,False,FY,2011,10-K,247000.0,-44347000.0,-44206000.0,-0.69,-0.69,0.0,82630000.0,55092000.0,8944000.0,16110000.0,70968000.0,-35562000.0,-35238000.0,61537000.0,,,732000.0
ACHN,2012-12-31,False,FY,2012,10-K,2607000.0,-47293000.0,-47127000.0,-0.64,-0.64,0.0,81530000.0,67867000.0,9136000.0,18526000.0,72047000.0,-46534000.0,4635000.0,44315000.0,697000.0,,656000.0
ACHN,2014-06-30,False,Q2,2014,10-Q,0.0,-15766000.0,-15657000.0,-0.16,-0.16,0.0,135182000.0,133590000.0,9207000.0,33268000.0,125975000.0,-27166000.0,25696000.0,1281000.0,164000.0,,246000.0
ACHN,2014-03-31,False,Q1,2014,10-Q,100000.0,-16235000.0,-16088000.0,-0.17,-0.17,0.0,147982000.0,142631000.0,9533000.0,34121000.0,138449000.0,-13358000.0,14185000.0,-163000.0,256000.0,,218000.0
ACHN,2013-06-30,False,Q2,2013,10-Q,100000.0,-20113000.0,-19940000.0,-0.21,-0.21,0.0,190928000.0,137048000.0,13854000.0,17237000.0,176910000.0,-26411000.0,-108320000.0,133442000.0,525000.0,,238000.0
ACHN,2012-03-31,False,Q1,2012,10-Q,2489000.0,-9192000.0,-9141000.0,-0.13,-0.13,0.0,73962000.0,66973000.0,9398000.0,29489000.0,63953000.0,-11121000.0,22768000.0,1732000.0,611000.0,,475000.0
ACHN,2014-09-30,False,Q3,2014,10-Q,0.0,-15764000.0,-15667000.0,-0.16,-0.16,0.0,130571000.0,128677000.0,10968000.0,39610000.0,119603000.0,-39344000.0,36502000.0,8995000.0,110000.0,,317000.0
ACHN,2013-09-30,False,Q3,2013,10-Q,100000.0,-14076000.0,-13919000.0,-0.14,-0.14,0.0,176061000.0,141933000.0,11538000.0,25630000.0,164413000.0,-39661000.0,-86627000.0,133392000.0,436000.0,,245000.0
ACHN,2014-12-31,False,FY,2014,10-K,100000.0,-69426000.0,-69008000.0,-0.7,-0.7,0.0,156807000.0,154875000.0,13059000.0,73664000.0,143469000.0,-55524000.0,43340000.0,52391000.0,474000.0,,947000.0
ACHN,2015-03-31,False,Q1,2015,10-Q,0.0,-19399000.0,-19263000.0,-0.17,-0.17,0.0,279415000.0,255578000.0,13014000.0,46723000.0,266001000.0,-17321000.0,-148577000.0,138957000.0,613000.0,,74000.0
ACHN,2013-12-31,False,FY,2013,10-K,0.0,-59477000.0,-58947000.0,-0.63,-0.63,0.0,162417000.0,124782000.0,9403000.0,33457000.0,152958000.0,-53636000.0,-65034000.0,133601000.0,347000.0,,408000.0
ACHN,2011-06-30,False,Q2,2011,10-Q,56000.0,-11276000.0,-11250000.0,-0.19,-0.19,0.0,102834000.0,101847000.0,8040000.0,81925000.0,92004000.0,-16396000.0,11483000.0,61465000.0,,,497000.0
ACHN,2016-03-31,False,Q1,2016,10-Q,0.0,-18718000.0,-18054000.0,-0.13,-0.13,0.0,448656000.0,443041000.0,13463000.0,58745000.0,434868000.0,-16184000.0,-6742000.0,-54000.0,400000.0,,394000.0
ACHN,2015-09-30,False,Q3,2015,10-Q,33820000.0,16981000.0,26259000.0,0.19,0.19,0.0,479511000.0,465258000.0,49483000.0,150431000.0,429740000.0,21195000.0,-245208000.0,300780000.0,507000.0,,611000.0
ACHN,2015-12-31,False,FY,2015,10-K,66122000.0,-15107000.0,-5030000.0,-0.04,-0.04,0.0,464525000.0,462588000.0,14658000.0,81725000.0,449636000.0,5577000.0,-298654000.0,301138000.0,454000.0,,704000.0
ACHN,2015-06-30,False,Q2,2015,10-Q,711000.0,-29188000.0,-28978000.0,-0.25,-0.25,0.0,266091000.0,249516000.0,23816000.0,61698000.0,241930000.0,-34235000.0,-119229000.0,141498000.0,561000.0,,321000.0
ACHN,2016-06-30,False,Q2,2016,10-Q,,-19309000.0,-18493000.0,-0.14,-0.14,0.0,432355000.0,429100000.0,12836000.0,33777000.0,419255000.0,-33127000.0,-14908000.0,87000.0,344000.0,,1255000.0
ACHN,2017-06-30,False,Q2,2017,10-Q,0.0,-23616000.0,-22543000.0,-0.16,-0.16,0.0,376919000.0,355156000.0,14020000.0,35391000.0,362576000.0,-22657000.0,-18981000.0,-232000.0,,,334000.0
ACHN,2017-03-31,False,Q1,2017,10-Q,0.0,-21143000.0,-20152000.0,-0.15,-0.15,0.0,393353000.0,383426000.0,10631000.0,43079000.0,382346000.0,-5800000.0,-28116000.0,-266000.0,,,214000.0
ACHN,2016-09-30,False,Q3,2016,10-Q,,-21549000.0,-20730000.0,-0.15,-0.15,0.0,415193000.0,411843000.0,13761000.0,40362000.0,401211000.0,-48498000.0,7103000.0,32000.0,289000.0,,1765000.0
ACHN,2018-06-30,False,Q2,2018,10-Q,0.0,-18561000.0,-17199000.0,-0.12,-0.12,0.0,302789000.0,291905000.0,8127000.0,35121000.0,294559000.0,-37310000.0,27054000.0,1881000.0,,,352000.0
ACHN,2018-03-31,False,Q1,2018,10-Q,0.0,-21815000.0,-20588000.0,-0.15,-0.15,0.0,315566000.0,309500000.0,8138000.0,36922000.0,307270000.0,-24098000.0,16278000.0,1246000.0,,,178000.0
ACHN,2018-09-30,False,Q3,2018,10-Q,0.0,-17364000.0,-15884000.0,-0.12,-0.12,0.0,289177000.0,286434000.0,8624000.0,36291000.0,280506000.0,-50310000.0,41252000.0,1853000.0,,,468000.0
ACHN,2016-12-31,False,FY,2016,10-K,15000000.0,-64865000.0,-61706000.0,-0.45,-0.45,0.0,413875000.0,382535000.0,13971000.0,77261000.0,399454000.0,-65653000.0,60669000.0,520000.0,652000.0,,2508000.0
ACHN,2017-09-30,False,Q3,2017,10-Q,0.0,-20463000.0,-19338000.0,-0.14,-0.14,0.0,360442000.0,327006000.0,14436000.0,52094000.0,345737000.0,-39229000.0,14353000.0,-291000.0,,,547000.0
ACHN,2017-12-31,False,FY,2017,10-K,,-89576000.0,-85236000.0,-0.62,-0.62,0.0,337613000.0,303938000.0,12884000.0,43496000.0,324515000.0,-59478000.0,25975000.0,-262000.0,,,626000.0
