symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ACIW,2010-06-30,False,Q2,2010,10-Q,92423000.0,4366000.0,-150000.0,0.0,0.0,0.0,552516000.0,249047000.0,172638000.0,117757000.0,217267000.0,17098000.0,-9387000.0,-13897000.0,,199737000.0,2406000.0
ACIW,2011-03-31,False,Q1,2011,10-Q,104543000.0,7498000.0,1622000.0,0.05,0.05,0.0,615453000.0,285600000.0,273377000.0,168882000.0,265658000.0,17943000.0,-24017000.0,2107000.0,,218403000.0,5188000.0
ACIW,2018-12-31,False,FY,2018,10-K,1009780000.0,125911000.0,68921000.0,0.59,0.59,0.0,2122455000.0,566477000.0,296620000.0,148502000.0,1048231000.0,183932000.0,-45360000.0,-57704000.0,671756000.0,909691000.0,18265000.0
ACIW,2011-06-30,False,Q2,2011,10-Q,113366000.0,10422000.0,9800000.0,0.29,0.29,0.0,613647000.0,288180000.0,265671000.0,170807000.0,279540000.0,25484000.0,-30264000.0,2836000.0,,219315000.0,7870000.0
ACIW,2011-09-30,False,Q3,2011,10-Q,112149000.0,11268000.0,10539000.0,0.31,0.31,0.0,614702000.0,291239000.0,185970000.0,179700000.0,287765000.0,52235000.0,-43006000.0,1126000.0,,215864000.0,9310000.0
ACIW,2012-03-31,False,Q1,2012,10-Q,137625000.0,-1613000.0,-1822000.0,-0.05,-0.05,0.0,1228676000.0,416613000.0,298831000.0,201080000.0,529175000.0,-12614000.0,-273040000.0,288769000.0,,487535000.0,1316000.0
ACIW,2010-09-30,False,Q3,2010,10-Q,97017000.0,7388000.0,2336000.0,0.07,0.07,0.0,581393000.0,268508000.0,271006000.0,143902000.0,226713000.0,49133000.0,-14955000.0,-18146000.0,,204615000.0,4157000.0
ACIW,2012-06-30,False,Q2,2012,10-Q,149797000.0,-7858000.0,-4651000.0,-0.12,-0.12,0.0,1202999000.0,373833000.0,292000000.0,149616000.0,495586000.0,-18067000.0,-281990000.0,254563000.0,,480900000.0,3392000.0
ACIW,2011-12-31,False,FY,2011,10-K,465095000.0,66231000.0,45852000.0,1.37,1.34,0.0,664642000.0,341864000.0,227057000.0,197098000.0,317330000.0,83462000.0,-47683000.0,-8721000.0,,214144000.0,10668000.0
ACIW,2013-06-30,False,Q2,2013,10-Q,205830000.0,11522000.0,1881000.0,0.05,0.05,0.0,1533724000.0,417915000.0,321509000.0,107741000.0,508419000.0,57631000.0,-277830000.0,256182000.0,473125000.0,625990000.0,9050000.0
ACIW,2012-12-31,False,FY,2012,10-K,666579000.0,74372000.0,48846000.0,1.26,1.22,0.0,1250886000.0,356126000.0,266599000.0,76329000.0,534357000.0,-9265000.0,-342940000.0,233901000.0,,501141000.0,13050000.0
ACIW,2012-09-30,False,Q3,2012,10-Q,155062000.0,8308000.0,5655000.0,0.14,0.14,0.0,1220802000.0,337506000.0,305149000.0,87682000.0,477233000.0,-12742000.0,-339868000.0,243705000.0,,505787000.0,10032000.0
ACIW,2013-03-31,False,Q1,2013,10-Q,161997000.0,-4009000.0,-2166000.0,-0.05,-0.05,0.0,1557316000.0,422026000.0,311527000.0,112484000.0,525726000.0,34927000.0,-273207000.0,278767000.0,482500000.0,603669000.0,6241000.0
ACIW,2010-12-31,False,FY,2010,10-K,418424000.0,53648000.0,27195000.0,0.81,0.8,0.0,601529000.0,294809000.0,270764000.0,171310000.0,255623000.0,81308000.0,-19349000.0,-17575000.0,,203935000.0,4957000.0
ACIW,2013-12-31,False,FY,2013,10-K,864928000.0,123048000.0,63868000.0,1.63,1.6,0.0,1681851000.0,436362000.0,345600000.0,95059000.0,543694000.0,138418000.0,-410714000.0,291640000.0,755383000.0,669217000.0,21104000.0
