symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AEHR,2011-11-30,False,Q2,2012,10-Q,3860000.0,-1439000.0,-1373000.0,-0.15,-0.15,0.0,11908000.0,11024000.0,3318000.0,3126000.0,8253000.0,-2419000.0,1357000.0,114000.0,,,-18000.0
AEHR,2018-11-30,False,Q2,2019,10-Q,5911000.0,-565000.0,-629000.0,-0.03,-0.03,0.0,29901000.0,28541000.0,11618000.0,14002000.0,17884000.0,-2957000.0,-103000.0,312000.0,,,103000.0
AEHR,2012-02-29,False,Q3,2012,10-Q,2855000.0,-1350000.0,-1361000.0,-0.15,-0.15,0.0,10456000.0,9697000.0,3082000.0,2975000.0,7050000.0,-3206000.0,1355000.0,830000.0,716000.0,,20000.0
AEHR,2012-05-31,False,FY,2012,10-K,15521000.0,-4507000.0,-3389000.0,-0.38,-0.38,0.0,11613000.0,10928000.0,4855000.0,2073000.0,6454000.0,-4875000.0,1330000.0,1576000.0,1408000.0,,45000.0
AEHR,2011-08-31,False,Q1,2012,10-Q,4130000.0,-881000.0,124000.0,0.01,0.01,0.0,12946000.0,11941000.0,3133000.0,3892000.0,9424000.0,-1620000.0,1368000.0,0.0,,,-7000.0
AEHR,2013-02-28,False,Q3,2013,10-Q,3340000.0,-1431000.0,-1458000.0,-0.16,-0.16,0.0,9415000.0,8878000.0,4524000.0,1381000.0,4532000.0,-303000.0,-126000.0,-13000.0,1215000.0,,126000.0
AEHR,2012-08-31,False,Q1,2013,10-Q,4832000.0,-263000.0,-296000.0,-0.03,-0.03,0.0,12108000.0,11495000.0,5426000.0,1901000.0,6409000.0,-272000.0,-16000.0,111000.0,1452000.0,,16000.0
AEHR,2012-11-30,False,Q2,2013,10-Q,5054000.0,-767000.0,-811000.0,-0.09,-0.09,0.0,11452000.0,10925000.0,5351000.0,1192000.0,5845000.0,-1229000.0,-21000.0,457000.0,1685000.0,,21000.0
AEHR,2013-08-31,False,Q1,2014,10-Q,3752000.0,-157000.0,-166000.0,-0.02,-0.02,0.0,11444000.0,11120000.0,6200000.0,2435000.0,5052000.0,172000.0,-6000.0,-95000.0,947000.0,,6000.0
AEHR,2013-05-31,False,FY,2013,10-K,16488000.0,-3307000.0,-3419000.0,-0.36,-0.36,0.0,10975000.0,10522000.0,5701000.0,2324000.0,4994000.0,-310000.0,-127000.0,1065000.0,1101000.0,,127000.0
AEHR,2013-11-30,False,Q2,2014,10-Q,4950000.0,179000.0,137000.0,0.01,0.01,0.0,11626000.0,11299000.0,5651000.0,2494000.0,5823000.0,435000.0,-52000.0,-202000.0,476000.0,,52000.0
AEHR,2015-02-28,False,Q3,2015,10-Q,2027000.0,-1763000.0,-1726000.0,-0.14,-0.14,0.0,10749000.0,10153000.0,4833000.0,2274000.0,5908000.0,-1640000.0,-106000.0,2465000.0,115000.0,,106000.0
