symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AEL,2011-06-30,False,Q2,2011,10-Q,294947000.0,,18274000.0,0.31,0.28,0.0,28566771000.0,,,949484000.0,1039532000.0,185545000.0,-1351777000.0,1517950000.0,337239000.0,,3552000.0
AEL,2011-09-30,False,Q3,2011,10-Q,-30771000.0,,-13068000.0,-0.22,-0.22,0.0,29875937000.0,,,572314000.0,1359537000.0,100039000.0,-2413156000.0,2287665000.0,340552000.0,,4643000.0
AEL,2018-12-31,False,FY,2018,10-K,1547098000.0,,458016000.0,5.07,5.01,0.28,61625564000.0,,,344396000.0,2399101000.0,43185000.0,-2408331000.0,1275497000.0,242982000.0,,4283000.0
AEL,2012-03-31,False,Q1,2012,10-Q,599729000.0,,10471000.0,0.18,0.16,0.0,33038533000.0,,,2527113000.0,1373584000.0,457720000.0,1153852000.0,510589000.0,300567000.0,,191000.0
AEL,2012-09-30,False,Q3,2012,10-Q,503935000.0,,-7829000.0,-0.13,-0.13,0.0,34597773000.0,,,2397434000.0,1714953000.0,829648000.0,-420918000.0,1583752000.0,306696000.0,,378000.0
AEL,2013-03-31,False,Q1,2013,10-Q,735179000.0,,26031000.0,0.41,0.38,0.0,36852969000.0,,,882097000.0,1730229000.0,369616000.0,-1270294000.0,514230000.0,313043000.0,,78000.0
AEL,2011-12-31,False,FY,2011,10-K,1139775000.0,,86248000.0,1.45,1.37,0.12,30874719000.0,,,404952000.0,1408679000.0,277791000.0,-3605833000.0,3135228000.0,297608000.0,,5265000.0
AEL,2012-06-30,False,Q2,2012,10-Q,192979000.0,,18759000.0,0.31,0.3,0.0,33133602000.0,,,1407830000.0,1577651000.0,500423000.0,-506484000.0,1008939000.0,303595000.0,,273000.0
AEL,2012-12-31,False,FY,2012,10-K,1588558000.0,,57798000.0,0.94,0.89,0.0,35133478000.0,,,1268545000.0,1720237000.0,784314000.0,-2129490000.0,2208769000.0,309869000.0,,738000.0
AEL,2013-06-30,False,Q1,2013,10-Q,438932000.0,,120113000.0,1.87,1.71,0.0,37288550000.0,,,746889000.0,1442076000.0,491264000.0,-2376814000.0,1363894000.0,303126000.0,,288000.0
AEL,2013-09-30,False,Q3,2013,10-Q,572882000.0,,56181000.0,0.86,0.75,0.0,38713147000.0,,,934931000.0,1394668000.0,604424000.0,-3318556000.0,2380518000.0,691452000.0,,621000.0
AEL,2013-12-31,False,FY,2013,10-K,2610692000.0,,253283000.0,3.86,3.38,0.18,39621499000.0,,,897529000.0,1384687000.0,862668000.0,-3879296000.0,2645612000.0,549958000.0,,948000.0
AEL,2014-03-31,False,Q1,2014,10-Q,445505000.0,,-9753000.0,-0.13,-0.13,0.0,40544496000.0,,,679172000.0,1654949000.0,48163000.0,-626567000.0,360047000.0,521758000.0,,200000.0
AEL,2015-06-30,False,Q2,2015,10-Q,441094000.0,,82845000.0,1.07,1.05,0.0,46247482000.0,,,733814000.0,1907762000.0,265497000.0,-2253934000.0,2020737000.0,422163000.0,,592000.0
AEL,2015-03-31,False,Q1,2015,10-Q,408995000.0,,5903000.0,0.08,0.07,0.0,45388715000.0,,,293764000.0,2326720000.0,-140215000.0,-1059890000.0,792355000.0,421919000.0,,295000.0
AEL,2014-06-30,False,Q2,2014,10-Q,670737000.0,,36744000.0,0.49,0.46,0.0,42003696000.0,,,1464533000.0,1913810000.0,395381000.0,-716740000.0,888363000.0,474361000.0,,622000.0
AEL,2015-09-30,False,Q3,2015,10-Q,126965000.0,,97306000.0,1.22,1.19,0.0,47128421000.0,,,523614000.0,2149909000.0,71095000.0,-3627109000.0,3378114000.0,400000000.0,,913000.0
AEL,2016-03-31,False,Q1,2016,10-Q,417604000.0,,-44841000.0,-0.55,-0.55,0.0,51262936000.0,,,707177000.0,2234316000.0,141612000.0,-956073000.0,1123889000.0,393482000.0,,244000.0
AEL,2015-12-31,False,FY,2015,10-K,1518937000.0,,219830000.0,2.78,2.72,0.22,49041163000.0,,,397749000.0,1944535000.0,504804000.0,-5577205000.0,4768636000.0,400000000.0,,1313000.0
AEL,2016-06-30,False,Q2,2016,10-Q,549802000.0,,14708000.0,0.18,0.18,0.0,53721328000.0,,,1547041000.0,2613390000.0,422380000.0,-1403136000.0,2130048000.0,393739000.0,,506000.0
AEL,2016-09-30,False,Q3,2016,10-Q,630060000.0,,-7420000.0,-0.09,-0.09,0.0,55848221000.0,,,812814000.0,2812862000.0,944506000.0,-3488711000.0,2959270000.0,493445000.0,,872000.0
AEL,2014-09-30,False,Q3,2014,10-Q,460396000.0,,67815000.0,0.9,0.85,0.0,42953529000.0,,,788800000.0,1975076000.0,487353000.0,-2197967000.0,1601885000.0,475295000.0,,777000.0
AEL,2017-09-30,False,Q3,2017,10-Q,905953000.0,,56957000.0,0.64,0.63,0.0,60379715000.0,,,1285662000.0,2762667000.0,1264794000.0,-1907774000.0,1137376000.0,493972000.0,,3894000.0
AEL,2018-03-31,False,Q1,2018,10-Q,118872000.0,,140962000.0,1.57,1.55,0.0,61301324000.0,,,723784000.0,2546990000.0,-443176000.0,-661329000.0,394244000.0,494215000.0,,1099000.0
AEL,2014-12-31,False,FY,2014,10-K,2168973000.0,,126023000.0,1.69,1.58,0.2,43989734000.0,,,701514000.0,2139876000.0,707786000.0,-2947749000.0,2043948000.0,421679000.0,,1352000.0
