symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AETI,2012-06-30,False,Q2,2012,10-Q,12872000.0,168000.0,761000.0,0.1,0.09,0.0,36436000.0,21447000.0,7568000.0,3945000.0,19868000.0,-2091000.0,520000.0,1767000.0,,,300000.0
AETI,2018-09-30,False,Q3,2018,10-Q,3736000.0,-931000.0,3499000.0,0.39,0.32,0.0,18144000.0,7796000.0,5249000.0,5653000.0,8242000.0,-1851000.0,12673000.0,-7407000.0,,,97000.0
AETI,2011-06-30,False,Q2,2011,10-Q,11427000.0,-1280000.0,-727000.0,-0.09,-0.09,0.0,34782000.0,19147000.0,7081000.0,2556000.0,22157000.0,-548000.0,850000.0,890000.0,,,139000.0
AETI,2011-09-30,False,Q3,2011,10-Q,13704000.0,52000.0,359000.0,0.05,0.04,0.0,36329000.0,20297000.0,8309000.0,1871000.0,22609000.0,-1066000.0,711000.0,862000.0,,,183000.0
AETI,2012-03-31,False,Q1,2012,10-Q,14432000.0,-199000.0,334000.0,0.04,0.04,0.0,35950000.0,20947000.0,10108000.0,2653000.0,18154000.0,-729000.0,-242000.0,-125000.0,,,151000.0
AETI,2011-12-31,False,FY,2011,10-K,51940000.0,-1710000.0,-5888000.0,-0.75,-0.75,0.0,36231000.0,22347000.0,11104000.0,3749000.0,17521000.0,1052000.0,502000.0,831000.0,,,533000.0
AETI,2012-09-30,False,Q3,2012,10-Q,11725000.0,123000.0,500000.0,0.06,0.06,0.0,37482000.0,21532000.0,8182000.0,6084000.0,20538000.0,1153000.0,7000.0,1175000.0,,,-813000.0
AETI,2012-12-31,False,FY,2012,10-K,54065000.0,419000.0,2084000.0,0.26,0.25,0.0,38974000.0,22347000.0,10109000.0,4477000.0,20991000.0,845000.0,-220000.0,103000.0,554000.0,,1455000.0
AETI,2013-06-30,False,Q2,2013,10-Q,15169000.0,396000.0,1063000.0,0.13,0.12,0.0,44700000.0,26583000.0,12302000.0,5422000.0,23863000.0,1725000.0,-444000.0,-336000.0,,,550000.0
AETI,2013-03-31,False,Q1,2013,10-Q,14430000.0,602000.0,1653000.0,0.21,0.18,0.0,43034000.0,24812000.0,12113000.0,5203000.0,22732000.0,1259000.0,-277000.0,-256000.0,,,277000.0
AETI,2014-03-31,False,Q1,2014,10-Q,17400000.0,230000.0,494000.0,0.06,0.06,0.0,46948000.0,26486000.0,10946000.0,1725000.0,26433000.0,-2134000.0,-831000.0,542000.0,,,1661000.0
AETI,2013-09-30,False,Q3,2013,10-Q,17585000.0,756000.0,901000.0,0.11,0.1,0.0,45710000.0,27250000.0,12668000.0,4176000.0,24952000.0,-511000.0,613000.0,-403000.0,,,779000.0
AETI,2013-12-31,False,FY,2013,10-K,65330000.0,2450000.0,4209000.0,0.53,0.48,0.0,45836000.0,26595000.0,11313000.0,4148000.0,26035000.0,317000.0,-193000.0,-453000.0,500000.0,,2292000.0
AETI,2014-09-30,False,Q3,2014,10-Q,14283000.0,-2187000.0,-2089000.0,-0.26,-0.26,0.0,43522000.0,22480000.0,11814000.0,2384000.0,23245000.0,-71000.0,-2193000.0,-578000.0,,,4715000.0
AETI,2016-03-31,False,Q1,2016,10-Q,8298000.0,-2654000.0,-2971000.0,-0.36,-0.36,0.0,36887000.0,17498000.0,9398000.0,7109000.0,15595000.0,-1636000.0,-113000.0,850000.0,6500000.0,218000.0,113000.0
AETI,2015-06-30,False,Q2,2015,10-Q,12302000.0,205000.0,460000.0,0.06,0.06,0.0,43241000.0,22290000.0,9989000.0,8246000.0,22010000.0,2710000.0,721000.0,1265000.0,,,449000.0
AETI,2014-06-30,False,Q2,2014,10-Q,13430000.0,151000.0,-1408000.0,-0.17,-0.17,0.0,44828000.0,24801000.0,11242000.0,2900000.0,25156000.0,484000.0,-1035000.0,-303000.0,,,3603000.0
AETI,2015-03-31,False,Q1,2015,10-Q,15311000.0,275000.0,187000.0,0.02,0.02,0.0,43940000.0,22504000.0,11295000.0,2619000.0,21378000.0,-465000.0,-307000.0,-159000.0,0.0,,307000.0
AETI,2016-06-30,False,Q2,2016,10-Q,11444000.0,-368000.0,63000.0,0.01,0.01,0.0,37391000.0,18677000.0,10200000.0,3961000.0,15602000.0,-4221000.0,526000.0,-394000.0,5250000.0,409000.0,372000.0
AETI,2014-12-31,False,FY,2014,10-K,57254000.0,-3895000.0,-5072000.0,-0.62,-0.62,0.0,43254000.0,21935000.0,10587000.0,3550000.0,21272000.0,-2209000.0,-2039000.0,2848000.0,4000000.0,,4878000.0
