symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ARCT,2013-03-31,False,Q1,2013,10-Q,0.0,,-29000.0,,,0.0,743000.0,,,0.0,171000.0,0.0,,0.0,,,
AFIN,2018-12-31,False,FY,2018,10-K,291207000.0,28455000.0,-37409000.0,-0.36,-0.36,1.1,3262547000.0,,,91500000.0,1609735000.0,95037000.0,-188215000.0,75555000.0,1196113000.0,1605000.0,
ARCT,2014-06-30,False,Q2,2014,10-Q,42501000.0,4978000.0,-1872000.0,-0.03,-0.03,0.0,2225588000.0,,,25009000.0,1284382000.0,42631000.0,-508301000.0,389503000.0,470681000.0,,
ARCT,2013-06-30,False,Q2,2013,10-Q,35000.0,,-215000.0,-0.04,-0.04,0.0,360662000.0,,,346035000.0,356585000.0,-112000.0,-4414000.0,350561000.0,,,
ARCT,2014-09-30,False,Q3,2014,10-Q,43639000.0,5881000.0,-1631000.0,-0.03,-0.03,0.0,2212963000.0,,,55545000.0,1269635000.0,71662000.0,-495024000.0,377731000.0,470313000.0,,
ARCT,2013-09-30,False,Q3,2013,10-Q,2093000.0,-18156000.0,-17014000.0,-0.44,-0.44,0.0,1282354000.0,,,163056000.0,1254902000.0,-13494000.0,-1093039000.0,1269589000.0,,,
ARCT,2014-03-31,False,Q1,2014,10-Q,30272000.0,-7937000.0,-10589000.0,-0.17,-0.17,0.0,2109230000.0,,,17847000.0,1295384000.0,20707000.0,-422382000.0,318346000.0,431075000.0,,
AFIN,2015-09-30,False,Q3,2015,10-Q,44051000.0,7173000.0,-11428000.0,-0.17,-0.17,0.0,2388217000.0,,,171921000.0,1202990000.0,69798000.0,-90342000.0,117705000.0,1124363000.0,,
ARCT,2013-12-31,False,FY,2013,10-K,1216000.0,,,,,0.0,1347375000.0,,,101176000.0,1311814000.0,-13617000.0,-1225532000.0,1340325000.0,,,
AFIN,2016-09-30,False,Q3,2016,10-Q,44758000.0,3805000.0,-8729000.0,-0.13,-0.13,0.0,2129401000.0,,,143386000.0,1047739000.0,55754000.0,38161000.0,-81029000.0,1022344000.0,,
ARCT,2015-03-31,False,Q1,2015,10-Q,42866000.0,12316000.0,4901000.0,0.07,0.07,0.0,2214817000.0,,,94631000.0,1252579000.0,27807000.0,9253000.0,-17189000.0,469836000.0,,
AFIN,2017-03-31,False,Q1,2017,10-Q,57220000.0,-259000.0,-10717000.0,-0.05,-0.05,0.0,3377192000.0,,,44591000.0,1853252000.0,8409000.0,57671000.0,-152704000.0,1149227000.0,1069000.0,133000.0
ARCT,2014-12-31,False,FY,2014,10-K,158380000.0,22903000.0,-1997000.0,-0.03,-0.03,0.0,2229030000.0,,,74760000.0,1265165000.0,99811000.0,-490814000.0,364587000.0,470079000.0,,
AFIN,2016-12-31,False,FY,2016,10-K,177668000.0,-619000.0,-54255000.0,-0.83,-0.83,1.65,2064459000.0,,,131215000.0,984866000.0,73369000.0,37830000.0,-110484000.0,1022275000.0,,
AFIN,2015-12-31,False,FY,2015,10-K,174498000.0,33151000.0,-21117000.0,-0.32,-0.32,1.65,2257154000.0,,,130500000.0,1126749000.0,89458000.0,-61718000.0,28000000.0,1053648000.0,,
AFIN,2015-06-30,False,Q2,2015,10-Q,43269000.0,6419000.0,-1624000.0,-0.02,-0.02,0.0,2192348000.0,,,95733000.0,1237692000.0,50042000.0,9253000.0,-38322000.0,469601000.0,,
AFIN,2016-06-30,False,Q2,2016,10-Q,44277000.0,7758000.0,-4077000.0,-0.06,-0.06,0.0,2155989000.0,,,148993000.0,1075821000.0,38215000.0,38111000.0,-57833000.0,1022031000.0,,
AFIN,2017-06-30,False,Q2,2017,10-Q,71607000.0,4892000.0,-1021000.0,-0.01,-0.01,0.0,3306069000.0,,,56077000.0,1826655000.0,41426000.0,24436000.0,-141000000.0,1065258000.0,1069000.0,1447000.0
AFIN,2016-03-31,False,Q1,2016,10-Q,43786000.0,6735000.0,-5854000.0,-0.09,-0.09,0.0,2190229000.0,,,130794000.0,1094064000.0,20585000.0,22640000.0,-42931000.0,1034519000.0,,
AFIN,2017-09-30,False,Q3,2017,10-Q,69729000.0,-1177000.0,-15367000.0,-0.15,-0.15,0.0,3301575000.0,,,68543000.0,1782547000.0,64474000.0,-6861000.0,-120285000.0,1083079000.0,1605000.0,4344000.0
AFIN,2017-12-31,False,FY,2017,10-K,270910000.0,-1638000.0,-46494000.0,-0.36,-0.36,1.47,3296650000.0,,,107700000.0,1741056000.0,92464000.0,-19159000.0,-85156000.0,1303433000.0,1605000.0,
AFIN,2018-03-31,False,Q1,2018,10-Q,70119000.0,6879000.0,15401000.0,0.15,0.15,0.0,3236924000.0,,,71268000.0,1717585000.0,22348000.0,-24680000.0,-35385000.0,1292629000.0,1605000.0,
AFIN,2018-06-30,False,Q2,2018,10-Q,71108000.0,314000.0,-12041000.0,-0.11,-0.11,0.0,3194526000.0,,,58882000.0,1679953000.0,53828000.0,-53546000.0,-48992000.0,1224544000.0,1605000.0,
AFIN,2018-09-30,False,Q3,2018,10-Q,74888000.0,-11611000.0,-27245000.0,-0.26,-0.26,0.0,3264140000.0,,,60265000.0,1641051000.0,73761000.0,-163321000.0,42631000.0,1212137000.0,1605000.0,
AFIN,2017-12-31,True,FY,2017,10-K,270910000.0,-1638000.0,-46494000.0,-0.36,-0.36,1.47,3296650000.0,,,107700000.0,1741056000.0,92464000.0,-19159000.0,-85156000.0,1303433000.0,1605000.0,
