symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AGEN,2018-09-30,False,Q3,2018,10-Q,12802427.0,-26075289.0,-33730557.0,-0.29,-0.29,0.0,130475239.0,67635727.0,58190385.0,46169404.0,-131392618.0,-24600000.0,-2989385.0,84857491.0,,22959112.0,2995572.0
AGEN,2011-09-30,False,Q3,2011,10-Q,653681.0,-4440901.0,-5732025.0,-0.28,-0.28,0.0,24368790.0,15985121.0,5865389.0,14731726.0,-16070609.0,-12068581.0,-30597.0,7048928.0,,2572203.0,54547.0
AGEN,2011-12-31,False,FY,2011,10-K,2755772.0,-19086806.0,-24066675.0,-1.21,-1.21,0.0,19807530.0,12004079.0,4753639.0,10747951.0,-20830965.0,-16248911.0,-29462.0,7244348.0,,2572203.0,54547.0
AGEN,2011-06-30,False,Q2,2011,10-Q,786432.0,-4701516.0,-5955210.0,-0.05,-0.05,0.0,22231125.0,13295605.0,4806771.0,12016136.0,-17152293.0,-8670514.0,-30692.0,935366.0,,2572203.0,49867.0
AGEN,2012-06-30,False,Q2,2012,10-Q,626786.0,-5771403.0,-7120595.0,-0.31,-0.31,0.0,33268680.0,26476891.0,4587511.0,25456413.0,607800000.0,7925521.0,-65016.0,6847957.0,,2572203.0,65016.0
AGEN,2012-09-30,False,Q3,2012,10-Q,868804.0,-4541165.0,-5926986.0,-0.24,-0.24,0.0,32223748.0,25790273.0,4829088.0,24757867.0,613600000.0,4289959.0,-101051.0,9821008.0,,2572203.0,101051.0
AGEN,2013-09-30,False,Q3,2013,10-Q,735992.0,-6814782.0,-7369558.0,-0.24,-0.24,0.0,37669970.0,30876396.0,9652879.0,30204928.0,-2876950.0,-13988740.0,-296995.0,23022394.0,,2572203.0,-746995.0
AGEN,2013-06-30,False,Q2,2013,10-Q,807396.0,-7328286.0,-11192412.0,-0.4,-0.4,0.0,21370927.0,14446264.0,7176490.0,13444938.0,-17263039.0,-9558035.0,-591378.0,2126082.0,,2572203.0,-591378.0
AGEN,2013-03-31,False,Q1,2013,10-Q,1109242.0,-4609197.0,-8842205.0,-0.35,-0.35,0.0,25133075.0,18346244.0,5777765.0,17213958.0,-22684093.0,-3895348.0,-377323.0,18360.0,,2572203.0,-377323.0
AGENUS,2012-03-31,False,Q1,2012,10-Q,13374926.0,7800580.0,6569985.0,0.29,0.29,0.0,33205331.0,25952344.0,5507817.0,24585385.0,-10631978.0,11271609.0,0.0,2565825.0,,2572203.0,0.0
AGEN,2012-12-31,False,FY,2012,10-K,15960716.0,-6740543.0,-12116506.0,-0.51,-0.51,0.0,29092623.0,22614688.0,4812988.0,21468269.0,-17600157.0,1012602.0,-103442.0,9811158.0,,2572203.0,103442.0
AGEN,2014-03-31,False,Q1,2014,10-Q,720856.0,-9824170.0,-408539.0,-0.01,0.0,0.0,108303769.0,75259922.0,14372955.0,73491291.0,63285402.0,-10124346.0,341878.0,55908685.0,8800000.0,19635612.0,172592.0
AGEN,2014-06-30,False,Q2,2014,10-Q,3074088.0,-8219972.0,-7812842.0,-0.12,-0.12,0.0,100187697.0,67032088.0,18569232.0,48270380.0,57632709.0,-19620251.0,-14800067.0,55185742.0,7900000.0,19550840.0,771097.0
AGEN,2014-09-30,False,Q3,2014,10-Q,1563378.0,-7671904.0,-8160510.0,-0.13,-0.13,0.0,87631657.0,55218892.0,15609972.0,38386125.0,48870167.0,-27726599.0,-15108646.0,53542273.0,7100000.0,18482106.0,1105472.0
AGEN,2013-12-31,False,FY,2013,10-K,3045207.0,-24980112.0,-33232451.0,-1.12,-1.12,0.0,34835481.0,28174578.0,10295873.0,27351969.0,-4480703.0,-19532945.0,-363520.0,25780165.0,,2572203.0,813520.0
