symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AHH,2014-09-30,False,Q3,2014,10-Q,48245000.0,5386000.0,1615000.0,0.08,0.08,0.16,567335000.0,,,17101000.0,162755000.0,21292000.0,-87470000.0,64397000.0,54000000.0,,
AHH,2014-03-31,False,Q1,2014,10-Q,34427000.0,5108000.0,1465000.0,0.08,0.08,0.16,478912000.0,,,13444000.0,110038000.0,3213000.0,-25898000.0,17247000.0,,,
AHH,2013-09-30,False,Q3,2013,10-Q,36795000.0,5160000.0,745000.0,0.04,0.04,0.16,406851000.0,,,9775000.0,107951000.0,18188000.0,-29215000.0,11402000.0,,,
AHH,2013-06-30,False,Q2,2013,10-Q,37522000.0,2962000.0,4886000.0,0.26,0.26,0.08,399307000.0,,,14737000.0,111551000.0,6850000.0,-14333000.0,12820000.0,,,
AHH,2014-06-30,False,Q2,2014,10-Q,35814000.0,5174000.0,1325000.0,0.07,0.07,0.16,516115000.0,,,16271000.0,107200000.0,8997000.0,-55998000.0,44390000.0,,,
AHH,2018-12-31,False,FY,2018,10-K,193317000.0,32023000.0,17203000.0,0.36,0.36,0.8,1265382000.0,,,21254000.0,455890000.0,56087000.0,-240563000.0,185611000.0,694239000.0,,
AHH,2013-12-31,False,FY,2013,10-K,140036000.0,19659000.0,7336000.0,0.39,0.39,0.4,435282000.0,,,18882000.0,105521000.0,22175000.0,-47947000.0,35254000.0,277745000.0,,
AHH,2014-12-31,False,FY,2014,10-K,168067000.0,21379000.0,7691000.0,0.37,0.37,0.64,590906000.0,,,25883000.0,161906000.0,31362000.0,-105306000.0,80945000.0,359229000.0,,
AHH,2015-06-30,False,Q2,2015,10-Q,66974000.0,6625000.0,6521000.0,0.25,0.25,0.17,633056000.0,,,27356000.0,174363000.0,5305000.0,-20172000.0,16340000.0,386871000.0,,
AHH,2016-03-31,False,Q1,2016,10-Q,60086000.0,5999000.0,17370000.0,0.57,0.57,0.18,809983000.0,,,18810000.0,255252000.0,11308000.0,-111103000.0,91616000.0,460938000.0,,
AHH,2015-03-31,False,Q1,2015,10-Q,47261000.0,5295000.0,5105000.0,0.2,0.2,0.17,604001000.0,,,31479000.0,162868000.0,-404000.0,-8330000.0,14330000.0,363730000.0,,
AHH,2015-09-30,False,Q3,2015,10-Q,75125000.0,8010000.0,2688000.0,0.1,0.1,0.17,694093000.0,,,15191000.0,185649000.0,17624000.0,-60655000.0,32339000.0,420145000.0,,
AHH,2016-09-30,False,Q3,2016,10-Q,63857000.0,6858000.0,5212000.0,0.15,0.15,0.18,931845000.0,,,23890000.0,309968000.0,38782000.0,-187681000.0,145800000.0,513993000.0,,
AHH,2015-12-31,False,FY,2015,10-K,252440000.0,26584000.0,19642000.0,0.75,0.75,0.68,689547000.0,,,26989000.0,225720000.0,33086000.0,-56381000.0,24401000.0,377593000.0,,
AHH,2017-03-31,False,Q1,2017,10-Q,90751000.0,8466000.0,5936000.0,0.16,0.16,0.19,992904000.0,,,10039000.0,351115000.0,7907000.0,-13347000.0,-6463000.0,522394000.0,,
AHH,2016-06-30,False,Q2,2016,10-Q,57451000.0,6710000.0,2034000.0,0.06,0.06,0.18,894472000.0,,,19984000.0,288742000.0,18948000.0,-149389000.0,123436000.0,501940000.0,,
AHH,2017-09-30,False,Q3,2017,10-Q,68297000.0,7980000.0,7488000.0,0.17,0.17,0.19,1030998000.0,,,19721000.0,431433000.0,36598000.0,-69485000.0,30666000.0,488609000.0,,
AHH,2017-06-30,False,Q2,2017,10-Q,83426000.0,8267000.0,3471000.0,0.08,0.08,0.19,1014338000.0,,,18587000.0,432521000.0,19886000.0,-37057000.0,13816000.0,465291000.0,,
AHH,2016-12-31,False,FY,2016,10-K,258385000.0,26679000.0,28074000.0,0.85,0.85,0.72,982468000.0,,,21942000.0,348978000.0,59770000.0,-226461000.0,161644000.0,522180000.0,,
AHH,2018-09-30,False,Q3,2018,10-Q,48880000.0,7329000.0,4202000.0,0.09,0.09,0.2,1217858000.0,,,17732000.0,460136000.0,27197000.0,-183558000.0,154093000.0,653750000.0,,
AHH,2018-06-30,False,Q2,2018,10-Q,49252000.0,7858000.0,4319000.0,0.09,0.09,0.2,1132371000.0,,,12279000.0,456970000.0,11260000.0,-103118000.0,84360000.0,580446000.0,,
AHH,2018-03-31,False,Q1,2018,10-Q,51749000.0,7775000.0,5040000.0,0.11,0.11,0.2,1101789000.0,,,15804000.0,416901000.0,5928000.0,-69749000.0,60211000.0,589634000.0,,
AHH,2017-12-31,False,FY,2017,10-K,302771000.0,31717000.0,21047000.0,0.5,0.5,0.76,1043123000.0,,,19959000.0,420283000.0,58018000.0,-102426000.0,42131000.0,517272000.0,,
