symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AIG,2011-03-31,False,Q1,2011,10-Q,17436000000.0,,-543000000.0,-1.41,-1.41,0.0,611247000000.0,,,1801000000.0,85845000000.0,-5312000000.0,39617000000.0,-34485000000.0,82166000000.0,,
AIG,2012-03-31,False,Q1,2012,10-Q,18443000000.0,,3208000000.0,1.7,1.7,0.0,554403000000.0,,,1315000000.0,104344000000.0,-111000000.0,10186000000.0,-10232000000.0,67214000000.0,,
AIG,2010-12-31,False,FY,2010,10-K,77301000000.0,,1583000000.0,14.75,14.75,0.0,683443000000.0,,,1558000000.0,113239000000.0,16910000000.0,-10225000000.0,-9261000000.0,85476000000.0,1333000000.0,267000000.0
AIG,2011-06-30,False,Q2,2011,10-Q,16676000000.0,,1840000000.0,1.03,1.03,0.0,616798000000.0,,,2590000000.0,93629000000.0,-3464000000.0,37748000000.0,-33714000000.0,69128000000.0,,
AIG,2011-09-30,False,Q3,2011,10-Q,12716000000.0,,-4109000000.0,-2.05,-2.05,0.0,544257000000.0,,,1542000000.0,86802000000.0,-1083000000.0,36028000000.0,-35444000000.0,66150000000.0,,
AIG,2011-12-31,False,FY,2011,10-K,64237000000.0,,16986000000.0,8.6,8.6,0.0,555773000000.0,,,1474000000.0,105806000000.0,35000000.0,36332000000.0,-36926000000.0,73400000000.0,1373000000.0,
AIG,2012-09-30,False,Q3,2012,10-Q,17648000000.0,,1856000000.0,1.13,1.13,0.0,550723000000.0,,,1608000000.0,102414000000.0,2839000000.0,19158000000.0,-21854000000.0,70266000000.0,,
AIG,2013-03-31,False,Q1,2013,10-Q,15888000000.0,,2206000000.0,1.49,1.49,0.0,548880000000.0,,,1227000000.0,100183000000.0,-149000000.0,3964000000.0,-3718000000.0,42948000000.0,,
AIG,2018-12-31,False,FY,2018,10-K,47389000000.0,,-6000000.0,-0.01,-0.01,0.32,491984000000.0,,,2873000000.0,57309000000.0,61000000.0,-223000000.0,794000000.0,34540000000.0,4082000000.0,368000000.0
AIG,2013-09-30,False,Q3,2013,10-Q,14826000000.0,,2170000000.0,1.47,1.46,0.1,540744000000.0,,,2058000000.0,99449000000.0,3948000000.0,6518000000.0,-9472000000.0,198000000.0,,
