symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AKR,2011-09-30,False,Q3,2011,10-Q,37393000.0,10887000.0,4011000.0,0.1,0.1,0.0,1606467000.0,,,98027000.0,649549000.0,39137000.0,-98670000.0,36968000.0,,,
AKR,2011-06-30,False,Q2,2011,10-Q,38804000.0,5375000.0,30234000.0,0.75,0.74,0.0,1612867000.0,,,148859000.0,654298000.0,20249000.0,-45014000.0,53032000.0,,,
AKR,2012-03-31,False,Q1,2012,10-Q,39626000.0,11654000.0,4010000.0,0.09,0.09,0.18,1726736000.0,,,49670000.0,823339000.0,11871000.0,-87317000.0,35304000.0,811700000.0,,20081000.0
AKR,2018-12-31,False,FY,2018,10-K,262213000.0,27541000.0,31439000.0,0.38,0.38,1.09,3958780000.0,,,21268000.0,2081947000.0,96076000.0,-136619000.0,-10278000.0,1550545000.0,,
AKR,2013-03-31,False,Q1,2013,10-Q,47271000.0,18672000.0,9623000.0,0.18,0.18,0.21,2295869000.0,,,81831000.0,1086692000.0,4233000.0,-98888000.0,84673000.0,1101391000.0,,17941000.0
AKR,2011-12-31,False,FY,2011,10-K,150161000.0,46032000.0,51555000.0,1.27,1.26,0.72,1653319000.0,,,89812000.0,769309000.0,66332000.0,-153157000.0,56045000.0,787910000.0,,
AKR,2012-06-30,False,Q2,2012,10-Q,42426000.0,13614000.0,6839000.0,0.15,0.15,0.0,1854264000.0,,,66463000.0,899466000.0,33111000.0,-167619000.0,111159000.0,853924000.0,,41705000.0
AKR,2012-09-30,False,Q3,2012,10-Q,44141000.0,12586000.0,7581000.0,0.16,0.16,0.0,1899583000.0,,,85297000.0,928619000.0,35928000.0,-190073000.0,149630000.0,871243000.0,,55817000.0
AKR,2013-06-30,False,Q2,2013,10-Q,45936000.0,16762000.0,8757000.0,0.16,0.16,0.0,2310544000.0,,,100022000.0,1113887000.0,24860000.0,-101110000.0,84459000.0,1092266000.0,,43567000.0
AKR,2012-12-31,False,FY,2012,10-K,134425000.0,34857000.0,39706000.0,0.85,0.85,0.72,1908440000.0,,,91813000.0,1070256000.0,59672000.0,-136745000.0,79074000.0,727048000.0,,88787000.0
AKR,2014-03-31,False,Q1,2014,10-Q,46685000.0,14721000.0,21595000.0,0.38,0.38,0.63,2345862000.0,,,72792000.0,1130801000.0,22177000.0,-120295000.0,91721000.0,1108304000.0,,37505000.0
AKR,2013-09-30,False,Q3,2013,10-Q,40318000.0,12801000.0,9485000.0,0.17,0.17,0.0,2349368000.0,,,88421000.0,1113156000.0,41621000.0,-160196000.0,115183000.0,1004175000.0,,79549000.0
AKR,2014-06-30,False,Q2,2014,10-Q,49511000.0,18834000.0,11464000.0,0.19,0.19,0.0,2372196000.0,,,86797000.0,1192361000.0,46002000.0,-169123000.0,130729000.0,1074029000.0,,68311000.0
AKR,2015-06-30,False,Q2,2015,10-Q,53161000.0,13039000.0,26495000.0,0.38,262.57,0.0,2973699000.0,,,104651000.0,1519870000.0,53751000.0,-208149000.0,41469000.0,1326667000.0,,105245000.0
AKR,2015-03-31,False,Q1,2015,10-Q,52481000.0,15148000.0,16547000.0,0.24,0.24,0.24,2870866000.0,,,119555000.0,1441728000.0,26617000.0,-235101000.0,110459000.0,1304739000.0,,40494000.0
AKR,2016-03-31,False,Q1,2016,10-Q,52683000.0,14489000.0,28925000.0,0.4,285.6,0.25,3148327000.0,,,84860000.0,1628476000.0,17975000.0,72762000.0,-78653000.0,955003000.0,,37463000.0
AKR,2013-12-31,False,FY,2013,10-K,168286000.0,55879000.0,40115000.0,0.72,0.72,0.86,2264957000.0,,,79189000.0,1121588000.0,65233000.0,-87879000.0,10022000.0,1039617000.0,,106883000.0
AKR,2014-09-30,False,Q3,2014,10-Q,47660000.0,15229000.0,28564000.0,0.47,0.47,0.0,2454651000.0,,,131132000.0,1202334000.0,61684000.0,-58972000.0,49231000.0,1141066000.0,,105049000.0
AKR,2016-06-30,False,Q2,2016,10-Q,51333000.0,16851000.0,17918000.0,0.24,176.95000000000002,0.0,3235040000.0,,,83853000.0,1760917000.0,42759000.0,-86770000.0,55088000.0,799264000.0,,55890000.0
AKR,2014-12-31,False,FY,2014,10-K,195012000.0,66263000.0,71064000.0,1.18,1.18,1.23,2732600000.0,,,217580000.0,1435957000.0,82519000.0,-268516000.0,324388000.0,1130481000.0,,140118000.0
AKR,2017-03-31,False,Q1,2017,10-Q,61999000.0,9897000.0,15631000.0,0.18,0.18,0.26,4014902000.0,,,47707000.0,2196493000.0,23479000.0,-39303000.0,-8274000.0,1501896000.0,,27015000.0
