symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ALB,2018-12-31,False,FY,2018,10-K,3374950000.0,911540000.0,693562000.0,6.4,6.34,1.34,7581674000.0,1998421000.0,1183173000.0,555320000.0,3759108000.0,546165000.0,-303695000.0,-786526000.0,1705210000.0,1567169000.0,699991000.0
ALB,2010-09-30,False,Q3,2010,10-Q,585036000.0,120563000.0,93689000.0,1.03,1.02,0.14,2936660000.0,1212062000.0,347744000.0,424673000.0,1438041000.0,275732000.0,-60595000.0,-97508000.0,,278390000.0,50006000.0
ALB,2011-06-30,False,Q2,2011,10-Q,742108000.0,149095000.0,114159000.0,1.24,1.23,0.165,3292347000.0,1455696000.0,394413000.0,490715000.0,1802119000.0,146170000.0,-82596000.0,-113604000.0,771752000.0,295371000.0,67627000.0
ALB,2010-06-30,False,Q2,2010,10-Q,592483000.0,106635000.0,81751000.0,0.9,0.89,0.14,2731070000.0,1081086000.0,317148000.0,324123000.0,1249462000.0,134144000.0,-45888000.0,-59580000.0,,261203000.0,33930000.0
ALB,2011-09-30,False,Q3,2011,10-Q,722977000.0,160309000.0,116098000.0,1.29,1.28,0.165,3269055000.0,1449354000.0,402394000.0,481258000.0,1670623000.0,285467000.0,-147395000.0,-191473000.0,891179000.0,281404000.0,127111000.0
ALB,2012-06-30,False,Q2,2012,10-Q,684894000.0,52447000.0,37732000.0,0.42,0.42,0.2,3302707000.0,1451675000.0,413303000.0,461751000.0,1793644000.0,184909000.0,-140242000.0,-46730000.0,754824000.0,265649000.0,126623000.0
ALB,2012-09-30,False,Q3,2012,10-Q,661226000.0,128436000.0,99261000.0,1.11,1.1,0.2,3362655000.0,1386852000.0,382512000.0,402642000.0,1901283000.0,306482000.0,-244833000.0,-123351000.0,713734000.0,271566000.0,218708000.0
ALB,2012-03-31,False,Q1,2012,10-Q,711704000.0,148146000.0,108043000.0,1.21,1.2,0.2,3363499000.0,1469556000.0,433362000.0,519359000.0,1807374000.0,123544000.0,-56031000.0,-22130000.0,756661000.0,278915000.0,54784000.0
ALB,2013-03-31,False,Q1,2013,10-Q,641625000.0,114887000.0,83987000.0,0.95,0.94,0.24,3450445000.0,1403500000.0,434251000.0,434904000.0,1902240000.0,98650000.0,-54514000.0,-84032000.0,695820000.0,269714000.0,55335000.0
ALB,2011-12-31,False,FY,2011,10-K,2869005000.0,587840000.0,436280000.0,4.82,4.77,0.67,3203824000.0,1355620000.0,401178000.0,469416000.0,1678827000.0,487359000.0,-212936000.0,-329119000.0,763673000.0,273145000.0,190574000.0
ALB,2011-03-31,False,Q1,2011,10-Q,696530000.0,142362000.0,106580000.0,1.16,1.15,0.165,3139881000.0,1346374000.0,381611000.0,441013000.0,1662668000.0,46556000.0,-41321000.0,-103263000.0,,287264000.0,31894000.0
ALB,2010-12-31,False,FY,2010,10-K,2362764000.0,414848000.0,323720000.0,3.54,3.51,0.56,3068081000.0,1348198000.0,364177000.0,529650000.0,1475746000.0,331309000.0,-92191000.0,-7938000.0,,272238000.0,75478000.0
ALB,2013-06-30,False,Q2,2013,10-Q,634197000.0,112174000.0,82739000.0,0.98,0.98,0.24,3335949000.0,1281878000.0,375583000.0,314659000.0,1465393000.0,178854000.0,-102650000.0,-243953000.0,1077207000.0,272773000.0,103168000.0
