symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ALCO,2012-03-31,False,Q2,2012,10-Q,54132000.0,12431000.0,7414000.0,1.01,1.01,0.04,185477000.0,33272000.0,15943000.0,768000.0,119375000.0,13600000.0,-5247000.0,-8921000.0,,,7901000.0
ALCO,2018-12-31,False,Q1,2019,10-Q,14779000.0,-268000.0,-2467000.0,-0.33,-0.33,0.06,408754000.0,55674000.0,28204000.0,272000.0,164223000.0,-12001000.0,-3884000.0,-9101000.0,171642000.0,2246000.0,3458000.0
ALCO,2011-12-31,False,Q1,2012,10-Q,26076000.0,3524000.0,1933000.0,0.26,0.26,0.04,186895000.0,33836000.0,12589000.0,667000.0,112414000.0,-237000.0,-3861000.0,3429000.0,,,4419000.0
ALCO,2011-09-30,False,FY,2011,10-K,98592000.0,15237000.0,7097000.0,0.96,0.96,0.12,180035000.0,29181000.0,11827000.0,1336000.0,110662000.0,16747000.0,-8093000.0,-18244000.0,,,12265000.0
ALCO,2012-06-30,False,Q3,2012,10-Q,40420000.0,8638000.0,9607000.0,1.31,1.31,0.04,189618000.0,52390000.0,19594000.0,3967000.0,128813000.0,25626000.0,-4797000.0,-18198000.0,40717000.0,,12195000.0
ALCO,2011-06-30,False,Q3,2011,10-Q,39341000.0,10073000.0,5971000.0,0.81,0.81,0.0,189828000.0,39063000.0,10107000.0,3074000.0,113082000.0,7185000.0,-5642000.0,-9395000.0,,,8719000.0
ALCO,2012-09-30,False,FY,2012,10-K,127187000.0,23742000.0,18489000.0,2.51,2.51,0.24,185083000.0,51467000.0,17148000.0,13328000.0,127546000.0,23634000.0,7678000.0,-19320000.0,39900000.0,,15921000.0
ALCO,2012-12-31,False,Q1,2013,10-Q,21356000.0,1978000.0,1038000.0,0.14,0.14,0.0,176052000.0,36583000.0,9445000.0,902000.0,127315000.0,-2939000.0,-5382000.0,-4105000.0,37500000.0,,7983000.0
ALCO,2013-06-30,False,Q3,2013,10-Q,35229000.0,6812000.0,4079000.0,0.56,0.55,0.08,182652000.0,39196000.0,12111000.0,6803000.0,132178000.0,14753000.0,-13837000.0,-7441000.0,36500000.0,,16792000.0
ALCO,2013-03-31,False,Q2,2013,10-Q,38410000.0,4550000.0,2773000.0,0.38,0.38,0.08,178556000.0,36640000.0,11447000.0,3513000.0,128281000.0,6942000.0,-10166000.0,-6591000.0,37000000.0,,12973000.0
