symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ALKS,2013-06-30,False,Q1,2014,10-Q,138631000.0,13529000.0,7334000.0,0.05,0.05,0.0,1477854000.0,422085000.0,72598000.0,116397000.0,981940000.0,12747000.0,-5401000.0,12090000.0,367440000.0,92740000.0,3625000.0
ALKS,2011-12-31,False,Q3,2012,10-Q,125643000.0,-4967000.0,-14828000.0,-0.11,-0.11,0.0,1505827000.0,375136000.0,97196000.0,85331000.0,904853000.0,-17762000.0,-395579000.0,460278000.0,,105700000.0,8859000.0
ALKS,2012-06-30,False,Q1,2013,10-Q,152239000.0,32145000.0,22433000.0,0.17,0.17,0.0,1445667000.0,352408000.0,71239000.0,85599000.0,882486000.0,-4699000.0,9350000.0,-2653000.0,444183000.0,92740000.0,6733000.0
ALKS,2013-09-30,False,Q2,2014,10-Q,139802000.0,-3878000.0,-7762000.0,-0.06,-0.06,0.0,1512437000.0,523580000.0,73717000.0,173505000.0,1016977000.0,54115000.0,-8071000.0,30500000.0,365872000.0,92740000.0,9198000.0
ALKS,2012-09-30,False,Q2,2013,10-Q,123978000.0,5424000.0,-16707000.0,-0.13,-0.13,0.0,1370547000.0,354919000.0,68738000.0,132418000.0,885008000.0,45048000.0,74985000.0,-71216000.0,370597000.0,92740000.0,11206000.0
ALKS,2018-12-31,False,FY,2018,10-K,1094274000.0,-99128000.0,-139311000.0,-0.9,-0.9,0.0,1825007000.0,983252000.0,339774000.0,266762000.0,1171285000.0,99281000.0,-22195000.0,-1620000.0,279308000.0,92873000.0,69431000.0
ALKS,2014-06-30,False,Q2,2014,10-Q,153424000.0,-22825000.0,3735000.0,0.03,0.02,0.0,1857592000.0,886919000.0,102160000.0,188322000.0,1351825000.0,5305000.0,-245834000.0,261289000.0,361132000.0,92740000.0,11438000.0
ALKS,2014-03-31,False,Q1,2014,10-Q,130212000.0,-15893000.0,-24354000.0,-0.17,-0.17,0.0,1835478000.0,776771000.0,92759000.0,156325000.0,1339501000.0,-3472000.0,-272674000.0,264909000.0,362713000.0,92740000.0,5685000.0
ALKS,2012-12-31,False,Q3,2013,10-Q,135909000.0,25260000.0,16258000.0,0.12,0.12,0.0,1411763000.0,387522000.0,77279000.0,135892000.0,919939000.0,71247000.0,43680000.0,-62636000.0,369099000.0,92740000.0,13958000.0
ALKS,2011-09-30,False,Q2,2012,10-Q,71978000.0,-11763000.0,-22255000.0,-0.22,-0.22,0.0,1504103000.0,355708000.0,90324000.0,89237000.0,909680000.0,-15554000.0,-393051000.0,459448000.0,,104989000.0,3654000.0
ALKS,2012-03-31,False,FY,2012,10-K,389977000.0,-88281000.0,-113678000.0,-0.99,-0.99,0.0,1435217000.0,339153000.0,89164000.0,83601000.0,853852000.0,-2482000.0,-417159000.0,464848000.0,444460000.0,92740000.0,16988000.0
ALKS,2013-03-31,False,FY,2013,10-K,575548000.0,81813000.0,24983000.0,0.19,0.18,0.0,1470291000.0,408588000.0,85930000.0,96961000.0,952374000.0,126551000.0,-68148000.0,-45043000.0,369008000.0,92740000.0,22217000.0
ALKS,2015-03-31,False,Q1,2015,10-Q,161214000.0,-27308000.0,-30657000.0,-0.21,-0.21,0.0,1924774000.0,1003548000.0,114217000.0,209313000.0,1420419000.0,2077000.0,-28789000.0,11961000.0,356388000.0,94212000.0,10710000.0
ALKS,2015-09-30,False,Q3,2015,10-Q,152653000.0,-77415000.0,-81015000.0,-0.54,-0.54,0.0,1880955000.0,1000423000.0,200402000.0,222341000.0,1366805000.0,-42775000.0,-1269000.0,42321000.0,353224000.0,92873000.0,36729000.0
ALKS,2014-09-30,False,Q3,2014,10-Q,159992000.0,-32738000.0,-39956000.0,-0.27,-0.27,0.0,1837855000.0,812906000.0,110140000.0,136182000.0,1333592000.0,-2504000.0,-309527000.0,280651000.0,359551000.0,92740000.0,20326000.0
ALKS,2015-06-30,False,Q2,2015,10-Q,151370000.0,-52521000.0,-46109000.0,-0.31,-0.31,0.0,1914676000.0,1016962000.0,134218000.0,196893000.0,1398991000.0,-13329000.0,-31778000.0,17936000.0,354806000.0,92873000.0,24755000.0
ALKS,2014-12-31,False,FY,2014,10-K,618789000.0,-87144000.0,-30061000.0,-0.21,-0.21,0.0,1921272000.0,876793000.0,130582000.0,224064000.0,1396837000.0,11139000.0,-263397000.0,308760000.0,357970000.0,94212000.0,33651000.0
ALKS,2015-12-31,False,FY,2015,10-K,628335000.0,-224301000.0,-227163000.0,-1.52,-1.52,0.0,1855744000.0,754962000.0,236207000.0,181109000.0,1314275000.0,-40360000.0,-43486000.0,40891000.0,349944000.0,92873000.0,52877000.0
ALKS,2016-03-31,False,Q1,2016,10-Q,156774000.0,-76884000.0,-77423000.0,-0.51,-0.51,0.0,1794887000.0,838560000.0,224131000.0,199976000.0,1265078000.0,-57214000.0,72694000.0,3387000.0,348489000.0,92873000.0,12009000.0
