symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ALQA,2012-09-30,False,Q3,2012,10-Q,373790.0,-875296.0,-874438.0,-0.0,-0.0,0.0,13538033.0,531880.0,607161.0,97281.0,12865000.0,-1355489.0,-84366.0,1277025.0,,425969.0,84366.0
ALQA,2012-12-31,False,FY,2012,10-K,1228674.0,-4896687.0,-4905335.0,-0.02,-0.02,0.0,13727151.0,882196.0,1507606.0,260357.0,12150654.0,-1966093.0,-86186.0,2052525.0,,425969.0,86186.0
ALQA,2012-03-31,False,Q1,2012,10-Q,195601.0,-868428.0,-871851.0,0.0,0.0,0.0,14330678.0,1065312.0,423392.0,646113.0,13849451.0,-595908.0,-5115.0,987025.0,,425969.0,
ALQA,2013-03-31,False,Q1,2013,10-Q,391797.0,-2106377.0,-2703835.0,-0.01,-0.01,0.0,13394240.0,712687.0,2372542.0,28690.0,10951230.0,-732167.0,,500500.0,,425969.0,
ALQA,2018-12-31,False,FY,2018,10-K,2216000.0,-5296000.0,-8417000.0,-1.42,-1.42,0.0,9679000.0,9301000.0,1376000.0,8880000.0,8252000.0,-9710000.0,29300000.0,-12891000.0,,0.0,
ALQA,2012-12-31,False,FY,2012,10-K,1228674.0,-4896687.0,-4905335.0,-0.02,-0.02,0.0,13727151.0,882196.0,1507606.0,260357.0,12150654.0,-1966093.0,-86186.0,2052525.0,,425969.0,86186.0
ALQA,2012-06-30,False,Q2,2012,10-Q,258869.0,-1304510.0,-1307775.0,-0.01,-0.01,0.0,13770069.0,665644.0,537681.0,169957.0,13170534.0,1072064.0,-5115.0,987025.0,,425969.0,
ALQA,2014-03-31,False,Q1,2014,10-Q,590575.0,-8753650.0,-9036162.0,-0.73,-0.73,0.0,14876270.0,10450553.0,3480585.0,9646810.0,11248861.0,-2615514.0,-106596.0,268376.0,,425969.0,
ALQA,2013-12-31,False,FY,2013,10-K,1797745.0,-20132490.0,-22438888.0,-3.14,-3.14,0.0,17451568.0,12847234.0,3353464.0,12100544.0,13952696.0,-4769039.0,-118067.0,16727293.0,,425969.0,
ALQA,2013-06-30,False,Q2,2013,10-Q,499129.0,-2401377.0,-2089343.0,-0.01,-0.01,0.0,15178945.0,2657658.0,2033784.0,1934153.0,13074337.0,-1614510.0,-2987.0,3291293.0,,425969.0,2987.0
ALQA,2013-09-30,False,Q3,2013,10-Q,437985.0,-2265762.0,-2236045.0,-0.01,-0.01,0.0,13756999.0,955437.0,2332426.0,420157.0,11342855.0,-3081947.0,-49546.0,3291293.0,,425969.0,-454.0
ALQA,2014-06-30,False,Q2,2014,10-Q,1037448.0,-6175016.0,-5954229.0,-0.39,-0.39,0.0,36007933.0,25289176.0,3773454.0,23785430.0,29386240.0,-6374226.0,-2206122.0,20265234.0,,4100295.0,200000.0
ALQA,2014-09-30,False,Q3,2014,10-Q,1493840.0,-5157715.0,-5103443.0,-0.33,-0.33,0.0,32421807.0,22015944.0,3255645.0,19887588.0,26122473.0,-10179506.0,-2306122.0,20272672.0,,4100295.0,300000.0
ALQA,2011-06-30,False,Q2,2011,10-Q,848228.0,-656463.0,-656113.0,0.0,0.0,0.0,24766612.0,1940703.0,240409.0,1521374.0,24479425.0,-1204092.0,341739.0,990000.0,,9812749.0,-20657.0
ALQA,2015-09-30,False,Q3,2015,10-Q,5013835.0,-7815581.0,-7132664.0,-0.26,-0.26,0.0,95074338.0,37534918.0,13283672.0,30731728.0,54604258.0,-17162306.0,-15178362.0,46301517.0,15500000.0,20798933.0,0.0
ALQA,2016-09-30,False,Q3,2016,10-Q,4874000.0,-7770000.0,-8588000.0,-0.3,-0.3,0.0,72659000.0,17550000.0,19336000.0,10701000.0,48639000.0,-14034000.0,3030000.0,-4375000.0,11336000.0,21166000.0,
ALQA,2011-12-31,False,FY,2011,10-K,1832234.0,-13848673.0,-13853203.0,-0.07,-0.07,0.0,14025095.0,603908.0,337193.0,260111.0,13634086.0,-2196825.0,73209.0,990000.0,,425969.0,124616.0
ALQA,2016-03-31,False,Q1,2016,10-Q,4643000.0,-7805000.0,-7682000.0,-0.28,-0.28,0.0,80778000.0,24107000.0,10520000.0,16999000.0,49496000.0,-6146000.0,-362000.0,-2573000.0,15500000.0,21166000.0,
ALQA,2015-03-31,False,Q1,2015,10-Q,2113564.0,-7676766.0,-7661592.0,-0.48,-0.48,0.0,24547289.0,14758794.0,4425555.0,10939194.0,16930779.0,-5875313.0,-5000.0,48628.0,,4100295.0,0.0
ALQA,2011-09-30,False,Q3,2011,10-Q,419825.0,-844618.0,-843945.0,0.0,0.0,0.0,24200571.0,1240628.0,338748.0,984464.0,23814026.0,-1498275.0,99012.0,990000.0,,9812749.0,-105971.0
ALQA,2014-12-31,False,FY,2014,10-K,4786131.0,-25418400.0,-25445435.0,-1.74,-1.74,0.0,29723724.0,19629067.0,4129824.0,16770879.0,22511231.0,-13291459.0,-2339455.0,20301249.0,,4100295.0,333333.0
ALQA,2015-12-31,False,FY,2015,10-K,15040929.0,-28305987.0,-26016815.0,-1.13,-1.13,0.0,89751528.0,32671745.0,11775183.0,26080384.0,52424843.0,-21617689.0,-15374323.0,46301517.0,15500000.0,21166412.0,0.0
ALQA,2015-06-30,False,Q2,2015,10-Q,3136390.0,-8119476.0,-6989736.0,-0.32,-0.32,0.0,100181038.0,41653368.0,14104708.0,35759632.0,59550110.0,-12358768.0,-15024551.0,46372072.0,15500000.0,20924893.0,0.0
ALQA,2017-09-30,False,Q3,2017,10-Q,4901000.0,-3842000.0,-2700000.0,-0.95,-0.95,0.0,44803000.0,7777000.0,16671000.0,2106000.0,27058000.0,-9799000.0,2936000.0,3389000.0,10736000.0,11959000.0,
ALQA,2017-06-30,False,Q2,2017,10-Q,5522000.0,-3825000.0,-4204000.0,-0.09,-0.09,0.0,48932000.0,8894000.0,18685000.0,2299000.0,29164000.0,-7984000.0,-429000.0,5132000.0,11966000.0,11959000.0,
ALQA,2017-03-31,False,Q1,2017,10-Q,4594000.0,-5772000.0,-6998000.0,-0.23,-0.23,0.0,49727000.0,8293000.0,19400000.0,2350000.0,28737000.0,-4646000.0,-389000.0,1805000.0,11745000.0,11959000.0,
ALQA,2016-06-30,False,Q2,2016,10-Q,4467000.0,2081000.0,5172000.0,0.18,0.18,0.0,79052000.0,23496000.0,8608000.0,12572000.0,56041000.0,-10451000.0,-484000.0,-2573000.0,12556000.0,21166000.0,
ALQA,2018-06-30,False,Q2,2018,10-Q,864000.0,-1205000.0,-1262000.0,-0.66,-0.66,0.0,13551000.0,13006000.0,3222000.0,11021000.0,10274000.0,-7458000.0,29189000.0,-12891000.0,,,
ALQA,2018-03-31,False,Q1,2018,10-Q,5381000.0,-4541000.0,-5110000.0,-1.19,-1.19,0.0,31750000.0,7598000.0,20980000.0,1536000.0,10475000.0,-2455000.0,100000.0,1710000.0,12831000.0,1659000.0,
ALQA,2016-12-31,False,FY,2016,10-K,18240000.0,-31188000.0,-28243000.0,-1.16,-1.16,0.0,54499000.0,11777000.0,20134000.0,5580000.0,32090000.0,-18335000.0,2210000.0,-4375000.0,11541000.0,11959000.0,
ALQA,2017-12-31,False,FY,2017,10-K,19565000.0,-26199000.0,-25707000.0,-6.49,-6.49,0.0,32941000.0,7477000.0,16970000.0,2181000.0,15667000.0,-10672000.0,3882000.0,3391000.0,10929000.0,1659000.0,
ALQA,2018-09-30,False,Q3,2018,10-Q,348000.0,-970000.0,-754000.0,-0.2,-0.2,0.0,12693000.0,12236000.0,3098000.0,11095000.0,9542000.0,-7584000.0,29389000.0,-12891000.0,,,
