symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ALV,2010-06-30,False,Q2,2010,10-Q,1801500000.0,229100000.0,146500000.0,1.69,1.6,0.3,5363700000.0,2455500000.0,1793700000.0,459400000.0,2621500000.0,399800000.0,-151200000.0,-237700000.0,,1601200000.0,86200000.0
ALV,2011-09-30,False,Q3,2011,10-Q,2017600000.0,204900000.0,138400000.0,1.55,1.48,0.45,6029300000.0,2943300000.0,1983500000.0,630700000.0,3302100000.0,465100000.0,-258000000.0,-165000000.0,,1612100000.0,263000000.0
ALV,2012-06-30,False,Q2,2012,10-Q,2088800000.0,190400000.0,126400000.0,1.35,1.33,0.47,6407200000.0,3282600000.0,2033400000.0,917300000.0,3580900000.0,316600000.0,-159400000.0,20700000.0,,1604100000.0,166000000.0
ALV,2010-09-30,False,Q3,2010,10-Q,1740900000.0,202100000.0,140100000.0,1.58,1.51,0.35,5643600000.0,2671500000.0,1911400000.0,487200000.0,2807100000.0,598100000.0,-215600000.0,-381700000.0,,1615100000.0,145800000.0
ALV,2011-03-31,False,Q1,2011,10-Q,2108600000.0,254800000.0,181500000.0,2.04,1.93,0.43,6059300000.0,3024600000.0,2047800000.0,605200000.0,3113600000.0,141400000.0,-78200000.0,-18700000.0,,1620700000.0,82200000.0
ALV,2012-03-31,False,Q1,2012,10-Q,2178900000.0,153300000.0,100500000.0,1.12,1.07,0.47,6358500000.0,3195700000.0,2128400000.0,732000000.0,3437300000.0,98000000.0,-78800000.0,-20300000.0,,1611500000.0,79500000.0
ALV,2018-12-31,False,FY,2018,10-K,1943000000.0,686000000.0,190400000.0,2.19,2.18,2.48,6721600000.0,3285400000.0,2865500000.0,615800000.0,1896800000.0,590600000.0,-627700000.0,-245000000.0,,1389900000.0,560000000.0
ALV,2013-03-31,False,Q1,2013,10-Q,2135000000.0,182400000.0,123500000.0,1.29,1.29,0.5,6714300000.0,3449100000.0,1944000000.0,990500000.0,3823000000.0,140800000.0,-86100000.0,-43000000.0,,1604300000.0,88000000.0
ALV,2013-09-30,False,Q3,2013,10-Q,2119000000.0,182300000.0,123900000.0,1.29,1.29,0.5,7020200000.0,3708900000.0,2168000000.0,1134700000.0,4032300000.0,538700000.0,-268400000.0,-114200000.0,,1608500000.0,271200000.0
ALV,2011-12-31,False,FY,2011,10-K,8232400000.0,889200000.0,623400000.0,6.99,6.65,1.78,6117300000.0,3000300000.0,2085900000.0,739200000.0,3349000000.0,758200000.0,-372700000.0,-222900000.0,348000000.0,1607000000.0,367300000.0
