symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AMSF,2011-06-30,False,Q2,2011,10-Q,67051000.0,,4569000.0,0.25,0.24,0.0,1152548000.0,,,62044000.0,337213000.0,4659000.0,-3415000.0,-166000.0,,,316000.0
AMSF,2012-12-31,False,FY,2012,10-K,321248000.0,,29353000.0,1.62,1.58,0.0,1220946000.0,,,92676000.0,381222000.0,81048000.0,-9330000.0,-24578000.0,,,1196000.0
AMSF,2012-06-30,False,Q2,2012,10-Q,76637000.0,,3445000.0,0.19,0.19,0.0,1210308000.0,,,76848000.0,363449000.0,41911000.0,1954000.0,-12553000.0,,,231000.0
AMSF,2013-03-31,False,Q1,2013,10-Q,86512000.0,,8836000.0,0.48,0.47,0.08,1265403000.0,,,75294000.0,389698000.0,21777000.0,-39187000.0,28000.0,,,144000.0
AMSF,2013-06-30,False,Q2,2013,10-Q,87511000.0,,7618000.0,0.42,0.41,0.08,1313873000.0,,,83424000.0,392515000.0,59446000.0,-67762000.0,-936000.0,,,662000.0
AMSF,2018-12-31,False,FY,2018,10-K,377753000.0,,71632000.0,3.73,3.71,0.88,1515931000.0,,,40344000.0,409762000.0,98268000.0,-29059000.0,-84424000.0,,,1126000.0
AMSF,2012-09-30,False,Q3,2012,10-Q,80374000.0,,7121000.0,0.39,0.38,0.0,1202855000.0,,,69345000.0,372139000.0,59054000.0,-9802000.0,-25443000.0,,,837000.0
AMSF,2014-03-31,False,Q1,2014,10-Q,96173000.0,,10549000.0,0.57,0.56,0.12,1376750000.0,,,106860000.0,420578000.0,30286000.0,-36218000.0,-10285000.0,,,208000.0
AMSF,2013-09-30,False,Q3,2013,10-Q,88003000.0,,9672000.0,0.53,0.52,0.08,1312559000.0,,,116778000.0,400712000.0,99764000.0,-74059000.0,-1603000.0,,,764000.0
AMSF,2011-09-30,False,Q3,2011,10-Q,71743000.0,,6692000.0,0.37,0.36,0.0,1153197000.0,,,68940000.0,338486000.0,29772000.0,-4526000.0,-17272000.0,,,683000.0
AMSF,2012-03-31,False,Q1,2012,10-Q,78654000.0,,9561000.0,0.53,0.52,0.0,1185760000.0,,,63775000.0,359053000.0,18079000.0,160000.0,,,,90000.0
AMSF,2011-12-31,False,FY,2011,10-K,280663000.0,,24125000.0,1.32,1.29,0.0,1148509000.0,,,45536000.0,350852000.0,43709000.0,-42943000.0,-16196000.0,,,1128000.0
AMSF,2014-09-30,False,Q3,2014,10-Q,102336000.0,,13479000.0,0.72,0.71,0.12,1467384000.0,,,118544000.0,448483000.0,103981000.0,-96311000.0,-12203000.0,,,771000.0
