symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ANF,2018-11-03,False,Q3,2018,10-Q,861194000.0,39680000.0,23919000.0,0.36,0.35,0.2,2283069000.0,1290298000.0,590168000.0,520523000.0,1134290000.0,77245000.0,-98768000.0,-117981000.0,250142000.0,,98768000.0
ANF,2012-04-28,False,FY,2012,10-Q,921218000.0,6322000000.0,2985000000.0,0.04,0.03,0.175,2733941000.0,1109673000.0,545170000.0,321617000.0,1693015000.0,-44512000000.0,-45512000000.0,-174431000.0,,,103822000.0
ANF,2011-01-29,False,FY,2010,10-K,3468777000.0,231932000.0,150283000.0,1.71,1.67,0.7,2947902000.0,1433268000.0,558851000.0,826353000.0,1890784000.0,386789000.0,-87976000000.0,-145333000.0,,,160935000.0
ANF,2011-04-30,False,Q1,2011,10-Q,836674000.0,38745000000.0,25141000000.0,0.29,0.28,0.175,2892994000.0,1339525000.0,491779000.0,741823000.0,1908562000.0,-8816000000.0,-51376000000.0,-30808000000.0,,,51501000000.0
ANF,2011-07-30,False,Q2,2011,10-Q,916763000.0,47174000.0,32031000.0,0.37,0.35,0.175,2926047000.0,1297455000.0,580847000.0,539613000.0,1886870000.0,-561000.0,-151404000.0,-138808000.0,,,133022000.0
ANF,2010-10-30,False,Q3,2010,10-Q,885778000.0,78377000000.0,50040000000.0,0.57,0.56,0.175,2922777000.0,1366099000.0,545311000.0,618222000.0,1846831000.0,77453000000.0,-63631000000.0,-76863000000.0,,,116965000.0
ANF,2012-04-28,False,FY,2012,10-Q,921218000.0,6322000000.0,2985000000.0,0.04,0.03,0.175,2733941000.0,1109673000.0,545170000.0,321617000.0,1693015000.0,-44512000000.0,-45512000000.0,-174431000.0,,,103822000.0
ANF,2010-07-31,False,Q2,2010,10-Q,745798000.0,27560000.0,19479000.0,0.22,0.22,0.175,2856863000.0,1318646000.0,518040000.0,613633000.0,1819697000.0,-21722000.0,-7770000.0,-36644000.0,,,59754000.0
ANF,2012-10-27,False,Q3,2012,10-Q,1169649000.0,112398000.0,71507000.0,0.88,0.87,0.175,2849448000.0,1161767000.0,697795000.0,349670000.0,1662768000.0,219324000.0,-203495000.0,-250127000.0,,,277951000.0
ANF,2012-07-28,False,Q2,2012,10-Q,951407000.0,26962000.0,15519000.0,0.19,0.19,0.175,2869238000.0,1226661000.0,687580000.0,312153000.0,1695836000.0,-24291000.0,-125313000.0,-117772000.0,,,199958000.0
ANF,2012-01-28,False,FY,2011,10-K,4158058000.0,190030000.0,127658000.0,1.47,1.43,0.7,3048153000.0,1488775000.0,705353000.0,583495000.0,1862456000.0,365219000.0,-340689000.0,-265329000.0,,,318598000.0
ANF,2013-11-02,False,Q3,2013,10-Q,1033293000.0,-35370000.0,-15644000.0,-0.2,-0.2,0.2,2852396000.0,1286610000.0,603580000.0,257525000.0,1675017000.0,-230161000.0,-130349000.0,-22078000.0,,,124033000.0
ANF,2011-10-29,False,Q3,2011,10-Q,1075856000.0,79850000000.0,50905000000.0,0.59,0.57,0.175,3081521000.0,1398881000.0,679950000.0,488341000.0,1931230000.0,64457000000.0,-248141000.0,-156856000.0,,,227574000.0
ANF,2013-02-02,False,FY,2012,10-K,4510805000.0,374233000.0,237011000.0,2.89,2.85,0.7,2987401000.0,1307824000.0,690801000.0,643505000.0,1818268000.0,684171000.0,-247238000.0,-380071000.0,,,339862000.0
ANF,2013-05-04,False,Q1,2013,10-Q,838769000.0,-13921000.0,-7203000.0,-0.09,-0.09,0.2,2895011000.0,1261708000.0,533506000.0,555901000.0,1779776000.0,-143629000.0,-45009000.0,108269000.0,,,42372000.0
ANF,2013-08-03,False,Q2,2013,10-Q,945698000.0,19165000.0,11370000.0,0.15,0.14,0.2,2842843000.0,1216070000.0,579227000.0,335023000.0,1683665000.0,-208720000.0,-86543000.0,-5865000.0,,,81231000.0
ANF,2014-05-03,False,Q1,2014,10-Q,822428000.0,-31506000.0,-23671000.0,-0.32,-0.32,0.2,2566393000.0,1053026000.0,470102000.0,357122000.0,1552600000.0,-40140000.0,-37829000.0,-171688000.0,,,37829000.0
ANF,2014-08-02,False,Q2,2014,10-Q,890605000.0,19493000.0,12877000.0,0.18,0.17,0.2,2563176000.0,1076893000.0,559224000.0,310740000.0,1491364000.0,-24330000.0,-80853000.0,-186496000.0,,,80853000.0
ANF,2015-05-02,False,Q1,2015,10-Q,709422000.0,-90197000.0,-63246000.0,-0.91,-0.91,0.2,2364592000.0,1046742000.0,437503000.0,383220000.0,1307300000.0,-93783000.0,-29917000.0,-14609000.0,0.0,,29917000.0
ANF,2016-04-30,False,Q1,2016,10-Q,685483000.0,-54911000.0,-39587000.0,-0.59,-0.59,0.2,2344182000.0,1094528000.0,477645000.0,490975000.0,1254795000.0,-76283000.0,-21885000.0,-13268000.0,0.0,,25983000.0
ANF,2016-10-29,False,Q3,2016,10-Q,821734000.0,19645000.0,7881000.0,0.12,0.12,0.2,2336468000.0,1150271000.0,526122000.0,469720000.0,1219622000.0,21378000.0,-92716000.0,-44652000.0,0.0,,96814000.0
ANF,2014-11-01,False,Q3,2014,10-Q,911453000.0,33366000.0,18227000.0,0.26,0.25,0.2,2575569000.0,1136892000.0,511293000.0,320564000.0,1395459000.0,29464000.0,-132183000.0,-165953000.0,293938000.0,,132183000.0
ANF,2015-08-01,False,Q2,2015,10-Q,817756000.0,1962000.0,-810000.0,-0.01,-0.01,0.2,2422201000.0,1103142000.0,529128000.0,408311000.0,1285947000.0,-20753000.0,-58012000.0,-30338000.0,0.0,,69121000.0
ANF,2015-01-31,False,FY,2014,10-K,3744030000.0,113519000.0,51821000.0,0.72,0.71,0.8,2505167000.0,1164972000.0,485956000.0,520708000.0,1389701000.0,312480000.0,-175074000.0,-181453000.0,293412000.0,,174624000.0
ANF,2014-02-01,False,FY,2013,10-K,4116897000.0,80823000.0,54628000.0,0.71,0.69,0.8,2850997000.0,1320566000.0,568222000.0,600116000.0,1729493000.0,175493000.0,-173861000.0,-40831000.0,,,163924000.0
ANF,2017-04-29,False,Q1,2017,10-Q,661099000.0,-69941000.0,-61700000.0,-0.91,-0.91,0.2,2157965000.0,1002102000.0,421232000.0,421441000.0,1180786000.0,-84262000.0,-31878000.0,-14105000.0,0.0,,32081000.0
ANF,2015-10-31,False,Q3,2015,10-Q,878572000.0,40990000.0,41891000.0,0.61,0.6,0.2,2512744000.0,1213155000.0,644410000.0,405611000.0,1268878000.0,66540000.0,-84563000.0,-93840000.0,0.0,,105216000.0
ANF,2018-05-05,False,Q1,2018,10-Q,730899000.0,-42203000.0,-42461000.0,-0.62,-0.62,0.2,2211519000.0,1174668000.0,461594000.0,591960000.0,1188846000.0,-16171000.0,-23700000.0,-37488000.0,0.0,,23700000.0
