symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ANGO,2012-08-31,False,Q1,2013,10-Q,83406000.0,684000.0,-721000.0,-0.02,-0.02,0.0,718362000.0,160591000.0,52379000.0,18896000.0,523879000.0,-5614000.0,2293000.0,-1296000.0,,307171000.0,968000.0
ANGO,2012-11-30,False,Q2,2013,10-Q,87007000.0,5122000.0,1969000.0,0.06,0.06,0.0,778947000.0,151463000.0,60385000.0,19322000.0,526688000.0,5515000.0,-6439000.0,-3274000.0,,337190000.0,4787000.0
ANGO,2013-02-28,False,Q3,2013,10-Q,81571000.0,58000.0,-992000.0,-0.03,-0.03,0.0,796471000.0,146440000.0,66830000.0,16625000.0,527357000.0,15515000.0,-17826000.0,-4529000.0,,356692000.0,7708000.0
ANGO,2013-11-30,False,Q2,2014,10-Q,88616000.0,1574000.0,-99000.0,0.0,0.0,0.0,795490000.0,141573000.0,69079000.0,15173000.0,529729000.0,15758000.0,-11207000.0,-11184000.0,,359736000.0,7191000.0
ANGO,2014-02-28,False,Q3,2014,10-Q,88195000.0,7569000.0,5108000.0,0.15,0.14,0.0,792174000.0,140131000.0,63380000.0,7382000.0,537689000.0,15174000.0,-13024000.0,-16656000.0,,359736000.0,9003000.0
ANGO,2013-05-31,False,FY,2013,10-K,342026000.0,7094000.0,-612000.0,-0.02,-0.02,0.0,791584000.0,141516000.0,63437000.0,21802000.0,526830000.0,26883000.0,-22238000.0,-6286000.0,142500000.0,355458000.0,12120000.0
ANGO,2014-05-31,False,FY,2014,10-K,354455000.0,13448000.0,3088000.0,0.09,0.09,0.0,800150000.0,152228000.0,72286000.0,16105000.0,537894000.0,25280000.0,-17047000.0,-14016000.0,142660000.0,360294000.0,11771000.0
ANGO,2015-02-28,False,Q3,2015,10-Q,86597000.0,-10151000.0,-4262000.0,-0.12,-0.12,0.0,783136000.0,157292000.0,59687000.0,19704000.0,543756000.0,15436000.0,-12042000.0,641000.0,,360473000.0,11038000.0
ANGO,2014-08-31,False,Q1,2015,10-Q,87331000.0,3242000.0,470000.0,0.01,0.01,0.0,796114000.0,154305000.0,63707000.0,13808000.0,539684000.0,5352000.0,-5258000.0,-2391000.0,,360473000.0,5104000.0
ANGO,2014-11-30,False,Q2,2015,10-Q,92149000.0,4575000.0,1338000.0,0.04,0.04,0.0,799331000.0,163446000.0,57937000.0,14877000.0,543571000.0,3205000.0,-7773000.0,3381000.0,,360473000.0,7523000.0
ANGO,2013-08-31,False,Q1,2014,10-Q,83579000.0,1287000.0,-426000.0,-0.01,-0.01,0.0,801153000.0,145234000.0,74363000.0,22065000.0,528445000.0,7300000.0,-6769000.0,-272000.0,,359736000.0,2903000.0
ANGO,2014-05-31,False,FY,2014,10-K,354425000.0,12940000.0,2666000.0,0.08,0.08,0.0,798891000.0,151722000.0,66753000.0,16105000.0,536835000.0,24681000.0,-16448000.0,-14016000.0,142660000.0,360473000.0,11172000.0
ANGO,2014-05-31,False,FY,2014,10-K,354425000.0,12940000.0,2666000.0,0.08,0.08,0.0,798891000.0,151722000.0,66753000.0,16105000.0,536835000.0,24681000.0,-16448000.0,-14016000.0,142660000.0,360473000.0,11172000.0
ANGO,2015-05-31,False,FY,2015,10-K,356974000.0,-994000.0,-3268000.0,-0.09,-0.09,0.0,773623000.0,155813000.0,61157000.0,18391000.0,545022000.0,26242000.0,-13293000.0,-10465000.0,137660000.0,361252000.0,11940000.0
ANGO,2011-11-30,False,Q2,2012,10-Q,58099000.0,3926000.0,2329000.0,0.09,0.09,0.0,443590000.0,205836000.0,26620000.0,42955000.0,410845000.0,5713000.0,-8735000.0,11000.0,,161951000.0,1058000.0
ANGO,2011-08-31,False,Q1,2012,10-Q,54431000.0,2717000.0,1373000.0,0.05,0.05,0.0,439608000.0,199866000.0,24107000.0,50493000.0,409301000.0,3044000.0,-284000.0,1739000.0,,161951000.0,541000.0
ANGO,2012-02-29,False,Q3,2012,10-Q,51567000.0,-2757000.0,-1768000.0,-0.07,-0.07,0.0,446607000.0,211049000.0,29194000.0,34047000.0,411363000.0,12502000.0,-25440000.0,1003000.0,,161951000.0,1879000.0
ANGO,2015-08-31,False,Q1,2016,10-Q,83703000.0,1070000.0,-757000.0,-0.02,-0.02,0.0,771789000.0,160025000.0,60651000.0,20268000.0,547123000.0,4699000.0,-743000.0,-2071000.0,,361252000.0,743000.0
ANGO,2012-05-31,False,FY,2012,10-K,221787000.0,-2962000.0,-5094000.0,-0.2,-0.2,0.0,721769000.0,159238000.0,55422000.0,23508000.0,523520000.0,11497000.0,-176360000.0,142338000.0,,308912000.0,2492000.0
ANGO,2016-08-31,False,Q1,2017,10-Q,88098000.0,3572000.0,1300000.0,0.04,0.04,0.0,726711000.0,152282000.0,65431000.0,37411000.0,512717000.0,7440000.0,-481000.0,-1797000.0,,361252000.0,481000.0
ANGO,2016-11-30,False,Q2,2017,10-Q,89029000.0,15588000.0,13734000.0,0.37,0.37,0.0,712170000.0,147802000.0,50752000.0,35664000.0,523349000.0,22387000.0,-1396000.0,-17402000.0,115163000.0,361252000.0,1846000.0
ANGO,2015-11-30,False,Q2,2016,10-Q,89234000.0,1317000.0,-362000.0,-0.01,-0.01,0.0,760371000.0,151558000.0,60104000.0,18996000.0,547639000.0,14278000.0,-1143000.0,-12370000.0,,361252000.0,1168000.0
ANGO,2016-02-29,False,Q3,2016,10-Q,87384000.0,2687000.0,630000.0,0.02,0.02,0.0,753513000.0,149401000.0,61579000.0,21897000.0,550745000.0,26672000.0,-3888000.0,-19167000.0,,361252000.0,1895000.0
ANGO,2017-08-31,False,Q1,2018,10-Q,85411000.0,140000.0,-35000.0,0.0,0.0,0.0,700341000.0,150722000.0,64323000.0,48200000.0,517884000.0,3036000.0,-501000.0,-2538000.0,95147000.0,361252000.0,501000.0
ANGO,2017-02-28,False,Q3,2017,10-Q,85602000.0,5140000.0,2887000.0,0.08,0.08,0.0,704318000.0,145051000.0,50641000.0,35571000.0,531750000.0,36752000.0,-1808000.0,-31416000.0,97519000.0,361252000.0,2258000.0
ANGO,2016-05-31,False,FY,2016,10-K,353890000.0,1018000.0,-43590000.0,-1.21,-1.21,0.0,727063000.0,146254000.0,66727000.0,32333000.0,507228000.0,45216000.0,-7569000.0,-23663000.0,121410000.0,361252000.0,2326000.0
ANGO,2017-05-31,False,FY,2017,10-K,349643000.0,12967000.0,5008000.0,0.14,0.14,0.0,707961000.0,153914000.0,71516000.0,47544000.0,515027000.0,55745000.0,-2551000.0,-37983000.0,96320000.0,361252000.0,3001000.0
ANGO,2018-02-28,False,Q3,2018,10-Q,83851000.0,4860000.0,14019000.0,0.38,0.37,0.0,698429000.0,156569000.0,54403000.0,52292000.0,538328000.0,17516000.0,-2912000.0,-10690000.0,92798000.0,361252000.0,1647000.0
ANGO,2017-11-30,False,Q2,2018,10-Q,86706000.0,1123000.0,249000.0,0.01,0.01,0.0,697806000.0,152495000.0,59660000.0,49856000.0,521220000.0,13201000.0,-1222000.0,-10262000.0,93973000.0,361252000.0,1222000.0
ANGO,2018-05-31,False,FY,2018,10-K,344285000.0,10558000.0,16335000.0,0.44,0.44,0.0,705472000.0,168032000.0,57301000.0,74096000.0,542595000.0,41287000.0,-3656000.0,-11551000.0,91621000.0,361252000.0,2391000.0
ANGO,2018-08-31,False,Q1,2019,10-Q,85340000.0,326000.0,-469000.0,-0.01,-0.01,0.0,693871000.0,120885000.0,45789000.0,24762000.0,544889000.0,-8873000.0,-37682000.0,-2645000.0,90444000.0,382992000.0,682000.0
