symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
APA,2011-06-30,False,Q2,2011,10-Q,4355000000.0,2298000000.0,1240000000.0,3.23,3.17,0.15,46529000000.0,4900000000.0,4484000000.0,1107000000.0,26667000000.0,4724000000.0,-3377000000.0,-374000000.0,,1032000000.0,3170000000.0
APA,2011-12-31,False,FY,2011,10-K,16888000000.0,8652000000.0,4508000000.0,11.75,11.47,0.6,52051000000.0,4803000000.0,4963000000.0,295000000.0,28993000000.0,9953000000.0,-8645000000.0,-1147000000.0,,1114000000.0,6414000000.0
APA,2010-09-30,False,Q3,2010,10-Q,3327000000.0,1527000000.0,764989000.0,2.14,2.12,0.0,36928349000.0,4250460000.0,2526730000.0,1211439000.0,21945382000.0,4800194000.0,-10455895000.0,4819023000.0,,189252000.0,3500000000.0
APA,2011-03-31,False,Q1,2011,10-Q,3925000000.0,2042000000.0,1115000000.0,2.91,2.86,0.15,44866000000.0,4001000000.0,3957000000.0,356000000.0,25198000000.0,1979000000.0,-1749000000.0,-8000000.0,7183000000.0,1032000000.0,
APA,2018-12-31,False,FY,2018,10-K,7424000000.0,1819000000.0,40000000.0,0.11,0.11,1.0,21582000000.0,2687000000.0,2201000000.0,714000000.0,8812000000.0,3777000000.0,-3944000000.0,-787000000.0,8204000000.0,,3190000000.0
APA,2011-09-30,False,Q3,2011,10-Q,4328000000.0,2201000000.0,983000000.0,2.56,2.5,0.15,47482000000.0,4576000000.0,4024000000.0,586000000.0,27903000000.0,7171000000.0,-5626000000.0,-1093000000.0,,1032000000.0,4758000000.0
APA,2012-03-31,False,Q1,2012,10-Q,4536000000.0,1655000000.0,778000000.0,2.02,2.0,0.17,53237000000.0,4954000000.0,4698000000.0,245000000.0,29715000000.0,2007000000.0,-2642000000.0,585000000.0,7185000000.0,1114000000.0,1705000000.0
APA,2013-03-31,False,Q1,2013,10-Q,4146000000.0,1559000000.0,698000000.0,1.78,1.76,0.2,61792000000.0,4848000000.0,5562000000.0,248000000.0,31987000000.0,2621000000.0,-2592000000.0,59000000.0,11766000000.0,1369000000.0,2546000000.0
APA,2010-12-31,False,FY,2010,10-K,13780000000.0,6089000000.0,3000000000.0,8.53,8.46,0.6,43425000000.0,3480000000.0,3524000000.0,134000000.0,24377000000.0,6726000000.0,-13403000000.0,4763000000.0,8141000000.0,1032000000.0,
APA,2010-12-31,True,FY,2010,10-K,13780000000.0,6089000000.0,3000000000.0,8.53,8.46,0.6,43425000000.0,3480000000.0,3524000000.0,134000000.0,24377000000.0,6726000000.0,-13403000000.0,4763000000.0,8141000000.0,1032000000.0,
APA,2012-06-30,False,Q2,2012,10-Q,3972000000.0,988000000.0,337000000.0,0.87,0.86,0.17,57217000000.0,4639000000.0,5121000000.0,361000000.0,30673000000.0,4799000000.0,-7586000000.0,2853000000.0,9777000000.0,1114000000.0,3756000000.0
APA,2013-06-30,False,Q2,2013,10-Q,4383000000.0,1558000000.0,1016000000.0,2.59,2.54,0.2,63350000000.0,4758000000.0,5158000000.0,184000000.0,32721000000.0,5380000000.0,-5364000000.0,8000000.0,11267000000.0,1369000000.0,5138000000.0
APA,2012-09-30,False,Q3,2012,10-Q,4179000000.0,,161000000.0,0.41,0.41,0.17,58810000000.0,5044000000.0,5390000000.0,318000000.0,30714000000.0,6422000000.0,-10560000000.0,4161000000.0,9778000000.0,1114000000.0,6387000000.0
APA,2012-12-31,False,FY,2012,10-K,17078000000.0,5473000000.0,1925000000.0,4.95,4.92,0.68,60737000000.0,4962000000.0,5536000000.0,160000000.0,31331000000.0,8504000000.0,-13424000000.0,4785000000.0,12345000000.0,1289000000.0,8781000000.0
APA,2009-09-30,False,Q3,2009,10-Q,2332431000.0,,440596000.0,1.31,1.3,0.0,27225496000.0,4019702000.0,1986949000.0,1357364000.0,15355322000.0,2679471000.0,-2515670000.0,12113000.0,,189252000.0,181133000.0
APA,2009-12-31,False,FY,2009,10-K,8614826000.0,,-291692000.0,-0.87,-0.87,0.6,28185743000.0,4585849000.0,2392558000.0,2048117000.0,15778621000.0,4223643000.0,-3247426000.0,-109550000.0,,189252000.0,0.0
APA,2009-06-30,False,Q2,2009,10-Q,2093378000.0,,443300000.0,1.32,1.31,0.0,26401927000.0,3485085000.0,1808355000.0,771557000.0,14958695000.0,1366729000.0,-1742791000.0,-33831000.0,,189252000.0,-181133000.0
APA,2010-03-31,False,Q1,2010,10-Q,2693625000.0,,704981000.0,2.09,2.08,0.15,29228161000.0,5038255000.0,2240726000.0,2125634000.0,16758536000.0,1153429000.0,-1047750000.0,-28162000.0,,189252000.0,
APA,2010-06-30,False,Q2,2010,10-Q,2971910000.0,1539000000.0,860223000.0,2.55,2.53,0.0,30432407000.0,4506940000.0,2202835000.0,1805347000.0,17675760000.0,3085441000.0,-3218483000.0,-109728000.0,,189252000.0,
APA,2010-06-30,True,Q2,2010,10-Q,2971910000.0,1539000000.0,860223000.0,2.55,2.53,0.0,30432407000.0,4506940000.0,2202835000.0,1805347000.0,17675760000.0,3085441000.0,-3218483000.0,-109728000.0,,189252000.0,
APA,2013-09-30,False,Q3,2013,10-Q,4409000000.0,1084000000.0,300000000.0,0.75,0.75,0.2,60239000000.0,6016000000.0,4523000000.0,1251000000.0,32981000000.0,7358000000.0,-4334000000.0,-1933000000.0,10868000000.0,1369000000.0,7498000000.0
APA,2014-03-31,False,Q1,2014,10-Q,3647000000.0,1549000000.0,236000000.0,0.6,0.6,0.25,61121000000.0,5463000000.0,4356000000.0,1643000000.0,35177000000.0,2293000000.0,-1949000000.0,-607000000.0,9673000000.0,1369000000.0,2362000000.0
APA,2014-09-30,False,Q3,2014,10-Q,3468000000.0,-302000000.0,-1330000000.0,-3.5,-3.5,0.25,60990000000.0,4426000000.0,4307000000.0,510000000.0,32986000000.0,6528000000.0,-6941000000.0,-983000000.0,9674000000.0,1369000000.0,655000000.0
APA,2014-06-30,False,Q2,2014,10-Q,3708000000.0,1346000000.0,505000000.0,1.31,1.31,0.25,61171000000.0,5126000000.0,4570000000.0,524000000.0,34892000000.0,4632000000.0,-4491000000.0,-1523000000.0,9674000000.0,1369000000.0,5000000.0
APA,2015-09-30,False,Q3,2015,10-Q,1572000000.0,-5706000000.0,-5655000000.0,-14.95,-14.95,0.25,27812000000.0,4079000000.0,2167000000.0,1655000000.0,11972000000.0,2722000000.0,1027000000.0,-2863000000.0,8777000000.0,,3844000000.0
APA,2016-03-31,False,Q1,2016,10-Q,1060000000.0,-501000000.0,-489000000.0,-1.29,-1.29,0.25,17679000000.0,3222000000.0,1598000000.0,1004000000.0,3554000000.0,276000000.0,-592000000.0,-147000000.0,59000000.0,,583000000.0
