symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
APH,2010-09-30,False,Q3,2010,10-Q,948463000.0,189134000.0,137268000.0,0.79,0.78,0.015,3968771000.0,1957676000.0,687149000.0,480528000.0,2170163000.0,264211000.0,-306369000.0,137384000.0,,1527824000.0,72328000.0
APH,2010-06-30,False,Q2,2010,10-Q,884798000.0,175625000.0,129671000.0,0.75,0.74,0.015,3556768000.0,1757703000.0,596916000.0,436677000.0,1981016000.0,135871000.0,-101301000.0,29894000.0,,1382363000.0,43086000.0
APH,2012-03-31,False,Q1,2012,10-Q,981604000.0,185279000.0,126563000.0,0.78,0.77,0.105,4577380000.0,2291800000.0,744979000.0,620983000.0,2264718000.0,164204000.0,-18909000.0,-42918000.0,,1754951000.0,31523000.0
APH,2010-12-31,False,FY,2010,10-K,3554101000.0,700357000.0,496405000.0,2.86,2.82,0.06,4015857000.0,1992130000.0,654990000.0,525888000.0,2342715000.0,424893000.0,-348225000.0,64721000.0,799992000.0,1533299000.0,109458000.0
APH,2010-03-31,False,Q1,2010,10-Q,770954000.0,145044000.0,98353000.0,0.57,0.56,0.015,3410516000.0,1616345000.0,592881000.0,431719000.0,1867441000.0,31843000.0,-29706000.0,48720000.0,,1371800000.0,18353000.0
APH,2018-12-31,False,FY,2018,10-K,8202000000.0,1686900000.0,1205000000.0,4.0,3.85,0.88,10044900000.0,4571600000.0,2451300000.0,1279300000.0,4064200000.0,1112700000.0,-441800000.0,-1070100000.0,0.0,4103200000.0,310600000.0
APH,2011-03-31,False,Q1,2011,10-Q,940585000.0,186085000.0,127958000.0,0.73,0.72,0.015,4171233000.0,2145894000.0,682427000.0,592999000.0,2326479000.0,107738000.0,-23259000.0,-25516000.0,,1536506000.0,23178000.0
APH,2011-12-31,False,FY,2011,10-K,3939786000.0,751678000.0,524191000.0,3.09,3.05,0.06,4445225000.0,2181237000.0,642415000.0,515086000.0,2184786000.0,565207000.0,-430884000.0,-151148000.0,1377129000.0,1746113000.0,100222000.0
APH,2011-09-30,False,Q3,2011,10-Q,1032754000.0,186059000.0,134623000.0,0.8,0.79,0.015,4361796000.0,2327812000.0,662203000.0,690179000.0,2229549000.0,396589000.0,-110296000.0,-123221000.0,,1559958000.0,72048000.0
APH,2012-09-30,False,Q3,2012,10-Q,1103376000.0,215670000.0,147450000.0,0.91,0.9,0.105,5070965000.0,2640981000.0,864588000.0,725546000.0,2438218000.0,467603000.0,-305409000.0,44767000.0,,1876539000.0,96489000.0
APH,2013-03-31,False,Q1,2013,10-Q,1079805000.0,206957000.0,153007000.0,0.96,0.94,0.105,5213961000.0,2725671000.0,815014000.0,734993000.0,2517067000.0,180254000.0,-63938000.0,-65060000.0,,1919929000.0,29685000.0
APH,2011-06-30,False,Q2,2011,10-Q,1017738000.0,214874000.0,147751000.0,0.86,0.85,0.015,4322735000.0,2246680000.0,648378000.0,611208000.0,2309404000.0,212347000.0,-84675000.0,-56143000.0,,1576987000.0,45780000.0
APH,2013-06-30,False,Q2,2013,10-Q,1136067000.0,224013000.0,153988000.0,0.96,0.95,0.105,5404301000.0,2874470000.0,815559000.0,723659000.0,2597260000.0,360806000.0,-275901000.0,-42632000.0,,1952251000.0,66037000.0
APH,2012-06-30,False,Q2,2012,10-Q,1061107000.0,206176000.0,140942000.0,0.87,0.86,0.105,4766839000.0,2426160000.0,801656000.0,646014000.0,2263517000.0,291605000.0,-144069000.0,-14237000.0,,1803710000.0,63422000.0
APH,2012-12-31,False,FY,2012,10-K,4292065000.0,828345000.0,555317000.0,3.44,3.39,0.42,5215463000.0,2706915000.0,888514000.0,690850000.0,2442182000.0,674679000.0,-493599000.0,-13084000.0,1706497000.0,1932740000.0,129099000.0
APH,2009-06-30,False,Q2,2009,10-Q,685184000.0,115478000.0,74870000.0,0.44,0.43,0.015,2999517000.0,1206941000.0,437595000.0,220765000.0,1528728000.0,284641000.0,-303003000.0,31286000.0,,1349707000.0,
APH,2009-09-30,False,Q3,2009,10-Q,716573000.0,124290000.0,80915000.0,0.47,0.47,0.015,3140911000.0,1337750000.0,497337000.0,307569000.0,1643197000.0,430583000.0,-332414000.0,-1570000.0,,1365176000.0,
APH,2013-09-30,False,Q3,2013,10-Q,1153062000.0,224483000.0,160798000.0,1.01,0.99,0.2,5640681000.0,3077535000.0,893201000.0,889366000.0,2666520000.0,557724000.0,-290254000.0,-75331000.0,,1972428000.0,105740000.0
