symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
MNDL,2014-06-30,False,Q1,2015,10-Q,5554000.0,-4680000.0,-4610000.0,-0.12,-0.12,0.0,38545000.0,24426000.0,9084000.0,18687000.0,29461000.0,-3135000.0,-22000.0,,,6309000.0,
APPS,2018-12-31,False,Q3,2019,10-Q,30411000.0,2456000.0,-1348000.0,-0.01,-0.01,0.0,85892000.0,39661000.0,44411000.0,10100000.0,31753000.0,-907000.0,-1781000.0,173000.0,,42266000.0,
MNDL,2013-09-30,False,Q2,2014,10-Q,6996000.0,-3892000.0,-6222000.0,-0.25,-0.25,0.0,30515000.0,14294000.0,11036000.0,7806000.0,19241000.0,-3893000.0,805000.0,11267000.0,0.0,4770000.0,
MNDL,2013-06-30,False,Q1,2013,10-Q,5092000.0,-4153000.0,-5686000.0,-0.3,-0.3,0.0,24299000.0,7478000.0,17338000.0,1553000.0,4838000.0,-1594000.0,-792000.0,2700000.0,1282000.0,4840000.0,
MNDL,2013-03-31,True,FY,2013,10-K,6025000.0,-12380000.0,-14161000.0,-0.8,-0.8,0.0,12485000.0,3992000.0,9655000.0,1149000.0,737000.0,-6865000.0,-3369000.0,2550000.0,1252000.0,3588000.0,
MNDL,2013-12-31,False,Q3,2014,10-Q,7033000.0,-4188000.0,-4176000.0,-0.13,-0.13,0.0,27249000.0,11428000.0,10748000.0,4656000.0,16263000.0,-6911000.0,-835000.0,11267000.0,0.0,4770000.0,
MNDL,2014-03-31,False,FY,2014,10-K,24404000.0,-15524000.0,-18704000.0,-0.63,-0.63,0.0,45095000.0,27481000.0,11906000.0,21805000.0,32951000.0,-7807000.0,-981000.0,29640000.0,,4837000.0,
MNDL,2014-09-30,False,Q2,2015,10-Q,5462000.0,-4645000.0,-5201000.0,-0.14,-0.14,0.0,35872000.0,21687000.0,10044000.0,16715000.0,25828000.0,-5479000.0,5000.0,375000.0,,6309000.0,
APPS,2015-06-30,False,Q1,2016,10-Q,18686000.0,-7151000.0,-8119000.0,-0.14,-0.14,0.0,120256000.0,19723000.0,28057000.0,6180000.0,84992000.0,-359000.0,-318000.0,-140000.0,8000000.0,76801000.0,
APPS,2015-09-30,False,Q2,2016,10-Q,20734000.0,-8144000.0,-8322000.0,-0.14,-0.14,0.0,115773000.0,19760000.0,29841000.0,4582000.0,78606000.0,-1688000.0,-587000.0,-251000.0,8000000.0,76621000.0,
APPS,2014-12-31,False,Q3,2015,10-Q,7006000.0,-5391000.0,-5484000.0,-0.15,-0.15,0.0,33346000.0,17592000.0,11680000.0,11384000.0,21666000.0,-8705000.0,-2107000.0,375000.0,,7309000.0,2125000.0
APPS,2015-03-31,False,FY,2015,10-K,28252000.0,-23737000.0,-24647000.0,-0.63,-0.63,0.0,122571000.0,20192000.0,23952000.0,7069000.0,91529000.0,-14500000.0,-878000.0,511000.0,8000000.0,76747000.0,2125000.0
MNDL,2011-06-30,False,Q1,2011,10-Q,1893000.0,-471000.0,-771000.0,-0.02,-0.02,0.0,13528000.0,3260000.0,7056000.0,649000.0,2120000.0,-268000.0,-34000.0,,,6609000.0,34000.0
MNDL,2011-09-30,False,Q2,2011,10-Q,1938000.0,-686000.0,-931000.0,-0.02,-0.02,0.0,13082000.0,2924000.0,7300000.0,572000.0,1220000.0,-316000.0,-4000.0,,,6609000.0,4000.0
MNDL,2012-06-30,False,Q1,2012,10-Q,1290000.0,-2252000.0,-2753000.0,-0.03,-0.03,0.0,13995000.0,9395000.0,7238000.0,8240000.0,5379000.0,-1590000.0,,1000000.0,,3640000.0,
MNDL,2011-12-31,False,Q3,2011,10-Q,1957000.0,-6115000.0,-6878000.0,-0.16,-0.16,0.0,19794000.0,9727000.0,20546000.0,7406000.0,-17532000.0,-487000.0,-10000.0,6989000.0,,6609000.0,
MNDL,2012-09-30,False,Q2,2012,10-Q,912000.0,-3235000.0,-3775000.0,-0.04,-0.04,0.0,15554000.0,5549000.0,9429000.0,3137000.0,3803000.0,-3294000.0,-3365000.0,1000000.0,,4537000.0,
MNDL,2012-12-31,False,Q3,2012,10-Q,2049000.0,-3579000.0,-4214000.0,-0.05,-0.05,0.0,14299000.0,4585000.0,8779000.0,1641000.0,2968000.0,-5862000.0,-3357000.0,2000000.0,,4537000.0,
APPS,2015-12-31,False,Q3,2016,10-Q,24089000.0,-5265000.0,-5763000.0,-0.09,-0.09,0.0,125145000.0,31374000.0,30889000.0,13679000.0,86811000.0,-5491000.0,-101000.0,12228000.0,8000000.0,76621000.0,0.0
MNDL,2012-03-31,False,FY,2012,10-K,7230000.0,-16971000.0,-30707000.0,-0.62,-0.62,0.0,14796000.0,10109000.0,6020000.0,8799000.0,5699000.0,-1829000.0,-17000.0,9700000.0,,3640000.0,
APPS,2016-06-30,False,Q1,2017,10-Q,24039000.0,-6449000.0,-7412000.0,-0.11,-0.11,0.0,116474000.0,25701000.0,39448000.0,9412000.0,76191000.0,-1096000.0,-472000.0,-278000.0,8000000.0,76621000.0,
APPS,2016-03-31,False,FY,2016,10-K,86541000.0,-25936000.0,-28032000.0,-0.46,-0.46,0.0,122068000.0,29674000.0,38982000.0,11231000.0,82271000.0,-7069000.0,-674000.0,12078000.0,8000000.0,76621000.0,0.0
MNDL,2013-03-31,False,FY,2013,10-K,6025000.0,-12380000.0,-14161000.0,-0.8,-0.8,0.0,12485000.0,3992000.0,9655000.0,1149000.0,737000.0,-6865000.0,-3369000.0,2550000.0,1252000.0,3588000.0,
APPS,2016-12-31,False,Q3,2017,10-Q,22285000.0,-5410000.0,-2586000.0,-0.04,-0.04,0.0,112216000.0,25977000.0,31457000.0,5705000.0,68506000.0,-7788000.0,-382000.0,2692000.0,9460000.0,76621000.0,
APPS,2017-09-30,False,Q2,2018,10-Q,27891000.0,-1250000.0,-6458000.0,-0.1,-0.1,0.0,113813000.0,30546000.0,38999000.0,5867000.0,60244000.0,-1380000.0,-823000.0,1926000.0,,76621000.0,
APPS,2017-03-31,False,FY,2017,10-K,91553000.0,-22020000.0,-24264000.0,-0.36,-0.36,0.0,107580000.0,23665000.0,30774000.0,6149000.0,62045000.0,-6995000.0,-596000.0,2628000.0,10000.0,76621000.0,0.0
APPS,2017-06-30,False,Q1,2018,10-Q,26120000.0,-1524000.0,-4175000.0,-0.06,-0.06,0.0,110873000.0,27472000.0,35198000.0,6302000.0,58735000.0,-1404000.0,-374000.0,1939000.0,,76621000.0,
APPS,2016-09-30,False,Q2,2017,10-Q,22832000.0,-6307000.0,-7341000.0,-0.11,-0.11,0.0,117093000.0,27881000.0,31417000.0,9416000.0,69971000.0,-3567000.0,-1115000.0,2920000.0,9384000.0,76621000.0,
APPS,2017-12-31,False,Q3,2018,10-Q,38031000.0,-596000.0,-3799000.0,-0.05,-0.05,0.0,123165000.0,40414000.0,48214000.0,6883000.0,59651000.0,482000.0,-1312000.0,1568000.0,,76621000.0,
APPS,2016-09-30,False,Q2,2017,10-Q,22832000.0,-6307000.0,-7341000.0,-0.11,-0.11,0.0,117093000.0,27881000.0,31417000.0,9416000.0,69971000.0,-3567000.0,-1115000.0,2920000.0,9384000.0,76621000.0,
APPS,2018-06-30,False,Q1,2019,10-Q,22112000.0,-1260000.0,484000.0,0.02,0.02,0.0,80168000.0,33661000.0,41931000.0,8638000.0,28780000.0,-3619000.0,-452000.0,-11000.0,,42268000.0,
APPS,2018-03-31,False,FY,2018,10-K,74751000.0,-5809000.0,-52857000.0,-0.28,-0.28,0.0,86607000.0,39755000.0,46406000.0,12720000.0,27672000.0,6966000.0,-2134000.0,1743000.0,3873000.0,42268000.0,
APPS,2018-09-30,False,Q2,2019,10-Q,23854000.0,315000.0,1712000.0,0.03,0.03,0.0,80717000.0,34182000.0,41922000.0,8349000.0,32165000.0,-3255000.0,-1126000.0,110000.0,,42266000.0,
