symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
DLPH,2012-09-30,False,Q3,2012,10-Q,3663000000.0,367000000.0,269000000.0,0.84,0.84,0.0,9639000000.0,5897000000.0,3670000000.0,1634000000.0,2870000000.0,1168000000.0,-526000000.0,-360000000.0,2090000000.0,548000000.0,563000000.0
DLPH,2012-03-31,False,Q1,2012,10-Q,4092000000.0,464000000.0,342000000.0,1.04,1.04,0.0,9688000000.0,6016000000.0,3888000000.0,1412000000.0,2645000000.0,293000000.0,-240000000.0,-23000000.0,,580000000.0,260000000.0
APTV,2018-12-31,False,FY,2018,10-K,14435000000.0,1473000000.0,1067000000.0,4.04,4.02,0.88,12480000000.0,4777000000.0,3694000000.0,567000000.0,3670000000.0,1628000000.0,-2048000000.0,-555000000.0,4344000000.0,2524000000.0,846000000.0
DLPH,2012-06-30,False,Q2,2012,10-Q,3997000000.0,468000000.0,330000000.0,1.01,1.01,0.0,9437000000.0,5850000000.0,3696000000.0,1523000000.0,2663000000.0,754000000.0,-366000000.0,-193000000.0,2064000000.0,552000000.0,400000000.0
DLPH,2013-06-30,False,Q2,2013,10-Q,4240000000.0,483000000.0,367000000.0,1.18,1.17,0.17,10551000000.0,5633000000.0,3809000000.0,1001000000.0,3042000000.0,672000000.0,-327000000.0,-440000000.0,2426000000.0,467000000.0,336000000.0
DLPH,2013-09-30,False,Q3,2013,10-Q,4017000000.0,387000000.0,271000000.0,0.88,0.87,0.17,10811000000.0,5787000000.0,3857000000.0,1053000000.0,3223000000.0,1070000000.0,-495000000.0,-632000000.0,2418000000.0,485000000.0,512000000.0
DLPH,2013-03-31,False,Q1,2013,10-Q,4024000000.0,397000000.0,276000000.0,0.88,0.88,0.17,10273000000.0,5387000000.0,3674000000.0,830000000.0,2897000000.0,149000000.0,-205000000.0,-216000000.0,2478000000.0,466000000.0,213000000.0
DLPH,2013-12-31,False,FY,2013,10-K,16463000000.0,1684000000.0,1212000000.0,3.9,3.89,0.68,11047000000.0,5752000000.0,3894000000.0,1389000000.0,3434000000.0,1750000000.0,-655000000.0,-822000000.0,2412000000.0,496000000.0,682000000.0
DLPH,2012-12-31,False,FY,2012,10-K,15519000000.0,1476000000.0,1077000000.0,3.34,3.33,0.0,10176000000.0,5227000000.0,3659000000.0,1105000000.0,2830000000.0,1478000000.0,-1631000000.0,-105000000.0,2464000000.0,473000000.0,705000000.0
DLPH,2014-03-31,False,Q1,2014,10-Q,4276000000.0,459000000.0,320000000.0,1.05,1.04,0.25,11182000000.0,5880000000.0,3930000000.0,978000000.0,3494000000.0,136000000.0,-300000000.0,-241000000.0,2449000000.0,494000000.0,298000000.0
DLPH,2015-06-30,False,Q2,2015,10-Q,3858000000.0,481000000.0,645000000.0,2.24,2.23,0.25,10809000000.0,5934000000.0,3772000000.0,1171000000.0,3021000000.0,669000000.0,208000000.0,-544000000.0,2736000000.0,619000000.0,360000000.0
DLPH,2015-09-30,False,Q3,2015,10-Q,3631000000.0,461000000.0,404000000.0,1.43,1.42,0.25,10792000000.0,5054000000.0,4028000000.0,434000000.0,2774000000.0,1008000000.0,-735000000.0,-677000000.0,3122000000.0,640000000.0,539000000.0
DLPH,2015-03-31,False,Q1,2015,10-Q,3797000000.0,446000000.0,209000000.0,0.72,0.72,0.25,10464000000.0,5687000000.0,3818000000.0,558000000.0,2663000000.0,135000000.0,-250000000.0,-167000000.0,2717000000.0,611000000.0,213000000.0
DLPH,2016-09-30,False,Q3,2016,10-Q,4091000000.0,460000000.0,293000000.0,1.08,1.07,0.29,12122000000.0,5147000000.0,3841000000.0,395000000.0,2921000000.0,1258000000.0,-587000000.0,-860000000.0,4074000000.0,1583000000.0,614000000.0
DLPH,2016-03-31,False,Q1,2016,10-Q,4051000000.0,441000000.0,425000000.0,1.54,1.53,0.29,12071000000.0,5082000000.0,4061000000.0,463000000.0,2644000000.0,268000000.0,-224000000.0,-166000000.0,4353000000.0,1578000000.0,240000000.0
DLPH,2015-12-31,False,FY,2015,10-K,15165000000.0,1723000000.0,1450000000.0,5.08,5.06,1.0,11973000000.0,5121000000.0,3927000000.0,535000000.0,2733000000.0,1703000000.0,-1699000000.0,-284000000.0,4008000000.0,1539000000.0,704000000.0
DLPH,2016-06-30,False,Q2,2016,10-Q,4206000000.0,391000000.0,258000000.0,0.95,0.94,0.29,11957000000.0,5051000000.0,3899000000.0,437000000.0,2770000000.0,843000000.0,-390000000.0,-595000000.0,4066000000.0,1571000000.0,412000000.0
DLPH,2016-12-31,False,FY,2016,10-K,16661000000.0,1947000000.0,1257000000.0,4.6,4.59,1.16,12292000000.0,5419000000.0,4148000000.0,838000000.0,2763000000.0,1941000000.0,-578000000.0,-1081000000.0,3971000000.0,1508000000.0,828000000.0
DLPH,2014-12-31,False,FY,2014,10-K,17023000000.0,1847000000.0,1351000000.0,4.5,4.48,1.0,10746000000.0,5224000000.0,3889000000.0,904000000.0,3013000000.0,2135000000.0,-1186000000.0,-1398000000.0,2451000000.0,656000000.0,855000000.0
DLPH,2014-09-30,False,Q3,2014,10-Q,4144000000.0,414000000.0,305000000.0,1.02,1.02,0.25,10923000000.0,5682000000.0,3844000000.0,1026000000.0,3379000000.0,1262000000.0,-657000000.0,-949000000.0,2454000000.0,456000000.0,666000000.0
DLPH,2014-06-30,False,Q2,2014,10-Q,4451000000.0,488000000.0,382000000.0,1.26,1.26,0.25,11452000000.0,6082000000.0,3998000000.0,1166000000.0,3684000000.0,763000000.0,-466000000.0,-519000000.0,2452000000.0,489000000.0,470000000.0
