symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
APVO,2016-06-30,True,Q2,2016,10-Q,10193000.0,-12845000.0,-12838000.0,-0.63,-0.63,0.0,118159000.0,39847000.0,17028000.0,5496000.0,97197000.0,-30063000.0,-1979000.0,32901000.0,,13902000.0,1979000.0
APVO,2016-12-31,False,FY,2016,10-K,36434000.0,-126945000.0,-112415000.0,-5.55,-5.55,0.0,91858000.0,71414000.0,19544000.0,9676000.0,50566000.0,-36862000.0,-47394000.0,89295000.0,,,2512000.0
APVO,2018-09-30,False,Q3,2018,10-Q,5824000.0,-12127000.0,-12562000.0,-0.56,-0.56,0.0,78934000.0,60395000.0,15442000.0,28447000.0,44000000.0,-44130000.0,63756000.0,-826000.0,,,927000.0
APVO,2017-12-31,False,FY,2017,10-K,14658000.0,-53949000.0,6973000.0,-1.53,-1.53,0.0,117007000.0,95084000.0,18510000.0,7095000.0,82035000.0,-41573000.0,29458000.0,9534000.0,,,1402000.0
APVO,2017-06-30,False,Q2,2017,10-Q,10764000.0,-10676000.0,-11189000.0,-0.53,-0.53,0.0,86891000.0,67193000.0,11883000.0,22269000.0,51420000.0,-24538000.0,17940000.0,19191000.0,,,970000.0
APVO,2016-09-30,False,Q3,2016,10-Q,9405000.0,-71254000.0,-71741000.0,-3.55,-3.55,0.0,100623000.0,79429000.0,15233000.0,10894000.0,63750000.0,-30197000.0,-51735000.0,88189000.0,,,1933000.0
APVO,2017-03-31,False,Q1,2017,10-Q,7409000.0,-9539000.0,-9945000.0,-0.48,-0.48,0.0,97793000.0,77396000.0,14459000.0,14014000.0,61486000.0,-12027000.0,-2830000.0,19195000.0,,,794000.0
APVO,2018-03-31,False,Q1,2018,10-Q,4071000.0,-13501000.0,-13854000.0,-0.63,-0.63,0.0,100212000.0,77160000.0,17273000.0,11830000.0,68364000.0,-16978000.0,23512000.0,-556000.0,,,473000.0
APVO,2018-06-30,False,Q2,2018,10-Q,6826000.0,-12444000.0,-13144000.0,-0.58,-0.58,0.0,89997000.0,66247000.0,18102000.0,7228000.0,56030000.0,-32984000.0,35807000.0,-243000.0,,,567000.0
APVO,2017-09-30,False,Q3,2017,10-Q,6172000.0,-10348000.0,37867000.0,1.77,1.75,0.0,131022000.0,115322000.0,14870000.0,75830000.0,90310000.0,-26152000.0,83299000.0,9007000.0,,,1105000.0
