symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ARC,2018-12-31,False,FY,2018,10-K,400784000.0,17860000.0,8873000.0,0.2,0.2,0.0,339716000.0,115375000.0,80950000.0,29433000.0,147302000.0,54964000.0,-14235000.0,-38700000.0,52694000.0,121051000.0,14930000.0
ARC,2011-09-30,False,Q3,2011,10-Q,104792000.0,-36372000.0,-41757000.0,-0.92,-0.92,0.0,464439000.0,121988000.0,84321000.0,25954000.0,139021000.0,17617000.0,-4038000.0,-9535000.0,,229315000.0,11938000.0
ARC,2011-12-31,False,FY,2011,10-K,422732000.0,-51176000.0,-133087000.0,-2.93,-2.93,0.0,441357000.0,103797000.0,63392000.0,25437000.0,137065000.0,49168000.0,-25182000.0,-25107000.0,,229315000.0,15553000.0
ARC,2012-06-30,False,Q2,2012,10-Q,106228000.0,6975000.0,-1053000.0,-0.02,-0.02,0.0,441919000.0,109237000.0,64343000.0,23318000.0,134417000.0,4455000.0,-5832000.0,-5054000.0,224411000.0,229315000.0,9262000.0
ARC,2012-09-30,False,Q3,2012,10-Q,99426000.0,-13221000.0,-20112000.0,-0.44,-0.44,0.0,428769000.0,115461000.0,71668000.0,30534000.0,115635000.0,14029000.0,-4615000.0,-2151000.0,224232000.0,212608000.0,14194000.0
ARC,2012-12-31,False,FY,2012,10-K,406118000.0,-616000.0,-31968000.0,-0.7,-0.7,0.0,415839000.0,104223000.0,63573000.0,28021000.0,110837000.0,37552000.0,-20025000.0,-15067000.0,222525000.0,212608000.0,20348000.0
ARC,2011-06-30,False,Q2,2011,10-Q,109590000.0,-19165000.0,-84630000.0,-1.87,-1.87,0.0,508993000.0,119300000.0,83069000.0,21907000.0,179852000.0,11873000.0,-16704000.0,140000.0,,271424000.0,7622000.0
ARC,2012-03-31,False,Q1,2012,10-Q,103573000.0,3828000.0,-4907000.0,-0.11,-0.11,0.0,448452000.0,114403000.0,71525000.0,29814000.0,134423000.0,12395000.0,-3614000.0,-4527000.0,,229315000.0,3805000.0
ARC,2013-03-31,False,Q1,2013,10-Q,100036000.0,6387000.0,415000.0,0.01,0.01,0.0,421102000.0,111638000.0,68860000.0,30219000.0,111959000.0,11881000.0,-5255000.0,-4471000.0,219388000.0,212608000.0,5612000.0
ARC,2014-09-30,False,Q3,2014,10-Q,106807000.0,8384000.0,3661000.0,0.08,0.08,0.0,416791000.0,114079000.0,74923000.0,24835000.0,111461000.0,15311000.0,-3325000.0,-11307000.0,205632000.0,212608000.0,10027000.0
ARC,2013-12-31,False,FY,2013,10-K,407195000.0,28381000.0,-15323000.0,-0.33,-0.33,0.0,409922000.0,106430000.0,77725000.0,27362000.0,99139000.0,46798000.0,-17450000.0,-30284000.0,219728000.0,212608000.0,18191000.0
ARC,2014-06-30,False,Q2,2014,10-Q,108982000.0,9150000.0,4545000.0,0.1,0.1,0.0,414927000.0,111778000.0,74446000.0,24206000.0,107590000.0,14024000.0,-3138000.0,-10727000.0,210836000.0,212608000.0,6597000.0
ARC,2014-03-31,False,Q1,2014,10-Q,100373000.0,5847000.0,1396000.0,0.03,0.03,0.0,410776000.0,108650000.0,76129000.0,23993000.0,101925000.0,7714000.0,-3401000.0,-7556000.0,216385000.0,212608000.0,3565000.0
ARC,2013-09-30,False,Q3,2013,10-Q,101252000.0,6594000.0,-450000.0,-0.01,-0.01,0.0,423606000.0,118044000.0,73851000.0,37054000.0,113815000.0,20019000.0,-4731000.0,-10763000.0,213385000.0,212608000.0,14856000.0
ARC,2013-06-30,False,Q2,2013,10-Q,104622000.0,8385000.0,722000.0,0.02,0.02,0.0,424366000.0,116902000.0,68677000.0,32377000.0,113511000.0,8110000.0,-4248000.0,-1825000.0,220783000.0,212608000.0,10042000.0
ARC,2015-03-31,False,Q1,2015,10-Q,104319000.0,7003000.0,4436000.0,0.1,0.09,0.0,410105000.0,110398000.0,85045000.0,17561000.0,115656000.0,5288000.0,-3346000.0,-7135000.0,170000000.0,212608000.0,3501000.0
ARC,2015-09-30,False,Q3,2015,10-Q,106418000.0,8748000.0,80286000.0,1.72,1.69,0.0,481772000.0,115381000.0,74534000.0,20824000.0,205705000.0,20965000.0,-3614000.0,-11365000.0,151000000.0,212608000.0,11517000.0
ARC,2016-03-31,False,Q1,2016,10-Q,103550000.0,6066000.0,2574000.0,0.06,0.05,0.0,465961000.0,104742000.0,64250000.0,16793000.0,209999000.0,5303000.0,-2279000.0,-10299000.0,137147000.0,212608000.0,2505000.0
ARC,2015-12-31,False,FY,2015,10-K,428665000.0,35113000.0,97040000.0,2.08,2.04,0.0,476124000.0,109706000.0,69675000.0,23963000.0,209134000.0,59981000.0,-13656000.0,-44207000.0,143000000.0,212608000.0,14245000.0
ARC,2014-12-31,False,FY,2014,10-K,423756000.0,29842000.0,7275000.0,0.16,0.15,0.0,414068000.0,112057000.0,91393000.0,22636000.0,109838000.0,50012000.0,-13796000.0,-40771000.0,173000000.0,212608000.0,13269000.0
ARC,2016-06-30,False,Q2,2016,10-Q,103770000.0,-64268000.0,-55904000.0,-1.22,-1.22,0.0,400481000.0,110068000.0,66845000.0,20452000.0,151542000.0,16580000.0,-2164000.0,-10436000.0,132631000.0,138688000.0,5150000.0
ARC,2015-06-30,False,Q2,2015,10-Q,113389000.0,12274000.0,9257000.0,0.2,0.19,0.0,411146000.0,112767000.0,79256000.0,15436000.0,126112000.0,16864000.0,-4043000.0,-14881000.0,159000000.0,212608000.0,7637000.0
ARC,2017-03-31,False,Q1,2017,10-Q,98731000.0,4576000.0,1784000.0,0.04,0.04,0.0,365314000.0,107982000.0,63316000.0,19669000.0,160124000.0,6942000.0,-1880000.0,-10899000.0,111621000.0,138688000.0,2012000.0
ARC,2018-06-30,False,Q2,2018,10-Q,104190000.0,7344000.0,4074000.0,0.09,0.09,0.0,338964000.0,114132000.0,77049000.0,24738000.0,142021000.0,22965000.0,-6345000.0,-19266000.0,54845000.0,121051000.0,6717000.0
ARC,2018-03-31,False,Q1,2018,10-Q,97708000.0,1876000.0,628000.0,0.01,0.01,0.0,325803000.0,102971000.0,65512000.0,13968000.0,139124000.0,-1979000.0,-2512000.0,-9695000.0,55920000.0,121051000.0,2892000.0
ARC,2016-12-31,False,FY,2016,10-K,406321000.0,-45731000.0,-47865000.0,-1.04,-1.04,0.0,399577000.0,111804000.0,66912000.0,25239000.0,156821000.0,53142000.0,-10996000.0,-39796000.0,119961000.0,138688000.0,12097000.0
ARC,2017-09-30,False,Q3,2017,10-Q,96458000.0,-15306000.0,-14774000.0,-0.32,-0.32,0.0,355243000.0,114506000.0,71244000.0,26363000.0,151753000.0,11326000.0,-2263000.0,-9465000.0,58064000.0,121051000.0,7246000.0
ARC,2016-09-30,False,Q3,2016,10-Q,100443000.0,6677000.0,2841000.0,0.06,0.06,0.0,395565000.0,109168000.0,62449000.0,19640000.0,154811000.0,12163000.0,-2295000.0,-10600000.0,125808000.0,138688000.0,7580000.0
ARC,2018-09-30,False,Q3,2018,10-Q,100473000.0,4750000.0,2559000.0,0.06,0.06,0.0,335364000.0,110763000.0,75087000.0,18404000.0,144914000.0,30062000.0,-9907000.0,-28961000.0,53770000.0,121051000.0,10463000.0
ARC,2017-12-31,False,FY,2017,10-K,394579000.0,217000.0,-21511000.0,-0.47,-0.47,0.0,339425000.0,114481000.0,74898000.0,28059000.0,137611000.0,52370000.0,-8362000.0,-42063000.0,56993000.0,121051000.0,9106000.0
ARC,2017-06-30,False,Q2,2017,10-Q,102280000.0,7854000.0,3636000.0,0.08,0.08,0.0,371382000.0,115780000.0,66891000.0,26604000.0,165047000.0,18488000.0,-2637000.0,-8979000.0,110000000.0,138688000.0,4911000.0
