symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ARRY,2012-03-31,False,Q3,2012,10-Q,19113000.0,-5498000.0,-8168000.0,-0.11,-0.11,0.0,120040000.0,104116000.0,75697000.0,63025000.0,-78770000.0,-23568000.0,-21349000.0,59843000.0,,,1098000.0
ARRY,2011-12-31,False,Q2,2012,10-Q,23228000.0,30000.0,-3803000.0,-0.06,-0.06,0.0,82152000.0,64895000.0,80028000.0,60363000.0,-127193000.0,-6151000.0,14686000.0,3729000.0,,,926000.0
ARRY,2013-03-31,False,Q3,2013,10-Q,9955000.0,-18775000.0,-21594000.0,-0.19,-0.19,0.0,107431000.0,94164000.0,54138000.0,43998000.0,-52415000.0,-72984000.0,-11104000.0,72287000.0,95349000.0,,2011000.0
ARRY,2018-12-31,False,Q2,2019,10-Q,82549000.0,-10830000.0,-11362000.0,-0.05,-0.05,0.0,548962000.0,530840000.0,84185000.0,147094000.0,285351000.0,-43438000.0,-32946000.0,108730000.0,132654000.0,,843000.0
ARRY,2012-12-31,False,Q2,2013,10-Q,18377000.0,-8083000.0,-10900000.0,-0.1,-0.1,0.0,128373000.0,114279000.0,50300000.0,59565000.0,-31717000.0,-50763000.0,-17836000.0,72365000.0,94417000.0,,1464000.0
ARRY,2012-09-30,False,Q1,2013,10-Q,15833000.0,-9020000.0,-11768000.0,-0.13,-0.13,0.0,85491000.0,70914000.0,66767000.0,49054000.0,-96417000.0,-21370000.0,14264000.0,361000.0,93328000.0,,804000.0
ARRY,2013-09-30,False,Q1,2014,10-Q,14228000.0,-13313000.0,-15680000.0,-0.13,-0.13,0.0,152645000.0,134176000.0,51886000.0,65045000.0,-13162000.0,-1112000.0,-10846000.0,16267000.0,,,198000.0
ARRY,2013-06-30,False,FY,2013,10-K,69580000.0,-39542000.0,-61942000.0,-0.57,-0.57,0.0,135988000.0,121309000.0,50577000.0,60736000.0,-21909000.0,-87067000.0,-16362000.0,108366000.0,99021000.0,,2340000.0
ARRY,2014-03-31,False,Q3,2014,10-Q,7773000.0,-22519000.0,-24932000.0,-0.2,-0.2,0.0,135155000.0,118068000.0,45864000.0,52178000.0,-23338000.0,-49444000.0,-11560000.0,52446000.0,,,1365000.0
ARRY,2012-06-30,False,FY,2012,10-K,85135000.0,-11047000.0,-23581000.0,-0.33,-0.33,0.0,108073000.0,93107000.0,75936000.0,55799000.0,-85806000.0,-33546000.0,-18721000.0,59967000.0,92256000.0,,1437000.0
ARRY,2011-09-30,False,Q1,2012,10-Q,22131000.0,-631000.0,-3580000.0,-0.06,-0.06,0.0,99776000.0,82067000.0,93175000.0,72367000.0,-133837000.0,13616000.0,10614000.0,38000.0,,,433000.0
ARRY,2014-06-30,False,FY,2014,10-K,42078000.0,-75618000.0,-85257000.0,-0.69,-0.69,0.0,139053000.0,121676000.0,52733000.0,68591000.0,-25721000.0,-71682000.0,2482000.0,77055000.0,,,2614000.0
ARRY,2013-12-31,False,Q2,2014,10-Q,14066000.0,-14003000.0,-16408000.0,-0.13,-0.13,0.0,146321000.0,128473000.0,38278000.0,47194000.0,-5350000.0,-34315000.0,-25808000.0,46581000.0,,,725000.0
ARRY,2014-12-31,False,Q2,2015,10-Q,26919000.0,-6074000.0,-8611000.0,-0.06,-0.06,0.0,163648000.0,150754000.0,67939000.0,68145000.0,-13927000.0,-16783000.0,-14988000.0,31325000.0,,,1720000.0
ARRY,2015-03-31,False,Q3,2015,10-Q,6601000.0,54467000.0,58307000.0,0.42,0.37,0.0,208445000.0,196595000.0,44917000.0,141470000.0,50151000.0,21472000.0,12560000.0,38847000.0,,,2074000.0
ARRY,2015-09-30,False,Q1,2016,10-Q,16197000.0,-18371000.0,-20987000.0,-0.15,-0.15,0.0,186752000.0,179603000.0,49261000.0,56358000.0,24101000.0,-19204000.0,19207000.0,664000.0,,,411000.0
ARRY,2016-03-31,False,Q3,2016,10-Q,43047000.0,-20008000.0,-22675000.0,-0.16,-0.16,0.0,196184000.0,187525000.0,59480000.0,62458000.0,-14803000.0,-62628000.0,64451000.0,4944000.0,,,2726000.0
ARRY,2014-09-30,False,Q1,2015,10-Q,6069000.0,-25097000.0,-27593000.0,-0.21,-0.21,0.0,135328000.0,122787000.0,56569000.0,46829000.0,-37580000.0,-18769000.0,-3038000.0,45000.0,,,483000.0
ARRY,2015-12-31,False,Q2,2016,10-Q,35430000.0,-21522000.0,-24164000.0,-0.17,-0.17,0.0,199918000.0,191882000.0,53020000.0,57253000.0,5874000.0,-61461000.0,58221000.0,4802000.0,,,1503000.0
ARRY,2016-09-30,False,Q1,2017,10-Q,39271000.0,-23999000.0,-28608000.0,-0.2,-0.2,0.0,166861000.0,158019000.0,64213000.0,65842000.0,-52124000.0,-14605000.0,1467000.0,22382000.0,,,1046000.0
ARRY,2016-06-30,False,FY,2016,10-K,137879000.0,-82209000.0,-92840000.0,-0.65,-0.65,0.0,168900000.0,155301000.0,52434000.0,56598000.0,-37932000.0,-70090000.0,66027000.0,4970000.0,,,3159000.0
ARRY,2015-06-30,False,FY,2015,10-K,51909000.0,3293000.0,9369000.0,0.07,0.07,0.0,198207000.0,191047000.0,42424000.0,55691000.0,42653000.0,-5793000.0,-58049000.0,50942000.0,,,2507000.0
ARRY,2016-12-31,False,Q2,2017,10-Q,44523000.0,-19806000.0,-23301000.0,-0.14,-0.14,0.0,272202000.0,263889000.0,64385000.0,62785000.0,52052000.0,-42210000.0,-99755000.0,148152000.0,,,1733000.0
