symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
VTUS,2014-03-31,False,Q1,2014,10-Q,,-4110151.0,-4069917.0,-0.18,-0.18,0.0,23904341.0,23895916.0,,23636722.0,22441892.0,-5185061.0,-2589.0,1763104.0,,,51530.0
VTUS,2013-03-31,False,Q1,2013,10-Q,,-3768968.0,-3723095.0,-0.22,-0.22,0.0,37102742.0,37097168.0,,36873518.0,35126099.0,-4370119.0,-42464.0,20754418.0,,,42464.0
ASMB,2018-12-31,False,FY,2018,10-K,35560000.0,-92735000.0,-90751000.0,-3.98,-3.98,0.0,268045000.0,222502000.0,18472000.0,41471000.0,210653000.0,-64958000.0,-135397000.0,159793000.0,,12638000.0,340000.0
VTUS,2012-09-30,False,Q3,2012,10-Q,,-5370303.0,-5355397.0,-0.41,-0.41,0.0,23679370.0,23671263.0,2681196.0,23560079.0,20998174.0,-18308931.0,-3240.0,82349774.0,,,42464.0
VTUS,2013-12-31,False,FY,2013,10-K,,-19604779.0,-19403759.0,-1.0,-1.0,0.0,27132042.0,27124940.0,,27061268.0,24493988.0,-17796088.0,-6477.0,24374614.0,,,48941.0
VTUS,2013-09-30,False,Q3,2013,10-Q,,-4933008.0,-4881742.0,-0.25,-0.25,0.0,32365322.0,32357690.0,,32222910.0,30047662.0,-12403656.0,-5166.0,106492286.0,,,47630.0
ASMB,2014-06-30,False,Q2,2014,10-Q,,-2506144.0,-2469273.0,-0.52,-0.52,0.0,21755202.0,21747803.0,,21316328.0,20285414.0,-7505455.0,-2589.0,1763104.0,,,2589.0
VTUS,2012-06-30,False,Q2,2012,10-Q,,-7478306.0,-7470048.0,-0.59,-0.59,0.0,29010340.0,29000965.0,3391838.0,28843880.0,25618502.0,-13025130.0,-3240.0,82349774.0,,,42464.0
VTUS,2013-06-30,False,Q2,2013,10-Q,,-4808759.0,-4751888.0,-0.24,-0.24,0.0,33676769.0,33667440.0,,33489917.0,31091386.0,-7748554.0,-5166.0,103104191.0,,,47630.0
VTUS,2012-12-31,False,FY,2012,10-K,,-24855496.0,-24790430.0,-1.94,-1.94,0.0,20555644.0,20548803.0,,20489219.0,17810186.0,-21379790.0,-3241.0,4896816.0,,,42464.0
ASMB,2014-12-31,False,FY,2014,10-K,0.0,-23956452.0,-23788799.0,-3.4,-3.4,0.0,71225193.0,29216397.0,1054021.0,29091113.0,58571172.0,-14973502.0,277401.0,16725946.0,,12737350.0,149963.0
ASMB,2015-06-30,False,Q2,2015,10-Q,,-7153905.0,-6942671.0,-0.41,-0.41,0.0,144707127.0,71332755.0,2239960.0,53518145.0,130867167.0,-8056007.0,-48828775.0,81311814.0,,12638136.0,47991.0
VTUS,2011-09-30,False,Q3,2011,10-Q,,-5545897.0,-5801381.0,-0.5,-0.5,0.0,53388460.0,53379245.0,1183442.0,53294262.0,52205018.0,-8736255.0,,77439207.0,,,39224.0
