symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ASRV,2012-03-31,False,Q1,2012,10-Q,13798000.0,,1302000.0,0.06,0.06,0.0,967401000.0,,,18604000.0,112270000.0,4496000.0,-284000.0,-12993000.0,19475000.0,12613000.0,521000.0
ASRV,2011-06-30,False,Q2,2011,10-Q,13984000.0,,1648000.0,0.08,0.08,0.0,954893000.0,,,18389000.0,111410000.0,10225000.0,-9049000.0,2214000.0,22807000.0,12613000.0,803000.0
ASRV,2011-09-30,False,Q3,2011,10-Q,14016000.0,,1027000.0,0.05,0.05,0.0,973439000.0,,,18245000.0,114164000.0,10296000.0,-12869000.0,19422000.0,22792000.0,12613000.0,1081000.0
ASRV,2012-06-30,False,Q2,2012,10-Q,13618000.0,,1170000.0,0.06,0.06,0.0,997102000.0,,,19817000.0,110810000.0,4147000.0,-19217000.0,14262000.0,16085000.0,12613000.0,977000.0
ASRV,2011-12-31,False,FY,2011,10-K,55533000.0,,5152000.0,0.24,0.24,0.0,979076000.0,,,26938000.0,112352000.0,10794000.0,-14074000.0,18726000.0,34850000.0,12613000.0,1666000.0
ASRV,2012-09-30,False,Q3,2012,10-Q,13679000.0,,1056000.0,0.05,0.05,0.0,1002281000.0,,,19462000.0,112311000.0,3953000.0,-24081000.0,19017000.0,25085000.0,12613000.0,1629000.0
ASRV,2012-12-31,False,FY,2012,10-K,11371000.0,,4211000.0,0.21,0.21,0.0,1000991000.0,,,17808000.0,110468000.0,3212000.0,-32154000.0,20979000.0,,12613000.0,2647000.0
ASRV,2013-03-31,False,Q1,2013,10-Q,13518000.0,,1004000.0,0.05,0.05,0.0,999718000.0,,,15561000.0,111445000.0,6818000.0,7170000.0,-1252000.0,29085000.0,12613000.0,1146000.0
ASRV,2018-12-31,False,FY,2018,10-K,7239000.0,,7768000.0,0.43,0.43,0.075,1160680000.0,,,27970000.0,97977000.0,7984000.0,2691000.0,-9969000.0,108177000.0,11944000.0,2144000.0
ASRV,2013-09-30,False,Q3,2013,10-Q,13797000.0,,1173000.0,0.06,0.06,0.01,1038144000.0,,,20056000.0,110370000.0,12579000.0,-48838000.0,38141000.0,65181000.0,12613000.0,2643000.0
ASRV,2013-06-30,False,Q2,2013,10-Q,13702000.0,,1018000.0,0.05,0.05,0.01,1025084000.0,,,16364000.0,109282000.0,8763000.0,-34554000.0,24626000.0,63377000.0,12613000.0,1826000.0
ASRV,2014-03-31,False,Q1,2014,10-Q,13627000.0,,877000.0,0.05,0.05,0.01,1051108000.0,,,20850000.0,114590000.0,2153000.0,3199000.0,-5549000.0,53568000.0,12613000.0,389000.0
ASRV,2014-06-30,False,Q2,2014,10-Q,13621000.0,,927000.0,0.05,0.05,0.01,1063717000.0,,,20000000.0,115946000.0,2101000.0,-9142000.0,4988000.0,65762000.0,12613000.0,1198000.0
ASRV,2015-03-31,False,Q1,2015,10-Q,14235000.0,,1316000.0,0.07,0.07,0.01,1103416000.0,,,20591000.0,116328000.0,2785000.0,-17759000.0,12820000.0,84304000.0,11944000.0,220000.0
ASRV,2015-09-30,False,Q3,2015,10-Q,14682000.0,,1781000.0,0.09,0.09,0.01,1110843000.0,,,16782000.0,119408000.0,6558000.0,-27011000.0,19329000.0,114073000.0,11944000.0,691000.0
ASRV,2015-06-30,False,Q2,2015,10-Q,14101000.0,,1369000.0,0.07,0.07,0.01,1112934000.0,,,16748000.0,117305000.0,5034000.0,-32330000.0,21015000.0,122515000.0,11944000.0,473000.0
ASRV,2014-09-30,False,Q3,2014,10-Q,13612000.0,,312000.0,0.02,0.02,0.01,1070431000.0,,,16820000.0,116146000.0,2060000.0,-22634000.0,13990000.0,76523000.0,11944000.0,1643000.0
ASRV,2013-12-31,False,FY,2013,10-K,8773000.0,,4984000.0,0.26,0.26,0.03,1056036000.0,,,20288000.0,113307000.0,14854000.0,-66301000.0,54693000.0,79640000.0,12613000.0,3004000.0
ASRV,2015-12-31,False,FY,2015,10-K,9176000.0,,5787000.0,0.31,0.31,0.04,1148922000.0,,,13400000.0,118973000.0,9832000.0,-49855000.0,55661000.0,117483000.0,11944000.0,881000.0
ASRV,2014-12-31,False,FY,2014,10-K,5064000.0,,2813000.0,0.15,0.15,0.04,1089263000.0,,,23780000.0,114407000.0,4962000.0,-30894000.0,28738000.0,93965000.0,11944000.0,1720000.0
ASRV,2016-09-30,False,Q3,2016,10-Q,14137000.0,,1065000.0,0.06,0.06,0.015,1145655000.0,,,22241000.0,100044000.0,-2302000.0,-13649000.0,-2039000.0,77282000.0,11944000.0,1012000.0
ASRV,2016-03-31,False,Q1,2016,10-Q,13859000.0,,-1282000.0,-0.07,-0.07,0.01,1121701000.0,,,18067000.0,97589000.0,404000.0,229000.0,-25520000.0,109272000.0,11944000.0,227000.0
ASRV,2017-06-30,False,Q2,2017,10-Q,14806000.0,,1389000.0,0.07,0.07,0.015,1171962000.0,,,22077000.0,96277000.0,2992000.0,-21603000.0,15004000.0,107512000.0,11944000.0,1327000.0
ASRV,2016-12-31,False,FY,2016,10-K,6169000.0,,2295000.0,0.12,0.12,0.05,1153780000.0,,,25107000.0,95395000.0,6668000.0,-25185000.0,4080000.0,78645000.0,11944000.0,1380000.0
ASRV,2017-03-31,False,Q1,2017,10-Q,14310000.0,,1348000.0,0.07,0.07,0.015,1172127000.0,,,22696000.0,95604000.0,2608000.0,-22802000.0,17137000.0,100077000.0,11944000.0,702000.0
ASRV,2017-09-30,False,Q3,2017,10-Q,14816000.0,,1551000.0,0.08,0.08,0.015,1170916000.0,,,20267000.0,97110000.0,5540000.0,-25816000.0,14878000.0,98013000.0,11944000.0,2188000.0
ASRV,2017-12-31,False,FY,2017,10-K,6168000.0,,3293000.0,0.18,0.18,0.06,1167655000.0,,,26234000.0,95102000.0,7681000.0,-20225000.0,12659000.0,115701000.0,11944000.0,2705000.0
ASRV,2018-03-31,False,Q1,2018,10-Q,14852000.0,,1767000.0,0.1,0.1,0.015,1151160000.0,,,22798000.0,95810000.0,3593000.0,9718000.0,-16905000.0,103261000.0,11944000.0,77000.0
ASRV,2018-06-30,False,Q2,2018,10-Q,15284000.0,,1744000.0,0.1,0.1,0.02,1180510000.0,,,26971000.0,96883000.0,3959000.0,-13868000.0,10742000.0,147308000.0,11944000.0,294000.0
ASRV,2016-06-30,False,Q2,2016,10-Q,14131000.0,,1362000.0,0.07,0.07,0.01,1142492000.0,,,20182000.0,99232000.0,4402000.0,-18009000.0,-7885000.0,92947000.0,11944000.0,663000.0
ASRV,2018-09-30,False,Q3,2018,10-Q,15735000.0,,2329000.0,0.13,0.13,0.02,1168806000.0,,,23806000.0,97179000.0,3828000.0,-8836000.0,2054000.0,124216000.0,11944000.0,691000.0
