symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ATRC,2011-06-30,False,Q2,2011,10-Q,16779563.0,-771169.0,-946650.0,-0.06,-0.06,0.0,36136844.0,33046565.0,10602841.0,4111921.0,16921244.0,-503901.0,-4514971.0,5009589.0,,,638120.0
ATRC,2018-12-31,False,FY,2018,10-K,201630000.0,-17127000.0,-21137000.0,-0.62,-0.62,0.0,356759000.0,174673000.0,40216000.0,32231000.0,249381000.0,-4171000.0,-85404000.0,100176000.0,20000000.0,105257000.0,6211000.0
ATRC,2012-03-31,False,Q1,2012,10-Q,17476302.0,-1495986.0,-1619780.0,-0.1,-0.1,0.0,36588080.0,33109631.0,11818436.0,11418360.0,14651777.0,-1083611.0,-697166.0,3437711.0,,,661954.0
ATRC,2011-12-31,False,FY,2011,10-K,64402409.0,-4730536.0,-5455503.0,-0.35,-0.35,0.0,33858890.0,31192726.0,10808812.0,9758903.0,15614704.0,-1986426.0,2724212.0,4847180.0,,,1522311.0
ATRC,2012-12-31,False,FY,2012,10-K,70247000.0,-7198000.0,-7534000.0,-0.47,-0.47,0.0,32431000.0,28539000.0,12205000.0,7753000.0,12500000.0,-1936000.0,-2797000.0,2662000.0,8436000.0,,2985000.0
ATRC,2012-06-30,False,Q2,2012,10-Q,18268000.0,-1320000.0,-1326000.0,-0.08,-0.08,0.0,36024000.0,31428000.0,11742000.0,8660000.0,14936000.0,-1282000.0,-3263000.0,3439000.0,,,1395000.0
ATRC,2011-09-30,False,Q3,2011,10-Q,15222068.0,-1190551.0,-1156336.0,-0.07,-0.07,0.0,34120525.0,31740187.0,9971526.0,3431513.0,16092134.0,-859450.0,-4208500.0,4424475.0,,,851984.0
ATRC,2013-12-31,False,FY,2013,10-K,81889000.0,10891000.0,-11462000.0,-0.56,-0.56,0.0,111947000.0,52487000.0,26713000.0,14892000.0,72604000.0,-5222000.0,-14151000.0,26828000.0,6450000.0,35386000.0,2864000.0
ATRC,2013-06-30,False,Q2,2013,10-Q,20429000.0,-1639000.0,-1791000.0,-0.09,-0.09,0.0,57481000.0,53466000.0,13403000.0,31044000.0,38140000.0,-2832000.0,-835000.0,27057000.0,,,1191000.0
ATRC,2012-09-30,False,Q3,2012,10-Q,16139000.0,-2529000.0,-2567000.0,-0.16,-0.16,0.0,33744000.0,30119000.0,11604000.0,8203000.0,13561000.0,-1745000.0,-2786000.0,2916000.0,,,2372000.0
ATRC,2013-03-31,False,Q1,2013,10-Q,19430000.0,-1800000.0,-1943000.0,-0.1,-0.1,0.0,58127000.0,54357000.0,12694000.0,30784000.0,38600000.0,-2574000.0,-1449000.0,27137000.0,,,455000.0
ATRC,2014-09-30,False,Q3,2014,10-Q,26678000.0,-803000.0,-466000.0,-0.02,-0.02,0.0,157140000.0,90721000.0,21892000.0,35526000.0,135035000.0,-19587000.0,-21187000.0,61454000.0,96000.0,35386000.0,4389000.0
ATRC,2014-06-30,False,Q2,2014,10-Q,26514000.0,-2853000.0,-2692000.0,-0.1,-0.1,0.0,155933000.0,92765000.0,16880000.0,41978000.0,134220000.0,-18373000.0,-16048000.0,61501000.0,106000.0,35386000.0,2475000.0
ATRC,2014-03-31,False,Q1,2014,10-Q,24847000.0,-7925000.0,-7709000.0,-0.31,-0.31,0.0,158554000.0,107248000.0,16013000.0,68639000.0,134263000.0,-14398000.0,7414000.0,60736000.0,107000.0,35386000.0,1020000.0
ATRC,2013-09-30,False,Q3,2013,10-Q,20146000.0,-2614000.0,-2748000.0,-0.13,-0.13,0.0,57637000.0,48557000.0,16275000.0,25821000.0,36245000.0,-2158000.0,-6214000.0,26550000.0,6959000.0,,1930000.0
ATRC,2014-12-31,False,FY,2014,10-K,107454000.0,-16360000.0,-16211000.0,-0.61,-0.61,0.0,158404000.0,93508000.0,25643000.0,28384000.0,132538000.0,-21600000.0,-30623000.0,65871000.0,114000.0,35386000.0,9207000.0
