symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
ATRO,2012-06-30,False,Q2,2012,10-Q,64989000.0,7776000.0,5194000.0,0.42,0.39,0.0,187572000.0,101843000.0,39025000.0,8168000.0,111626000.0,8958000.0,-4496000.0,-7212000.0,,17185000.0,4496000.0
ATRO,2012-03-31,False,Q1,2012,10-Q,65138000.0,9265000.0,6095000.0,0.49,0.46,0.0,180199000.0,95837000.0,35961000.0,8235000.0,105925000.0,4789000.0,-1665000.0,-5809000.0,,17233000.0,1665000.0
ATRO,2011-12-31,False,FY,2011,10-K,228163000.0,30821000.0,21591000.0,1.78,1.67,0.0,174905000.0,92310000.0,33477000.0,10919000.0,102863000.0,27908000.0,-38132000.0,-1565000.0,,17185000.0,14281000.0
ATRO,2011-07-02,False,Q2,2011,10-Q,55475000.0,7242000.0,4548000.0,0.41,0.39,0.0,157159000.0,99116000.0,29984000.0,16075000.0,88480000.0,3156000.0,-6979000.0,-2813000.0,,7712000.0,6979000.0
ATRO,2011-10-01,False,Q3,2011,10-Q,56404000.0,7895000.0,6665000.0,0.55,0.52,0.0,166331000.0,104387000.0,32274000.0,20612000.0,96241000.0,12921000.0,-12875000.0,-2135000.0,,7516000.0,12875000.0
ATRO,2013-06-29,False,Q2,2013,10-Q,70833000.0,7980000.0,5158000.0,0.36,0.34,0.0,222437000.0,118530000.0,49549000.0,16535000.0,139657000.0,17319000.0,-3671000.0,-4487000.0,190000000.0,21781000.0,3671000.0
ATRO,2013-03-30,False,Q1,2013,10-Q,73967000.0,11062000.0,8564000.0,0.59,0.56,0.0,216838000.0,112482000.0,49035000.0,17798000.0,134142000.0,14326000.0,-1828000.0,-2082000.0,,21850000.0,1828000.0
ATRO,2013-12-31,False,FY,2013,10-K,339937000.0,42305000.0,27266000.0,1.56,1.49,0.0,491271000.0,211198000.0,85237000.0,54635000.0,171509000.0,49549000.0,-166629000.0,164253000.0,200320000.0,100998000.0,6868000.0
ATRO,2012-09-29,False,Q3,2012,10-Q,68899000.0,7655000.0,4930000.0,0.35,0.33,0.0,207398000.0,107680000.0,47759000.0,7567000.0,117635000.0,17135000.0,-21189000.0,698000.0,,21948000.0,10570000.0
ATRO,2014-03-29,False,Q1,2014,10-Q,140951000.0,13627000.0,7507000.0,0.42,0.4,0.0,602719000.0,290711000.0,123330000.0,29117000.0,180996000.0,2573000.0,-87181000.0,59111000.0,268418000.0,103418000.0,16906000.0
ATRO,2013-09-28,False,Q3,2013,10-Q,89681000.0,12352000.0,7155000.0,0.41,0.39,0.0,432830000.0,191904000.0,56463000.0,68186000.0,148237000.0,34148000.0,-140731000.0,167394000.0,190000000.0,92620000.0,4833000.0
ATRO,2012-12-31,False,FY,2012,10-K,266446000.0,32625000.0,21874000.0,1.53,1.45,0.0,211989000.0,108010000.0,47968000.0,7380000.0,125134000.0,24178000.0,-27379000.0,-341000.0,29983000.0,21923000.0,16720000.0
ATRO,2015-10-03,False,Q3,2015,10-Q,200145000.0,37130000.0,24694000.0,0.97,0.94,0.0,648393000.0,286408000.0,113149000.0,22433000.0,283986000.0,43174000.0,-71140000.0,29917000.0,125000000.0,115942000.0,15857000.0
ATRO,2014-09-27,False,Q3,2014,10-Q,179442000.0,25771000.0,17080000.0,0.79,0.75,0.0,590907000.0,277539000.0,135716000.0,24928000.0,211269000.0,68549000.0,-99999000.0,2374000.0,212643000.0,100542000.0,29971000.0
ATRO,2016-07-02,False,Q2,2016,10-Q,164426000.0,22611000.0,14980000.0,0.59,0.57,0.0,612251000.0,257364000.0,92248000.0,20411000.0,318444000.0,23319000.0,-7026000.0,-14511000.0,153000000.0,115614000.0,6176000.0
ATRO,2016-10-01,False,Q3,2016,10-Q,155099000.0,17525000.0,12074000.0,0.42,0.41,0.0,619428000.0,265957000.0,93220000.0,13278000.0,329371000.0,25150000.0,-11454000.0,-19088000.0,151000000.0,115645000.0,9869000.0
ATRO,2015-07-04,False,Q2,2015,10-Q,173156000.0,28155000.0,17690000.0,0.8,0.77,0.0,638210000.0,274078000.0,109895000.0,23767000.0,256148000.0,20875000.0,-67570000.0,50013000.0,125000000.0,114578000.0,12277000.0
ATRO,2014-06-28,False,Q2,2014,10-Q,174563000.0,22481000.0,13144000.0,0.73,0.7,0.0,582775000.0,267232000.0,112798000.0,20825000.0,194723000.0,23230000.0,-90942000.0,34010000.0,245618000.0,102729000.0,23091000.0
ATRO,2015-04-04,False,Q1,2015,10-Q,161638000.0,17543000.0,10683000.0,0.49,0.47,0.0,600283000.0,237321000.0,105635000.0,22563000.0,236991000.0,26779000.0,-59974000.0,35447000.0,125000000.0,119630000.0,7059000.0
ATRO,2014-12-31,False,FY,2014,10-K,661039000.0,87362000.0,56170000.0,2.59,2.48,0.0,562910000.0,245818000.0,109216000.0,21197000.0,228177000.0,99874000.0,-109120000.0,-23113000.0,183008000.0,100153000.0,40882000.0
