symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AVNW,2011-09-30,False,Q1,2012,10-Q,111400000.0,-2500000.0,-6800000.0,-0.06,-0.06,0.0,365100000.0,331800000.0,183400000.0,87600000.0,172800000.0,-6600000.0,-3000000.0,,,5600000.0,2800000.0
AVNW,2012-09-28,False,Q1,2013,10-Q,115000000.0,1300000.0,-2200000.0,-0.01,-0.01,0.0,326600000.0,302100000.0,152100000.0,85100000.0,157600000.0,-9200000.0,-1400000.0,-1000000.0,,,1300000.0
AVNW,2018-12-28,False,Q2,2019,10-Q,65100000.0,2883000.0,2310000.0,0.43,0.41,0.0,161184000.0,127084000.0,83853000.0,31542000.0,63327000.0,-566000.0,-3236000.0,-1972000.0,,,3236000.0
AVNW,2013-03-29,False,Q3,2013,10-Q,118300000.0,-1000000.0,-1700000.0,-0.03,-0.03,0.0,304100000.0,276800000.0,130700000.0,92900000.0,154000000.0,5500000.0,-6000000.0,-3000000.0,,,5900000.0
AVNW,2014-12-26,False,Q2,2015,10-Q,92500000.0,-2500000.0,-3300000.0,-0.05,-0.05,0.0,242400000.0,209300000.0,133200000.0,38700000.0,91500000.0,-9100000.0,-2400000.0,2900000.0,,,2400000.0
AVNW,2011-12-30,False,Q2,2012,10-Q,105000000.0,-8600000.0,-12800000.0,-0.17,-0.17,0.0,329800000.0,303600000.0,161600000.0,84300000.0,159500000.0,-7500000.0,-4600000.0,0.0,,0.0,3400000.0
AVNW,2012-06-29,False,FY,2012,10-K,444000000.0,-12700000.0,-24100000.0,-0.26,-0.26,0.0,329600000.0,304600000.0,155400000.0,96000000.0,157500000.0,8400000.0,-7400000.0,-1300000.0,,0.0,5900000.0
AVNW,2013-09-27,False,Q1,2014,10-Q,93400000.0,-13400000.0,-13600000.0,-0.22,-0.22,0.0,297800000.0,263800000.0,131400000.0,79300000.0,137900000.0,-4600000.0,-3800000.0,-2900000.0,1700000.0,,3800000.0
AVNW,2015-04-03,False,Q3,2015,10-Q,74800000.0,-10100000.0,-11500000.0,-0.18,-0.18,0.0,220100000.0,189400000.0,127200000.0,35000000.0,76800000.0,-9500000.0,-3000000.0,2900000.0,,,3000000.0
AVNW,2014-03-28,False,Q3,2014,10-Q,81400000.0,-14800000.0,-14800000.0,-0.24,-0.24,0.0,255200000.0,222400000.0,126000000.0,47500000.0,115300000.0,-32100000.0,-7800000.0,-2800000.0,,,7800000.0
AVNW,2012-12-28,False,Q2,2013,10-Q,129000000.0,4900000.0,-5300000.0,-0.08,-0.08,0.0,327100000.0,301800000.0,147200000.0,94800000.0,154200000.0,3500000.0,-3600000.0,-2000000.0,,,3600000.0
AVNW,2012-03-30,False,Q3,2012,10-Q,111600000.0,-200000.0,-3200000.0,-0.01,-0.01,0.0,340800000.0,315300000.0,169700000.0,90500000.0,158400000.0,-800000.0,-5500000.0,-400000.0,3800000.0,0.0,4400000.0
AVNW,2014-09-26,False,Q1,2015,10-Q,82400000.0,-5600000.0,-5700000.0,-0.1,-0.1,0.0,257800000.0,223600000.0,141700000.0,42400000.0,96300000.0,-4700000.0,-1200000.0,-100000.0,6000000.0,,1200000.0
AVNW,2013-06-28,False,FY,2013,10-K,471300000.0,1700000.0,-15000000.0,-0.18,-0.18,0.0,305800000.0,274300000.0,131100000.0,90000000.0,149900000.0,8400000.0,-10500000.0,-3900000.0,,0.0,10400000.0
AVNW,2013-12-27,False,Q2,2014,10-Q,85800000.0,-10700000.0,-9900000.0,-0.17,-0.17,0.0,279400000.0,246300000.0,135700000.0,64700000.0,128900000.0,-17600000.0,-5400000.0,-2800000.0,,,5400000.0
AVNW,2014-06-27,False,FY,2014,10-K,346000000.0,-50700000.0,-51200000.0,-0.85,-0.85,0.0,253200000.0,218200000.0,130900000.0,48800000.0,102600000.0,-29300000.0,-9400000.0,-2800000.0,5700000.0,0.0,9400000.0
AVNW,2015-10-02,False,Q1,2016,10-Q,79600000.0,-1600000.0,-1200000.0,-0.02,-0.02,0.0,228000000.0,196500000.0,127400000.0,35800000.0,82400000.0,1800000.0,-400000.0,0.0,,,400000.0
AVNW,2016-07-01,False,FY,2016,10-K,268690000.0,-27446000.0,-29907000.0,-5.81,-5.81,0.0,166111000.0,140414000.0,99947000.0,30479000.0,53457000.0,-126000.0,-1796000.0,13000.0,,,1574000.0
AVNW,2016-01-01,False,Q2,2016,10-Q,70400000.0,-5000000.0,-5700000.0,-0.09,-0.09,0.0,209300000.0,179400000.0,113300000.0,39500000.0,77000000.0,6400000.0,-800000.0,0.0,,,800000.0
AVNW,2016-09-30,False,Q1,2017,10-Q,58207000.0,-2925000.0,-629000.0,-0.12,-0.12,0.0,152826000.0,127581000.0,88069000.0,31750000.0,52947000.0,3837000.0,-1323000.0,-998000.0,,,1323000.0
AVNW,2015-07-03,False,FY,2015,10-K,335900000.0,-26000000.0,-24700000.0,-0.4,-0.4,0.0,229400000.0,195800000.0,128600000.0,34700000.0,83900000.0,-9000000.0,-3700000.0,2900000.0,,,3700000.0
AVNW,2016-12-30,False,Q2,2017,10-Q,68536000.0,2513000.0,1678000.0,0.32,0.31,0.0,156918000.0,133119000.0,90862000.0,34978000.0,54381000.0,8840000.0,-2853000.0,-995000.0,,,2853000.0
AVNW,2016-04-01,False,Q3,2016,10-Q,60400000.0,-7600000.0,-7900000.0,-0.13,-0.13,0.0,191500000.0,163300000.0,103500000.0,39700000.0,70100000.0,7100000.0,-1300000.0,0.0,,,1300000.0
AVNW,2017-03-31,False,Q3,2017,10-Q,58700000.0,73000.0,-399000.0,-0.08,-0.08,0.0,151524000.0,128767000.0,85160000.0,39910000.0,54848000.0,13950000.0,-3195000.0,-991000.0,,,3195000.0
AVNW,2017-09-29,False,Q1,2018,10-Q,56182000.0,-1226000.0,-657000.0,-0.12,-0.12,0.0,152214000.0,123863000.0,85835000.0,39103000.0,54421000.0,4904000.0,-1378000.0,7000.0,,,1378000.0
AVNW,2017-06-30,False,FY,2017,10-K,241874000.0,-985000.0,-823000.0,-0.16,-0.16,0.0,152576000.0,124585000.0,86018000.0,35658000.0,54340000.0,9405000.0,-4038000.0,21000.0,,,4021000.0
AVNW,2017-12-29,False,Q2,2018,10-Q,61723000.0,2894000.0,5071000.0,0.95,0.9,0.0,160210000.0,128243000.0,87521000.0,40352000.0,60912000.0,9171000.0,-3342000.0,11000.0,,,3342000.0
AVNW,2018-03-30,False,Q3,2018,10-Q,62093000.0,-1365000.0,-2623000.0,-0.49,-0.49,0.0,153884000.0,121344000.0,82529000.0,37264000.0,59249000.0,7279000.0,-5048000.0,15000.0,,,5048000.0
AVNW,2018-09-28,False,Q1,2019,10-Q,60504000.0,-1514000.0,-750000.0,-0.14,-0.14,0.0,159191000.0,125306000.0,83171000.0,28397000.0,62324000.0,-6810000.0,-1802000.0,-379000.0,,,1802000.0
AVNW,2018-06-29,False,FY,2018,10-K,242506000.0,1317000.0,1845000.0,0.35,0.33,0.0,156061000.0,123466000.0,86468000.0,37425000.0,57516000.0,8209000.0,-6299000.0,12000.0,,,6563000.0
