symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AVP,2011-09-30,False,Q3,2011,10-Q,2762400000.0,278600000.0,164200000.0,0.38,0.38,0.23,7879400000.0,4141200000.0,2872000000.0,988200000.0,1843700000.0,234200000.0,-180700000.0,-243100000.0,,674100000.0,197400000.0
AVP,2011-03-31,False,Q1,2011,10-Q,2629100000.0,246500000.0,143600000.0,0.33,0.33,0.23,7887100000.0,4165000000.0,2908700000.0,1015300000.0,1839600000.0,-31600000.0,-49400000.0,-103300000.0,,680400000.0,55300000.0
AVP,2010-03-31,False,Q1,2010,10-Q,2490400000.0,192800000.0,42500000.0,0.1,0.1,0.22,6818500000.0,3867000000.0,2805200000.0,1122900000.0,1285300000.0,17100000.0,-198000000.0,31600000.0,,,56800000.0
AVP,2010-09-30,False,Q3,2010,10-Q,2657600000.0,259600000.0,166700000.0,0.39,0.38,0.22,7807200000.0,3993100000.0,3429900000.0,841500000.0,1552400000.0,338000000.0,-997900000.0,238900000.0,,699700000.0,216900000.0
AVP,2010-06-30,False,Q2,2010,10-Q,2678500000.0,271500000.0,167600000.0,0.39,0.39,0.22,6725200000.0,3725600000.0,2652400000.0,984100000.0,1311100000.0,241100000.0,-269400000.0,-219700000.0,,360700000.0,139500000.0
AVP,2009-12-31,False,FY,2009,10-K,10382800000.0,1018200000.0,625800000.0,1.45,1.45,0.84,6832700000.0,4189300000.0,2274800000.0,1311600000.0,1312600000.0,782000000.0,-218900000.0,-361800000.0,,,296900000.0
AVP,2018-12-31,False,FY,2018,10-K,5571300000.0,235200000.0,-19500000.0,-0.1,-0.1,0.0,3010000000.0,1762000000.0,1496500000.0,532700000.0,-896800000.0,92700000.0,-93400000.0,-306900000.0,4600000.0,87400000.0,94900000.0
AVP,2010-12-31,False,FY,2010,10-K,10862800000.0,1073100000.0,606300000.0,1.4,1.39,0.22,7873700000.0,4184300000.0,2956300000.0,1179900000.0,1672600000.0,689000000.0,-1095700000.0,234700000.0,2827700000.0,675100000.0,331200000.0
AVP,2012-06-30,False,Q2,2012,10-Q,2591700000.0,126600000.0,61600000.0,0.14,0.14,0.23,7702600000.0,4153100000.0,2870900000.0,1276400000.0,1439000000.0,41100000.0,-79000000.0,65400000.0,,483000000.0,87700000.0
AVP,2013-03-31,False,Q1,2013,10-Q,2483700000.0,172100000.0,-13700000.0,-0.03,-0.03,0.06,7573700000.0,4232600000.0,2907400000.0,1488400000.0,1195000000.0,-118900000.0,-35900000.0,495200000.0,,361200000.0,43500000.0
