symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AVX,2018-12-31,False,Q3,2019,10-Q,442395000.0,89556000.0,74297000.0,0.44,0.44,0.115,2769530000.0,1783779000.0,306798000.0,354218000.0,2336973000.0,196997000.0,-328754000.0,-58175000.0,,317676000.0,94083000.0
AVX,2011-12-31,False,Q3,2012,10-Q,340865000.0,50215000.0,36871000.0,0.22,0.22,0.075,2389979000.0,1708839000.0,198598000.0,437273000.0,2143923000.0,121008000.0,-25042000.0,-36904000.0,,162510000.0,38575000.0
AVX,2012-03-31,False,FY,2012,10-K,1545254000.0,175551000.0,152805000.0,0.9,0.9,0.28,2468012000.0,1727145000.0,297073000.0,395284000.0,2120753000.0,148422000.0,-80343000.0,-51474000.0,,162707000.0,49201000.0
AVX,2011-06-30,False,Q1,2012,10-Q,436422000.0,93552000.0,67599000.0,0.4,0.4,0.055,2395649000.0,1670412000.0,248005000.0,328880000.0,2104732000.0,35366000.0,-76056000.0,-10064000.0,,162539000.0,15294000.0
AVX,2011-09-30,False,Q2,2012,10-Q,404767000.0,81511000.0,61919000.0,0.36,0.36,0.075,2381948000.0,1609094000.0,203370000.0,278020000.0,2138064000.0,68119000.0,-146546000.0,-22308000.0,,162522000.0,27938000.0
AVX,2013-06-30,False,Q1,2014,10-Q,369379000.0,39235000.0,27657000.0,0.16,0.16,0.0875,2591146000.0,1917998000.0,307041000.0,482291000.0,1987599000.0,37604000.0,-27354000.0,-14750000.0,,200796000.0,5878000.0
AVX,2012-06-30,False,Q1,2013,10-Q,353154000.0,-226987000.0,-136784000.0,-0.81,-0.81,0.075,2558207000.0,1718731000.0,312197000.0,421829000.0,1951813000.0,66512000.0,-24425000.0,-14559000.0,,162707000.0,10716000.0
AVX,2013-09-30,False,Q2,2014,10-Q,375785000.0,41365000.0,28816000.0,0.17,0.17,0.0875,2636938000.0,1950485000.0,442398000.0,474027000.0,2011623000.0,74647000.0,-57347000.0,-30712000.0,,200804000.0,12440000.0
AVX,2012-09-30,False,Q2,2013,10-Q,360823000.0,39255000.0,28037000.0,0.17,0.17,0.075,2574748000.0,1785515000.0,317269000.0,481546000.0,1975889000.0,94605000.0,23075000.0,-30936000.0,,162714000.0,23854000.0
AVX,2013-03-31,True,FY,2013,10-K,1414400000.0,-119845000.0,-64312000.0,-0.38,-0.38,0.3125,2601995000.0,1945533000.0,330877000.0,486724000.0,1972930000.0,194795000.0,-41416000.0,-61175000.0,,199372000.0,43705000.0
AVX,2014-06-30,False,Q1,2015,10-Q,350589000.0,55553000.0,40771000.0,0.24,0.24,0.095,2410811000.0,1698255000.0,169156000.0,333226000.0,2068246000.0,77612000.0,-187071000.0,-17788000.0,,213051000.0,6730000.0
AVX,2014-12-31,False,Q3,2015,10-Q,321687000.0,50387000.0,38953000.0,0.23,0.23,0.105,2402272000.0,1742365000.0,272199000.0,330573000.0,2082957000.0,164359000.0,-243411000.0,-48637000.0,,213051000.0,19134000.0
AVX,2015-06-30,False,Q1,2016,10-Q,300516000.0,48666000.0,35629000.0,0.21,0.21,0.105,2342735000.0,1659589000.0,130035000.0,322441000.0,2154726000.0,-31023000.0,-8061000.0,-20542000.0,,213051000.0,6860000.0
AVX,2015-12-31,False,Q3,2016,10-Q,287047000.0,-2673000.0,5374000.0,0.03,0.03,0.105,2353564000.0,1655371000.0,159883000.0,425635000.0,2142834000.0,102684000.0,2532000.0,-61409000.0,,213051000.0,33843000.0
AVX,2014-09-30,False,Q2,2015,10-Q,365405000.0,60139000.0,44621000.0,0.27,0.27,0.095,2412093000.0,1737966000.0,294810000.0,312181000.0,2069399000.0,129948000.0,-241108000.0,-35551000.0,,213051000.0,12439000.0
AVX,2013-12-31,False,Q3,2014,10-Q,346211000.0,35573000.0,31434000.0,0.19,0.19,0.095,2489746000.0,1832338000.0,296535000.0,463429000.0,2018675000.0,-11163000.0,36418000.0,-48840000.0,,213051000.0,18149000.0
AVX,2014-03-31,False,FY,2014,10-K,1442604000.0,159164000.0,127037000.0,0.75,0.75,0.365,2384988000.0,1768723000.0,161934000.0,460674000.0,2047685000.0,-70637000.0,110116000.0,-66102000.0,,213051000.0,26805000.0
AVX,2014-03-31,False,FY,2014,10-K,1442604000.0,159164000.0,127037000.0,0.75,0.75,0.365,2384988000.0,1768723000.0,161934000.0,460674000.0,2047685000.0,-70637000.0,110116000.0,-66102000.0,,213051000.0,26805000.0
AVX,2015-03-31,False,FY,2015,10-K,1353228000.0,212749000.0,225871000.0,1.34,1.34,0.41,2459015000.0,1744552000.0,266309000.0,381605000.0,2131963000.0,197589000.0,-204109000.0,-68258000.0,,213051000.0,26599000.0
AVX,2016-06-30,False,Q1,2017,10-Q,314823000.0,34786000.0,29889000.0,0.18,0.18,0.105,2421596000.0,1776919000.0,185743000.0,483349000.0,2185901000.0,65737000.0,-18414000.0,-18247000.0,,213051000.0,13804000.0
AVX,2017-06-30,False,Q1,2018,10-Q,331354000.0,42431000.0,31484000.0,0.19,0.19,0.11,2515831000.0,1855078000.0,217994000.0,633576000.0,2252693000.0,63531000.0,7497000.0,-16760000.0,,213051000.0,21807000.0
AVX,2015-09-30,False,Q2,2016,10-Q,304361000.0,37752000.0,27867000.0,0.17,0.17,0.105,2365885000.0,1681910000.0,142608000.0,366402000.0,2165927000.0,49401000.0,-25111000.0,-40110000.0,,213051000.0,18863000.0
AVX,2016-12-31,False,Q3,2017,10-Q,340799000.0,50941000.0,35519000.0,0.21,0.21,0.11,2447439000.0,1813328000.0,213516000.0,480895000.0,2189737000.0,160280000.0,-79469000.0,-52082000.0,,213051000.0,45589000.0
AVX,2016-09-30,False,Q2,2017,10-Q,327461000.0,32752000.0,26520000.0,0.16,0.16,0.11,2435968000.0,1802380000.0,192377000.0,511488000.0,2197639000.0,104288000.0,-8763000.0,-38743000.0,,213051000.0,27983000.0
AVX,2017-12-31,False,Q3,2018,10-Q,431795000.0,45331000.0,-93212000.0,-0.55,-0.55,0.115,2585391000.0,1808443000.0,272532000.0,464173000.0,2180493000.0,160950000.0,-226230000.0,-52488000.0,,230018000.0,65249000.0
AVX,2018-09-30,False,Q2,2019,10-Q,456328000.0,85637000.0,72069000.0,0.43,0.43,0.115,2740655000.0,1744465000.0,317426000.0,487896000.0,2299753000.0,138461000.0,-156531000.0,-38770000.0,,327926000.0,65016000.0
AVX,2016-03-31,False,FY,2016,10-K,1195529000.0,123984000.0,101535000.0,0.61,0.6,0.42,2409819000.0,1686891000.0,180302000.0,454208000.0,2177106000.0,166441000.0,-14727000.0,-79918000.0,,213051000.0,48103000.0
AVX,2018-06-30,False,Q1,2019,10-Q,454116000.0,68017000.0,55963000.0,0.33,0.33,0.115,2690498000.0,1708066000.0,314108000.0,457935000.0,2240719000.0,97627000.0,-161743000.0,-23003000.0,,322358000.0,38020000.0
AVX,2018-03-31,False,FY,2018,10-K,1562474000.0,179834000.0,4910000.0,0.03,0.03,0.45,2672766000.0,1701724000.0,294563000.0,547415000.0,2243443000.0,195497000.0,-138514000.0,-91402000.0,,316298000.0,100537000.0
AVX,2017-09-30,False,Q2,2018,10-Q,352693000.0,44786000.0,34818000.0,0.21,0.21,0.115,2549916000.0,1875616000.0,219766000.0,618789000.0,2284538000.0,128434000.0,-56238000.0,-33381000.0,,213051000.0,38916000.0
AVX,2017-03-31,False,FY,2017,10-K,1312661000.0,163557000.0,125785000.0,0.75,0.75,0.33,2477413000.0,1836404000.0,216067000.0,578634000.0,2216479000.0,195011000.0,-3734000.0,-65945000.0,,213051000.0,66288000.0
