symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AWX,2018-09-30,False,Q3,2018,10-Q,18148000.0,927000.0,849000.0,0.22,0.21,0.0,68145000.0,15389000.0,16087000.0,1800000.0,40910000.0,3144000.0,-3264000.0,-605000.0,10884000.0,,2012000.0
AWX,2012-09-30,False,Q3,2012,10-Q,13230000.0,46000.0,87000.0,0.02,0.02,0.0,50153000.0,17935000.0,9802000.0,6876000.0,40124000.0,821000.0,-1269000.0,,,,1309000.0
AWX,2011-09-30,False,Q3,2011,10-Q,15835000.0,276000.0,304000.0,0.08,0.08,0.0,51696000.0,19251000.0,12305000.0,6008000.0,39163000.0,1402000.0,-959000.0,,,,1320000.0
AWX,2011-12-31,False,FY,2011,10-K,53986000.0,78000.0,776000.0,0.2,0.2,0.0,53367000.0,21209000.0,13190000.0,7324000.0,39950000.0,2798000.0,-1038000.0,-1000.0,,,1414000.0
AWX,2013-03-31,False,Q1,2013,10-Q,14669000.0,-189000.0,-144000.0,,-0.04,0.0,52303000.0,20386000.0,12120000.0,7624000.0,39746000.0,-199000.0,-58000.0,-7000.0,,,69000.0
AWX,2012-12-31,False,FY,2012,10-K,48891000.0,-501000.0,-326000.0,-0.09,-0.09,0.0,50155000.0,18186000.0,10074000.0,7888000.0,39857000.0,1988000.0,-1422000.0,-2000.0,,,1465000.0
AWX,2013-06-30,False,Q2,2013,10-Q,15733000.0,396000.0,459000.0,0.12,0.11,0.0,52664000.0,20833000.0,12008000.0,8567000.0,40232000.0,1069000.0,-370000.0,-20000.0,,,390000.0
AWX,2013-09-30,False,Q3,2013,10-Q,16386000.0,401000.0,415000.0,0.11,0.1,0.0,52979000.0,21123000.0,11878000.0,8618000.0,40690000.0,1563000.0,-800000.0,-33000.0,,,820000.0
AWX,2013-12-31,False,FY,2013,10-K,59470000.0,271000.0,438000.0,0.12,0.11,0.0,55579000.0,21181000.0,11644000.0,9798000.0,43470000.0,1258000.0,-2345000.0,2997000.0,,,2370000.0
AWX,2014-03-31,False,Q1,2014,10-Q,9983000.0,-759000.0,-700000.0,-0.18,-0.18,0.0,53576000.0,16728000.0,9967000.0,7331000.0,43158000.0,-849000.0,-1972000.0,354000.0,,,1972000.0
AWX,2011-06-30,False,Q2,2011,10-Q,11375000.0,-86000.0,77000.0,0.02,0.02,0.0,47766000.0,15091000.0,8731000.0,6165000.0,38807000.0,1269000.0,-669000.0,,,,1024000.0
AWX,2012-03-31,False,Q1,2012,10-Q,10938000.0,-449000.0,-393000.0,-0.1,-0.1,0.0,49090000.0,17218000.0,9153000.0,7540000.0,39710000.0,325000.0,-109000.0,,,,109000.0
AWX,2012-06-30,False,Q2,2012,10-Q,12609000.0,226000.0,274000.0,0.07,0.07,0.0,50324000.0,17878000.0,10086000.0,6961000.0,40011000.0,342000.0,-705000.0,,,,708000.0
AWX,2014-06-30,False,Q2,2014,10-Q,13016000.0,-201000.0,-138000.0,-0.03,-0.03,0.0,54752000.0,17621000.0,11224000.0,7137000.0,43090000.0,471000.0,-3523000.0,391000.0,0.0,,3537000.0
AWX,2014-09-30,False,Q3,2014,10-Q,14437000.0,131000.0,134000.0,0.03,0.02,0.0,58115000.0,17431000.0,14076000.0,6166000.0,43455000.0,147000.0,-7269000.0,3490000.0,2900000.0,,4161000.0
AWX,2015-06-30,False,Q2,2015,10-Q,13955000.0,-214000.0,-5000.0,0.0,0.0,0.0,61383000.0,13721000.0,12689000.0,2322000.0,41597000.0,356000.0,-5135000.0,2772000.0,,,5135000.0
AWX,2015-03-31,False,Q1,2015,10-Q,10700000.0,-1279000.0,-1040000.0,,-0.27,0.0,57499000.0,12088000.0,10245000.0,2543000.0,41720000.0,-1096000.0,-1876000.0,1186000.0,5000000.0,,1876000.0
AWX,2015-09-30,False,Q3,2015,10-Q,14577000.0,426000.0,529000.0,0.14,0.14,0.0,61140000.0,12713000.0,18652000.0,1841000.0,42026000.0,568000.0,-6814000.0,3758000.0,,,6814000.0
AWX,2016-03-31,False,Q1,2016,10-Q,10999000.0,-976000.0,-908000.0,-0.24,-0.24,0.0,61091000.0,11365000.0,19938000.0,1248000.0,40766000.0,-567000.0,-494000.0,495000.0,8500000.0,,494000.0
AWX,2015-12-31,False,FY,2015,10-K,53090000.0,-1302000.0,-712000.0,-0.19,-0.19,0.0,62302000.0,12788000.0,12147000.0,1814000.0,41756000.0,1891000.0,-8523000.0,4117000.0,7975000.0,,8523000.0
AWX,2014-12-31,False,FY,2014,10-K,51472000.0,-1396000.0,-1080000.0,-0.28,-0.28,0.0,57844000.0,14553000.0,10551000.0,4329000.0,42922000.0,54000.0,-9898000.0,4375000.0,3800000.0,,6790000.0
AWX,2016-09-30,False,Q3,2016,10-Q,19133000.0,815000.0,806000.0,0.21,0.21,0.0,66808000.0,16821000.0,24575000.0,1604000.0,41853000.0,1221000.0,-2408000.0,977000.0,9000000.0,,2408000.0
AWX,2016-06-30,False,Q2,2016,10-Q,15642000.0,370000.0,421000.0,0.11,0.11,0.0,64761000.0,14586000.0,23244000.0,1910000.0,41112000.0,964000.0,-1863000.0,995000.0,9000000.0,,1863000.0
AWX,2017-06-30,False,Q2,2017,10-Q,14577000.0,109000.0,121000.0,0.03,0.03,0.0,66001000.0,12929000.0,13597000.0,1675000.0,40373000.0,718000.0,-948000.0,-394000.0,11556000.0,,1027000.0
AWX,2017-03-31,False,Q1,2017,10-Q,10702000.0,-901000.0,-926000.0,-0.24,-0.24,0.0,64907000.0,11503000.0,12319000.0,1079000.0,40362000.0,-581000.0,-460000.0,-179000.0,11685000.0,,460000.0
AWX,2017-09-30,False,Q3,2017,10-Q,16364000.0,525000.0,547000.0,0.14,0.14,0.0,66838000.0,13994000.0,14290000.0,1615000.0,40746000.0,1335000.0,-1385000.0,-634000.0,11426000.0,,1464000.0
AWX,2018-03-31,False,Q1,2018,10-Q,11516000.0,-784000.0,-799000.0,-0.21,-0.21,0.0,63940000.0,12099000.0,12725000.0,1612000.0,39660000.0,770000.0,-1541000.0,-142000.0,11158000.0,,272000.0
AWX,2018-06-30,False,Q2,2018,10-Q,16705000.0,596000.0,623000.0,0.16,0.16,0.0,67571000.0,15878000.0,16015000.0,2409000.0,40155000.0,2165000.0,-1923000.0,-358000.0,11022000.0,,670000.0
AWX,2016-12-31,False,FY,2016,10-K,61352000.0,-186000.0,-69000.0,-0.02,-0.02,0.0,67898000.0,14918000.0,14676000.0,2299000.0,41376000.0,2587000.0,-2998000.0,896000.0,11811000.0,,2998000.0
AWX,2017-12-31,False,FY,2017,10-K,55848000.0,-271000.0,-307000.0,-0.08,-0.08,0.0,65378000.0,12907000.0,13104000.0,1025000.0,40572000.0,1248000.0,-1710000.0,-812000.0,11292000.0,,1789000.0
