symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AXAS,2011-06-30,False,Q2,2011,10-Q,16953000.0,3438000.0,8937000.0,0.1,0.1,0.0,,,,4151000.0,,6579000.0,-17165000.0,14638000.0,,,25622000.0
AXAS,2011-09-30,False,Q3,2011,10-Q,18020000.0,4225000.0,20085000.0,0.22,0.21,0.0,213795000.0,18287000.0,34473000.0,14000.0,67397000.0,23035000.0,-44698000.0,21578000.0,,,53155000.0
AXAS,2018-09-30,False,Q3,2018,10-Q,41625000.0,17735000.0,1777000.0,0.01,0.01,0.0,381493000.0,47628000.0,97062000.0,,110218000.0,66704000.0,-129847000.0,61525000.0,149423000.0,,132989000.0
AXAS,2012-03-31,False,Q1,2012,10-Q,16393000.0,2224000.0,817000.0,0.01,0.01,0.0,251852000.0,19003000.0,47479000.0,0.0,64285000.0,25788000.0,-26126000.0,338000.0,,,26126000.0
AXAS,2013-03-31,False,Q1,2013,10-Q,21196000.0,3768000.0,595000.0,0.01,0.01,0.0,258161000.0,32768000.0,66163000.0,154000.0,47631000.0,9913000.0,-17773000.0,5953000.0,130711000.0,,17773000.0
AXAS,2012-06-30,False,Q2,2012,10-Q,15938000.0,-23000.0,10903000.0,0.12,0.12,0.0,253295000.0,14703000.0,31413000.0,308000.0,75374000.0,25743000.0,-35116000.0,9680000.0,136850000.0,,7200000.0
AXAS,2011-12-31,False,FY,2011,10-K,64622000.0,11648000.0,13743000.0,0.15,0.15,0.0,241150000.0,24713000.0,39522000.0,0.0,62651000.0,24495000.0,-70555000.0,45966000.0,,,79012000.0
AXAS,2012-09-30,False,Q3,2012,10-Q,17170000.0,-11359000.0,-18644000.0,-0.2,-0.2,0.0,250128000.0,40163000.0,35935000.0,2615000.0,57905000.0,31330000.0,-47474000.0,18759000.0,145805000.0,,53499000.0
AXAS,2012-12-31,False,FY,2012,10-K,68573000.0,-16348000.0,-18791000.0,-0.2,-0.2,0.0,240607000.0,23021000.0,54490000.0,2061000.0,46700000.0,51375000.0,-47003000.0,-2311000.0,124758000.0,,68552000.0
AXAS,2013-06-30,False,Q2,2013,10-Q,21494000.0,2867000.0,7866000.0,0.09,0.08,0.0,260093000.0,65919000.0,62368000.0,2432000.0,55999000.0,22771000.0,-30274000.0,7818000.0,132657000.0,,33466000.0
AXAS,2014-03-31,False,Q1,2014,10-Q,25893000.0,7339000.0,4704000.0,0.05,0.05,0.0,237514000.0,27894000.0,64664000.0,349000.0,92033000.0,2424000.0,-33937000.0,26656000.0,70562000.0,,36719000.0
AXAS,2013-09-30,False,Q3,2013,10-Q,29095000.0,11161000.0,3190000.0,0.03,0.03,0.0,257235000.0,44223000.0,76839000.0,4985000.0,59608000.0,35998000.0,-18745000.0,-14347000.0,110608000.0,,60889000.0
AXAS,2014-06-30,False,Q2,2014,10-Q,33559000.0,12590000.0,3034000.0,0.03,0.03,0.0,286874000.0,33068000.0,76196000.0,3742000.0,150239000.0,29453000.0,-87299000.0,56377000.0,47031000.0,,92770000.0
