symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AXL,2018-12-31,False,FY,2018,10-K,7270400000.0,106400000.0,-57500000.0,-0.51,-0.51,0.0,7510700000.0,2029800000.0,1356800000.0,476400000.0,1486300000.0,771500000.0,-478200000.0,-184500000.0,1511200000.0,1141800000.0,524700000.0
AXL,2012-06-30,False,Q2,2012,10-Q,739800000.0,30300000.0,4700000.0,0.06,0.06,0.0,2441200000.0,861600000.0,691900000.0,85200000.0,-394700000.0,24600000.0,-91700000.0,-17100000.0,1174300000.0,155900000.0,92900000.0
AXL,2011-09-30,False,Q3,2011,10-Q,647600000.0,44500000.0,24800000.0,0.33,0.33,0.0,2232800000.0,740000000.0,614400000.0,114400000.0,-373300000.0,-65400000.0,-103100000.0,39400000.0,,156000000.0,111000000.0
AXL,2011-06-30,False,Q2,2011,10-Q,686200000.0,71700000.0,49200000.0,0.65,0.65,0.0,2195400000.0,678600000.0,628500000.0,250300000.0,-357900000.0,116500000.0,-63800000.0,-48200000.0,,156600000.0,71600000.0
AXL,2012-09-30,False,Q3,2012,10-Q,702900000.0,30100000.0,-8100000.0,-0.11,-0.11,0.0,2674200000.0,1022100000.0,649800000.0,209000000.0,-497700000.0,-196600000.0,-141500000.0,377100000.0,1579900000.0,156300000.0,143700000.0
AXL,2013-03-31,False,Q1,2013,10-Q,755600000.0,44700000.0,7300000.0,0.1,0.1,0.0,3029600000.0,1005100000.0,651100000.0,100800000.0,-107900000.0,-26800000.0,-43900000.0,108500000.0,550000000.0,156400000.0,47900000.0
AXL,2013-09-30,False,Q3,2013,10-Q,820800000.0,67500000.0,31600000.0,0.41,0.41,0.0,3118500000.0,1091700000.0,704100000.0,118600000.0,-46800000.0,102300000.0,-148900000.0,103300000.0,562400000.0,156500000.0,178200000.0
AXL,2012-03-31,False,Q1,2012,10-Q,751500000.0,77400000.0,51200000.0,0.68,0.68,0.0,2502300000.0,906700000.0,642100000.0,112800000.0,-376400000.0,-71500000.0,-43600000.0,57000000.0,1248700000.0,156300000.0,44500000.0
AXL,2014-03-31,False,Q1,2014,10-Q,858800000.0,64800000.0,33600000.0,0.44,0.44,0.0,3149700000.0,1108100000.0,697800000.0,79600000.0,83300000.0,-55500000.0,-40000000.0,20700000.0,596800000.0,156400000.0,47900000.0
AXL,2011-12-31,False,FY,2011,10-K,2585000000.0,223400000.0,142800000.0,1.91,1.89,0.0,2328700000.0,763100000.0,576100000.0,169200000.0,-419600000.0,-56300000.0,-184100000.0,167200000.0,1180200000.0,155900000.0,163100000.0
AXL,2012-12-31,False,FY,2012,10-K,2930900000.0,156400000.0,367700000.0,4.88,4.87,0.0,2866000000.0,872100000.0,600800000.0,62400000.0,-120800000.0,-175500000.0,-185400000.0,253500000.0,550000000.0,156400000.0,207600000.0
AXL,2014-06-30,False,Q2,2014,10-Q,946900000.0,87500000.0,52200000.0,0.67,0.67,0.0,3201400000.0,1146800000.0,721500000.0,128900000.0,143400000.0,82400000.0,-95400000.0,-12800000.0,602300000.0,156200000.0,103700000.0
AXL,2014-09-30,False,Q3,2014,10-Q,950800000.0,85100000.0,48600000.0,0.63,0.63,0.0,3225600000.0,1176900000.0,738500000.0,219000000.0,169300000.0,231600000.0,-147700000.0,-16100000.0,577100000.0,155600000.0,156200000.0
AXL,2013-12-31,False,FY,2013,10-K,3207300000.0,240300000.0,94500000.0,1.23,1.23,0.0,3029000000.0,997800000.0,667100000.0,154000000.0,33600000.0,223000000.0,-218700000.0,88800000.0,578900000.0,156400000.0,251900000.0
AXL,2013-06-30,False,Q2,2013,10-Q,799600000.0,61700000.0,25800000.0,0.34,0.34,0.0,3008700000.0,992200000.0,647000000.0,78900000.0,-101600000.0,33200000.0,-100600000.0,84800000.0,558300000.0,156200000.0,121500000.0
AXL,2015-03-31,False,Q1,2015,10-Q,969100000.0,84300000.0,52000000.0,0.69,0.68,0.0,3307800000.0,1224000000.0,732000000.0,205700000.0,142300000.0,6400000.0,-43500000.0,-1100000.0,589200000.0,154300000.0,43600000.0
AXL,2014-12-31,False,FY,2014,10-K,3696000000.0,267600000.0,140100000.0,1.85,1.85,0.0,3259200000.0,1139500000.0,687200000.0,249200000.0,113400000.0,318400000.0,-195300000.0,-21400000.0,583000000.0,155000000.0,206500000.0
AXL,2015-06-30,False,Q2,2015,10-Q,1004000000.0,93900000.0,57200000.0,0.75,0.75,0.0,3360600000.0,1292000000.0,737600000.0,301300000.0,205200000.0,154300000.0,-91300000.0,-6700000.0,574800000.0,154600000.0,91400000.0
AXL,2015-09-30,False,Q3,2015,10-Q,971600000.0,92800000.0,59500000.0,0.78,0.78,0.0,3398500000.0,1354600000.0,761600000.0,365600000.0,226800000.0,268100000.0,-131900000.0,-8100000.0,551400000.0,154500000.0,132100000.0
AXL,2014-09-30,True,Q3,2014,10-Q,950800000.0,76700000.0,44000000.0,0.57,0.57,0.0,3227900000.0,1179200000.0,738500000.0,219000000.0,171600000.0,231600000.0,-147700000.0,-16100000.0,577100000.0,155600000.0,156200000.0
AXL,2016-06-30,False,Q2,2016,10-Q,1025400000.0,111500000.0,69300000.0,0.91,0.9,0.0,3432700000.0,1334400000.0,751900000.0,388400000.0,457400000.0,183500000.0,-101300000.0,20900000.0,578900000.0,154400000.0,105700000.0
AXL,2016-09-30,False,Q3,2016,10-Q,1006900000.0,101300000.0,60300000.0,0.79,0.78,0.0,3515000000.0,1419900000.0,766200000.0,433900000.0,520000000.0,291000000.0,-159800000.0,17600000.0,581600000.0,154400000.0,158700000.0
AXL,2015-12-31,False,FY,2015,10-K,3903100000.0,358100000.0,230300000.0,3.03,3.02,0.0,3202700000.0,1124200000.0,699200000.0,282500000.0,301500000.0,377600000.0,-188100000.0,-143600000.0,574800000.0,154400000.0,193500000.0
AXL,2016-03-31,False,Q1,2016,10-Q,969200000.0,98400000.0,59700000.0,0.78,0.78,0.0,3305800000.0,1215000000.0,717800000.0,262000000.0,386900000.0,26200000.0,-50000000.0,1100000.0,569300000.0,154700000.0,50600000.0
AXL,2016-12-31,False,FY,2016,10-K,3948000000.0,380700000.0,235200000.0,3.08,3.06,0.0,3448100000.0,1336500000.0,651500000.0,481200000.0,530000000.0,407600000.0,-227700000.0,18400000.0,566100000.0,154000000.0,223000000.0
AXL,2017-06-30,False,Q2,2017,10-Q,1757800000.0,134300000.0,66200000.0,0.59,0.59,0.0,7889800000.0,2144100000.0,1227200000.0,490600000.0,1297100000.0,213200000.0,-1035100000.0,823900000.0,1534500000.0,1610800000.0,138600000.0
AXL,2017-09-30,False,Q3,2017,10-Q,1724400000.0,148200000.0,86200000.0,0.76,0.75,0.0,8058300000.0,2212700000.0,1285000000.0,549600000.0,1436600000.0,420700000.0,-1179200000.0,816600000.0,1530600000.0,1654600000.0,278700000.0
AXL,2017-03-31,False,Q1,2017,10-Q,1049900000.0,111900000.0,78400000.0,1.0,0.99,0.0,4862000000.0,2573500000.0,772700000.0,1543400000.0,635800000.0,62300000.0,-174600000.0,1172800000.0,700000000.0,233800000.0,34900000.0
AXL,2017-12-31,False,FY,2017,10-K,6266000000.0,543000000.0,329600000.0,3.22,3.21,0.0,7882800000.0,1945000000.0,1216400000.0,376800000.0,1540000000.0,647000000.0,-1378100000.0,615600000.0,1528700000.0,1654300000.0,477700000.0
AXL,2018-06-30,False,Q2,2018,10-Q,1900900000.0,190300000.0,151100000.0,1.31,1.3,0.0,8090400000.0,2155000000.0,1331700000.0,353200000.0,1766200000.0,289400000.0,-226800000.0,-79400000.0,1526800000.0,1631700000.0,273000000.0
AXL,2018-03-31,False,Q1,2018,10-Q,1858400000.0,175800000.0,89400000.0,0.78,0.78,0.0,8172300000.0,2155100000.0,1349900000.0,340700000.0,1686000000.0,66900000.0,-132200000.0,23300000.0,1533000000.0,1669100000.0,130800000.0
