symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
AZPN,2018-12-31,False,Q2,2019,10-Q,140423000.0,63758000.0,59217000.0,0.84,0.83,0.0,952446000.0,466446000.0,328655000.0,54428000.0,432194000.0,63097000.0,-369000.0,-103811000.0,,74802000.0,180000.0
AZPN,2011-09-30,False,Q1,2012,10-Q,51225000.0,-15625000.0,-11736000.0,-0.12,-0.12,0.0,394057000.0,241119000.0,173809000.0,145356000.0,141455000.0,5273000.0,-586000.0,-8951000.0,,17791000.0,386000.0
AZPN,2012-09-30,False,Q1,2013,10-Q,71457000.0,8954000.0,4413000.0,0.05,0.05,0.0,338830000.0,237967000.0,172197000.0,163363000.0,108198000.0,18461000.0,-105000.0,-20485000.0,,19995000.0,1800000.0
AZPN,2013-03-31,False,Q3,2013,10-Q,79357000.0,16334000.0,10513000.0,0.11,0.11,0.0,361661000.0,235549000.0,195578000.0,139042000.0,99827000.0,112624000.0,-78004000.0,-60589000.0,,19465000.0,3018000.0
AZPN,2012-12-31,False,Q2,2013,10-Q,77309000.0,14929000.0,9937000.0,0.11,0.1,0.0,345438000.0,251577000.0,175815000.0,175224000.0,104297000.0,54140000.0,-1307000.0,-43030000.0,,19851000.0,2567000.0
AZPN,2011-12-31,False,Q2,2012,10-Q,66555000.0,7041000.0,3836000.0,0.04,0.04,0.0,382553000.0,242666000.0,163602000.0,143255000.0,138126000.0,28280000.0,-1314000.0,-33341000.0,,17903000.0,922000.0
AZPN,2012-03-31,False,Q3,2012,10-Q,61337000.0,-2814000.0,-520000.0,-0.01,-0.01,0.0,403994000.0,276538000.0,198324000.0,182564000.0,129890000.0,82970000.0,-4279000.0,-45951000.0,,19812000.0,1175000.0
AZPN,2012-06-30,False,FY,2012,10-K,243134000.0,-15007000.0,-13808000.0,-0.15,-0.15,0.0,368335000.0,261463000.0,195719000.0,165242000.0,113592000.0,104637000.0,-7369000.0,-81699000.0,,19399000.0,4241000.0
AZPN,2013-09-30,False,Q1,2014,10-Q,87565000.0,24849000.0,14999000.0,0.16,0.16,0.0,367059000.0,286880000.0,206902000.0,125604000.0,94303000.0,25913000.0,-4570000.0,-28394000.0,,19523000.0,915000.0
AZPN,2014-03-31,False,Q3,2014,10-Q,103587000.0,31402000.0,20843000.0,0.23,0.22,0.0,383030000.0,318420000.0,242499000.0,181483000.0,86203000.0,141889000.0,-5811000.0,-87242000.0,,18869000.0,2630000.0
AZPN,2015-09-30,False,Q1,2016,10-Q,120296000.0,55429000.0,36771000.0,0.44,0.44,0.0,266780000.0,219937000.0,264052000.0,129739000.0,-63021000.0,18446000.0,9251000.0,-53970000.0,,16610000.0,1119000.0
AZPN,2013-06-30,False,FY,2013,10-K,311387000.0,55600000.0,45262000.0,0.48,0.47,0.0,382748000.0,285351000.0,215461000.0,132432000.0,101898000.0,146562000.0,-97391000.0,-81771000.0,,19132000.0,4507000.0
AZPN,2013-12-31,False,Q2,2014,10-Q,98769000.0,36112000.0,23263000.0,0.25,0.25,0.0,358911000.0,291209000.0,213170000.0,137477000.0,90475000.0,72256000.0,-8796000.0,-58643000.0,,19199000.0,1724000.0
AZPN,2014-09-30,False,Q1,2015,10-Q,107126000.0,44634000.0,28967000.0,0.32,0.32,0.0,378235000.0,308656000.0,242639000.0,193134000.0,69989000.0,39943000.0,-499000.0,-45289000.0,,18596000.0,2891000.0
AZPN,2014-12-31,False,Q2,2015,10-Q,107790000.0,46521000.0,30464000.0,0.34,0.34,0.0,343354000.0,265966000.0,233995000.0,158443000.0,37720000.0,73775000.0,-4501000.0,-109280000.0,,18045000.0,4328000.0
AZPN,2014-06-30,False,FY,2014,10-K,391453000.0,129724000.0,85783000.0,0.93,0.92,0.0,407972000.0,329682000.0,266504000.0,199526000.0,83676000.0,200131000.0,-13187000.0,-120170000.0,,19276000.0,4011000.0
AZPN,2015-03-31,False,Q3,2015,10-Q,111299000.0,41731000.0,28170000.0,0.32,0.32,0.0,317065000.0,258405000.0,275854000.0,143962000.0,-26794000.0,138417000.0,10629000.0,-202863000.0,,17026000.0,5914000.0
AZPN,2016-03-31,False,Q3,2016,10-Q,119217000.0,50681000.0,33171000.0,0.4,0.4,0.0,439431000.0,394987000.0,416298000.0,96910000.0,-35455000.0,108895000.0,-204632000.0,36621000.0,,16781000.0,2530000.0
AZPN,2015-12-31,False,Q2,2016,10-Q,119151000.0,56299000.0,36683000.0,0.44,0.44,0.0,276393000.0,230226000.0,234659000.0,170623000.0,-22196000.0,39172000.0,30268000.0,-54702000.0,3700000.0,16258000.0,1781000.0
AZPN,2017-03-31,False,Q3,2017,10-Q,119277000.0,52273000.0,35834000.0,0.47,0.47,0.0,243952000.0,147052000.0,427275000.0,84552000.0,-249495000.0,109038000.0,-52980000.0,-289752000.0,,50909000.0,2151000.0
AZPN,2017-06-30,False,FY,2017,10-K,482942000.0,212016000.0,162196000.0,2.12,2.11,0.0,247942000.0,146186000.0,467243000.0,101954000.0,-260784000.0,182386000.0,-36698000.0,-362017000.0,,51248000.0,2720000.0
AZPN,2016-06-30,False,FY,2016,10-K,472344000.0,211381000.0,139951000.0,1.69,1.68,0.0,419738000.0,361323000.0,432623000.0,318336000.0,-75034000.0,153744000.0,47221000.0,-38659000.0,,23438000.0,3483000.0
AZPN,2015-06-30,False,FY,2015,10-K,440401000.0,179792000.0,118407000.0,1.34,1.33,0.0,315361000.0,263630000.0,296466000.0,156249000.0,-48546000.0,191985000.0,27466000.0,-261259000.0,,17360000.0,7645000.0
AZPN,2016-12-31,False,Q2,2017,10-Q,119933000.0,56065000.0,37010000.0,0.48,0.48,0.0,267357000.0,168409000.0,395000000.0,67026000.0,-192877000.0,53417000.0,-108014000.0,-196495000.0,,53033000.0,1374000.0
AZPN,2017-09-30,False,Q1,2018,10-Q,122781000.0,53313000.0,34755000.0,0.48,0.47,0.0,202723000.0,101937000.0,429672000.0,58983000.0,-267457000.0,12360000.0,-188000.0,-55299000.0,,51738000.0,123000.0
AZPN,2017-12-31,False,Q2,2018,10-Q,124902000.0,54465000.0,38078000.0,0.53,0.52,0.0,195796000.0,88739000.0,430419000.0,48703000.0,-274507000.0,54762000.0,-11312000.0,-96907000.0,,55703000.0,156000.0
AZPN,2016-09-30,False,Q1,2017,10-Q,120050000.0,54730000.0,35000000.0,0.44,0.44,0.0,289944000.0,225664000.0,411665000.0,48377000.0,-183585000.0,26250000.0,-146913000.0,-149245000.0,,25278000.0,898000.0
AZPN,2018-06-30,False,FY,2018,10-K,499514000.0,209641000.0,148688000.0,2.06,2.04,0.0,264924000.0,131185000.0,502288000.0,96165000.0,-284115000.0,206936000.0,-34360000.0,-178479000.0,,75590000.0,331000.0
AZPN,2018-03-31,False,Q3,2018,10-Q,125871000.0,51157000.0,37835000.0,0.53,0.52,0.0,246007000.0,111163000.0,477777000.0,71075000.0,-278606000.0,127829000.0,-34216000.0,-125326000.0,,76016000.0,217000.0
AZPN,2018-09-30,False,Q1,2019,10-Q,114169000.0,36990000.0,38066000.0,0.54,0.53,0.0,939668000.0,459724000.0,275107000.0,52048000.0,473119000.0,5570000.0,-186000.0,-49102000.0,,75649000.0,96000.0
