symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BCEI,2012-09-30,False,Q3,2012,10-Q,58327823.0,13182809.0,3420887.0,0.04,0.04,0.0,925537805.0,52690203.0,90066635.0,4845583.0,564364605.0,92647818.0,-204914481.0,115022572.0,,,12009040.0
BCEI,2012-06-30,False,Q2,2012,10-Q,51455094.0,19571866.0,21506103.0,0.53,0.53,0.0,810050486.0,50843761.0,75452910.0,2605378.0,559500110.0,56389446.0,-111246546.0,55372804.0,,,6510563.0
BCEI,2014-03-31,False,Q1,2014,10-Q,127395000.0,33635000.0,13531000.0,0.34,0.34,0.0,1620144000.0,227481000.0,220462000.0,131343000.0,671895000.0,77684000.0,-122296000.0,-4627000.0,500000000.0,,194000.0
BCEI,2013-09-30,False,Q3,2013,10-Q,125973199.0,52269491.0,17781421.0,0.44,0.44,0.0,1299771823.0,101850394.0,145822900.0,17368896.0,628482016.0,181254676.0,-337728506.0,169575059.0,300000000.0,,4458881.0
BCEI,2013-03-31,False,Q1,2013,10-Q,78307013.0,25272135.0,11255816.0,0.28,0.28,0.0,1048750286.0,61771258.0,93941245.0,3170403.0,591243236.0,38292479.0,-69930134.0,30540391.0,191500000.0,,3275378.0
BCEI,2015-03-31,False,Q1,2015,10-Q,73076000.0,-34527000.0,-18421000.0,-0.41,-0.41,0.0,2114750000.0,247755000.0,161219000.0,70514000.0,925766000.0,32090000.0,-131818000.0,167658000.0,807313000.0,,112000.0
BCEI,2013-12-31,False,FY,2013,10-K,421860102.0,146994854.0,69183803.0,1.72,1.71,0.0,1545935121.0,264174437.0,175225536.0,180581580.0,656028332.0,307015556.0,-465223311.0,334521668.0,,,5201717.0
BCEI,2014-06-30,False,Q2,2014,10-Q,151682000.0,38641000.0,1158000.0,0.03,0.03,0.0,1647115000.0,152319000.0,236537000.0,36555000.0,680100000.0,157969000.0,-296663000.0,-5333000.0,500000000.0,,271000.0
BCEI,2018-12-31,False,FY,2018,10-K,276657000.0,112394000.0,168186000.0,8.2,8.16,0.0,1061534000.0,134811000.0,99476000.0,12916000.0,863913000.0,116598000.0,-164376000.0,47998000.0,50000000.0,,264231000.0
BCEI,2012-12-31,False,FY,2012,10-K,231205241.0,77903050.0,46522577.0,1.12,1.12,0.0,1002489807.0,55303536.0,102603006.0,4267667.0,578517504.0,156910170.0,-304551205.0,149819028.0,158000000.0,,15787631.0
BCEI,2016-09-30,False,Q3,2016,10-Q,49325000.0,-22879000.0,-34902000.0,-0.71,-0.71,0.0,1224397000.0,176746000.0,1101870000.0,133430000.0,84756000.0,30578000.0,-68223000.0,149734000.0,1022743000.0,,47491000.0
BCEI,2014-12-31,False,FY,2014,10-K,558633000.0,-47506000.0,20283000.0,0.5,0.49,0.0,2006089000.0,208475000.0,198447000.0,2584000.0,740071000.0,327720000.0,-824994000.0,319276000.0,500000000.0,,282000.0
