symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BCRX,2018-09-30,False,Q3,2018,10-Q,1454000.0,-28493000.0,-29597000.0,-0.28,-0.28,0.0,168308000.0,128495000.0,64357000.0,52584000.0,72873000.0,-68580000.0,7935000.0,61167000.0,30000000.0,,262000.0
BCRX,2011-12-31,False,FY,2011,10-K,19643000.0,-49587000.0,-56948000.0,-1.26,-1.26,0.0,82208000.0,52858000.0,26299000.0,16444000.0,14806000.0,-32251000.0,11318000.0,23755000.0,,,55000.0
BCRX,2011-06-30,False,Q2,2011,10-Q,3735000.0,-14243000.0,-16271000.0,-0.36,-0.36,0.0,108412000.0,79877000.0,21960000.0,17008000.0,39266000.0,-17798000.0,-2331000.0,23515000.0,,,53000.0
BCRX,2012-03-31,False,Q1,2012,10-Q,12221000.0,-5001000.0,-6052000.0,-0.13,-0.13,0.0,80085000.0,52949000.0,16165000.0,27661000.0,23150000.0,-12248000.0,11540000.0,11925000.0,,,69000.0
BCRX,2011-09-30,False,Q3,2011,10-Q,5249000.0,-12805000.0,-14459000.0,-0.32,-0.32,0.0,92511000.0,60446000.0,19333000.0,22441000.0,26042000.0,-28267000.0,14010000.0,23076000.0,,,54000.0
BCRX,2012-06-30,False,Q2,2012,10-Q,4210000.0,-10176000.0,-12276000.0,-0.25,-0.25,0.0,76236000.0,45064000.0,19106000.0,21924000.0,15659000.0,-18590000.0,9563000.0,14507000.0,,,109000.0
BCRX,2013-09-30,False,Q3,2013,10-Q,2389000.0,-6925000.0,-8001000.0,-0.14,-0.14,0.0,53205000.0,46839000.0,13182000.0,26050000.0,3410000.0,-22015000.0,-1205000.0,28379000.0,,,26000.0
BCRX,2013-06-30,False,Q2,2013,10-Q,821000.0,-12142000.0,-12172000.0,-0.23,-0.23,0.0,39916000.0,33530000.0,11958000.0,19767000.0,-9047000.0,-14093000.0,4604000.0,8365000.0,,,26000.0
BCRX,2012-09-30,False,Q3,2012,10-Q,5761000.0,-8016000.0,-9700000.0,-0.19,-0.19,0.0,64094000.0,46582000.0,12564000.0,23959000.0,9784000.0,-30367000.0,21238000.0,16644000.0,,,115000.0
BCRX,2012-12-31,False,FY,2012,10-K,26293000.0,-33888000.0,-39081000.0,-0.79,-0.79,0.0,57439000.0,41978000.0,17224000.0,20891000.0,-454000.0,-37397000.0,24884000.0,16960000.0,,,113000.0
BCRX,2013-03-31,False,Q1,2013,10-Q,3554000.0,-5316000.0,-4506000.0,-0.09,-0.09,0.0,46899000.0,35407000.0,11324000.0,14805000.0,-2840000.0,-11198000.0,2072000.0,3040000.0,,,
BCRX,2013-12-31,False,FY,2013,10-K,17331000.0,-30717000.0,-30108000.0,-0.55,-0.55,0.0,48866000.0,42121000.0,15256000.0,21164000.0,-1126000.0,-26530000.0,-3467000.0,30270000.0,,,30000.0
BCRX,2014-06-30,False,Q2,2014,10-Q,1466000.0,-11619000.0,-14649000.0,-0.23,-0.23,0.0,141975000.0,138250000.0,44937000.0,121519000.0,90089000.0,-16061000.0,8243000.0,108173000.0,,,7000.0
BCRX,2014-03-31,False,Q1,2014,10-Q,3458000.0,-7386000.0,-10137000.0,-0.17,-0.17,0.0,43387000.0,35731000.0,13689000.0,13584000.0,-5723000.0,-8959000.0,-1023000.0,2402000.0,,,7000.0
BCRX,2014-09-30,False,Q3,2014,10-Q,3238000.0,-11610000.0,-8731000.0,-0.12,-0.12,0.0,137125000.0,135144000.0,49823000.0,121157000.0,83454000.0,-24661000.0,13108000.0,111546000.0,,,41000.0
BCRX,2015-03-31,False,Q1,2015,10-Q,6826000.0,-14430000.0,-15164000.0,-0.21,-0.21,0.0,129867000.0,81366000.0,61862000.0,48367000.0,64371000.0,-3726000.0,-3948000.0,1501000.0,,,565000.0
BCRX,2015-06-30,False,Q2,2015,10-Q,25842000.0,5342000.0,4901000.0,0.07,0.06,0.0,150181000.0,107088000.0,63772000.0,76781000.0,76089000.0,14372000.0,3124000.0,4745000.0,,,934000.0
BCRX,2016-03-31,False,Q1,2016,10-Q,4820000.0,-19048000.0,-22832000.0,-0.31,-0.31,0.0,102881000.0,50425000.0,63070000.0,12902000.0,27798000.0,-18842000.0,2707000.0,138000.0,,,3260000.0
BCRX,2014-12-31,False,FY,2014,10-K,13608000.0,-45771000.0,-45189000.0,-0.68,-0.68,0.0,136874000.0,89343000.0,57687000.0,54540000.0,75635000.0,-38551000.0,-39980000.0,111907000.0,,,106000.0
BCRX,2015-09-30,False,Q3,2015,10-Q,10987000.0,-13162000.0,-14621000.0,-0.2,-0.2,0.0,138956000.0,84502000.0,64444000.0,46627000.0,64045000.0,1712000.0,-15017000.0,5392000.0,,,1076000.0
BCRX,2015-12-31,False,FY,2015,10-K,48257000.0,-39444000.0,-43019000.0,-0.59,-0.59,0.0,124555000.0,65990000.0,64453000.0,28899000.0,47724000.0,-13116000.0,-18004000.0,5479000.0,,,5122000.0
BCRX,2016-06-30,False,Q2,2016,10-Q,4787000.0,-12130000.0,-16281000.0,-0.22,-0.22,0.0,82217000.0,46112000.0,56194000.0,8661000.0,13387000.0,-30026000.0,11151000.0,-1363000.0,,,5099000.0
BCRX,2016-09-30,False,Q3,2016,10-Q,7763000.0,-9241000.0,-11528000.0,-0.16,-0.16,0.0,91502000.0,64632000.0,51520000.0,35387000.0,3993000.0,-47584000.0,33100000.0,20972000.0,23000000.0,,5278000.0
BCRX,2016-12-31,False,FY,2016,10-K,26353000.0,-48607000.0,-55144000.0,-0.75,-0.75,0.0,89847000.0,66987000.0,54360000.0,22104000.0,1578000.0,-53438000.0,23339000.0,23304000.0,23000000.0,,5277000.0
BCRX,2017-09-30,False,Q3,2017,10-Q,8760000.0,-13349000.0,-15134000.0,-0.18,-0.18,0.0,191492000.0,175370000.0,69237000.0,117776000.0,100632000.0,-30624000.0,-8834000.0,135130000.0,23000000.0,,213000.0
BCRX,2017-03-31,False,Q1,2017,10-Q,9437000.0,-10685000.0,-14219000.0,-0.19,-0.19,0.0,129513000.0,113502000.0,58557000.0,75158000.0,38530000.0,-8527000.0,12881000.0,48700000.0,23000000.0,,3000.0
BCRX,2017-12-31,False,FY,2017,10-K,25186000.0,-57411000.0,-65782000.0,-0.78,-0.78,0.0,178259000.0,125391000.0,74836000.0,50282000.0,83767000.0,-41143000.0,-66382000.0,135703000.0,23000000.0,,328000.0
BCRX,2017-06-30,False,Q2,2017,10-Q,3099000.0,-15516000.0,-16886000.0,-0.21,-0.21,0.0,113509000.0,92263000.0,58937000.0,39696000.0,24076000.0,-18194000.0,-13032000.0,48818000.0,23000000.0,,24000.0
BCRX,2018-03-31,False,Q1,2018,10-Q,7300000.0,-22214000.0,-25777000.0,-0.26,-0.26,0.0,155372000.0,104156000.0,75342000.0,43767000.0,62054000.0,-19653000.0,15927000.0,-1476000.0,21275000.0,,35000.0
BCRX,2018-06-30,False,Q2,2018,10-Q,12494000.0,-18251000.0,-18446000.0,-0.19,-0.19,0.0,136644000.0,92669000.0,74173000.0,27104000.0,46184000.0,-33548000.0,17460000.0,-2751000.0,19550000.0,,221000.0
