symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BDN,2010-06-30,False,Q2,2010,10-Q,137495000.0,24778000.0,-7567000.0,-0.06,-0.06,0.0,4617184000.0,,,297000.0,1921007000.0,103002000.0,-100284000.0,-3988000.0,160000000.0,,
BDN,2010-09-30,False,Q3,2010,10-Q,142965000.0,26889000.0,-8563000.0,-0.06,-0.06,0.0,4824298000.0,,,104041000.0,1998271000.0,149622000.0,-159037000.0,111889000.0,22000000.0,,
BDN,2011-09-30,False,Q3,2011,10-Q,145664000.0,27630000.0,4130000.0,0.03,0.03,0.0,4703754000.0,,,5706000.0,1920894000.0,155993000.0,-162476000.0,-4376000.0,2492227000.0,,
BDN,2011-03-31,False,Q1,2011,10-Q,148551000.0,28473000.0,-2579000.0,-0.02,-0.02,0.15,4686719000.0,,,249000.0,1957720000.0,57747000.0,-62470000.0,-11593000.0,197000000.0,,
BDN,2011-06-30,False,Q2,2011,10-Q,145407000.0,24928000.0,-8188000.0,-0.06,-0.06,0.0,4668495000.0,,,733000.0,1936044000.0,88342000.0,-97253000.0,-6921000.0,2466021000.0,,
BDN,2010-12-31,False,FY,2010,10-K,566897000.0,100355000.0,-25578000.0,-0.19,-0.19,1.76,4690378000.0,,,16565000.0,1977774000.0,185127000.0,-171936000.0,1807000.0,183000000.0,,
BDN,2012-09-30,False,Q3,2012,10-Q,140383000.0,29498000.0,13949000.0,0.1,0.1,0.0,4666726000.0,,,241616000.0,1884209000.0,122145000.0,42865000.0,76196000.0,2506589000.0,,
BDN,2012-06-30,False,Q2,2012,10-Q,137576000.0,28862000.0,1537000.0,0.01,0.01,0.0,4669170000.0,,,190055000.0,1893729000.0,75621000.0,9988000.0,104036000.0,2509841000.0,,
BDN,2012-03-31,False,Q1,2012,10-Q,141801000.0,29469000.0,7108000.0,0.05,0.05,0.45,4825343000.0,,,284236000.0,1875442000.0,44222000.0,-7954000.0,247558000.0,2674450000.0,,
BDN,2013-06-30,False,Q2,2013,10-Q,140919000.0,29216000.0,5308000.0,0.03,0.03,0.0,4566389000.0,,,215948000.0,1934069000.0,96791000.0,68607000.0,49001000.0,2379745000.0,,
BDN,2013-03-31,False,Q1,2013,10-Q,140608000.0,28700000.0,2058000.0,0.01,0.01,0.15,4425304000.0,,,47874000.0,1758633000.0,49843000.0,90971000.0,-94489000.0,2393932000.0,,
BDN,2011-12-31,False,FY,2011,10-K,581805000.0,105712000.0,-12996000.0,-0.1,-0.1,0.6,4557718000.0,,,410000.0,1889696000.0,179015000.0,-47931000.0,-147239000.0,2393995000.0,,
BDN,2012-12-31,False,FY,2012,10-K,559833000.0,118187000.0,-8238000.0,-0.06,-0.06,0.6,4506709000.0,,,1549000.0,1773516000.0,157283000.0,-73037000.0,-83107000.0,2465330000.0,,
BDN,2013-09-30,False,Q3,2013,10-Q,143456000.0,30239000.0,9173000.0,0.06,0.06,0.0,4558142000.0,,,185517000.0,1921158000.0,146228000.0,16539000.0,21201000.0,2377191000.0,,
BDN,2014-09-30,False,Q3,2014,10-Q,146558000.0,30811000.0,6967000.0,0.04,0.04,0.0,5148351000.0,,,671943000.0,2189890000.0,133000000.0,-94748000.0,370484000.0,2713380000.0,,
BDN,2014-06-30,False,Q2,2014,10-Q,150500000.0,34201000.0,385000.0,0.0,0.0,0.0,4704173000.0,,,234836000.0,1870442000.0,90241000.0,-61388000.0,-57224000.0,2588250000.0,,
BDN,2014-03-31,False,Q1,2014,10-Q,152114000.0,29389000.0,-4041000.0,-0.03,-0.03,0.15,4760048000.0,,,236291000.0,1895152000.0,50440000.0,-48365000.0,-28991000.0,2591806000.0,,
BDN,2015-03-31,False,Q1,2015,10-Q,150406000.0,29961000.0,6710000.0,0.04,0.04,0.15,4845656000.0,,,309083000.0,2138576000.0,45611000.0,38311000.0,-32341000.0,,,
BDN,2015-09-30,False,Q3,2015,10-Q,152585000.0,29526000.0,18346000.0,0.1,0.1,0.15,4741621000.0,,,50632000.0,2045157000.0,144960000.0,-191391000.0,-160439000.0,,,
BDN,2015-06-30,False,Q2,2015,10-Q,145648000.0,31578000.0,1255000.0,0.01,0.01,0.0,4814310000.0,,,123982000.0,2115806000.0,88617000.0,-155370000.0,-66767000.0,,,
