symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BFAM,2013-03-31,False,Q1,2013,10-Q,280123000.0,15437000.0,-50743000.0,-0.91,-0.91,0.0,1975350000.0,206953000.0,226290000.0,96735000.0,782210000.0,52270000.0,-22192000.0,33269000.0,767887000.0,987779000.0,22192000.0
BFAM,2018-12-31,False,FY,2018,10-K,1903182000.0,239095000.0,157096000.0,2.72,2.66,0.0,2524306000.0,193891000.0,483785000.0,15450000.0,779477000.0,294747000.0,-158543000.0,-134193000.0,1056188000.0,1347611000.0,92491000.0
BFAM,2015-06-30,False,Q2,2015,10-Q,370465000.0,52138000.0,26919000.0,0.44,0.43,0.0,2148670000.0,205013000.0,288463000.0,76920000.0,742238000.0,115019000.0,-64210000.0,-62411000.0,918163000.0,1111454000.0,41800000.0
BFAM,2014-03-31,False,Q1,2014,10-Q,332155000.0,34011000.0,16048000.0,0.24,0.24,0.0,2121512000.0,189001000.0,241510000.0,75734000.0,914938000.0,51641000.0,-14116000.0,8577000.0,763001000.0,1096567000.0,14431000.0
BFAM,2013-06-30,False,Q2,2013,10-Q,310813000.0,35397000.0,24579000.0,0.38,0.37,0.0,2032751000.0,173210000.0,245345000.0,62999000.0,812491000.0,98426000.0,-103875000.0,35345000.0,766666000.0,1047049000.0,39662000.0
BFAM,2014-06-30,False,Q2,2014,10-Q,348100000.0,42535000.0,21714000.0,0.33,0.32,0.0,2166482000.0,224681000.0,250055000.0,112283000.0,951728000.0,104369000.0,-36193000.0,14151000.0,761779000.0,1104406000.0,30701000.0
BFAM,2015-03-31,False,Q1,2015,10-Q,350440000.0,42841000.0,22532000.0,0.36,0.35,0.0,2153514000.0,254149000.0,272476000.0,123661000.0,765451000.0,47262000.0,-17983000.0,8020000.0,919639000.0,1087479000.0,16911000.0
BFAM,2015-09-30,False,Q3,2015,10-Q,365944000.0,41741000.0,20558000.0,0.34,0.33,0.0,2153941000.0,167141000.0,315612000.0,21393000.0,714823000.0,142263000.0,-128051000.0,-80506000.0,916687000.0,1141285000.0,61415000.0
BFAM,2013-12-31,False,FY,2013,10-K,1218776000.0,109034000.0,12623000.0,0.2,0.2,0.0,2102670000.0,165170000.0,255088000.0,29585000.0,889137000.0,159679000.0,-201132000.0,36761000.0,764223000.0,1096283000.0,69509000.0
BFAM,2016-03-31,False,Q1,2016,10-Q,385322000.0,48597000.0,24727000.0,0.41,0.4,0.0,2143991000.0,159659000.0,301681000.0,40152000.0,728068000.0,85797000.0,-13570000.0,-43822000.0,912765000.0,1147236000.0,10637000.0
BFAM,2013-09-30,False,Q3,2013,10-Q,308663000.0,27789000.0,15044000.0,0.23,0.23,0.0,2087767000.0,147672000.0,260431000.0,35010000.0,849950000.0,121465000.0,-180548000.0,60027000.0,765444000.0,1097447000.0,55244000.0
BFAM,2016-06-30,False,Q2,2016,10-Q,402053000.0,56578000.0,30403000.0,0.51,0.5,0.0,2107835000.0,150563000.0,320334000.0,45026000.0,677985000.0,146882000.0,-29652000.0,-82560000.0,911337000.0,1135748000.0,27293000.0
BFAM,2017-03-31,False,Q1,2017,10-Q,422164000.0,51404000.0,41374000.0,0.69,0.68,0.0,2376458000.0,166465000.0,356112000.0,21494000.0,726051000.0,106673000.0,-22873000.0,-77054000.0,1062511000.0,1273674000.0,19894000.0
BFAM,2016-09-30,False,Q3,2016,10-Q,383929000.0,44715000.0,22510000.0,0.38,0.37,0.0,2128697000.0,146146000.0,309125000.0,19484000.0,697961000.0,164953000.0,-72773000.0,-83025000.0,909908000.0,1150717000.0,50466000.0
BFAM,2014-12-31,False,FY,2014,10-K,1352999000.0,146920000.0,71755000.0,1.09,1.07,0.0,2141076000.0,223158000.0,279423000.0,87886000.0,750959000.0,174297000.0,-78001000.0,-36420000.0,921177000.0,1095738000.0,66194000.0
BFAM,2014-09-30,False,Q3,2014,10-Q,334976000.0,33046000.0,15379000.0,0.23,0.23,0.0,2153838000.0,230437000.0,237777000.0,109008000.0,952472000.0,121311000.0,-53445000.0,12063000.0,760557000.0,1096840000.0,47953000.0
BFAM,2015-12-31,False,FY,2015,10-K,1458445000.0,181602000.0,93287000.0,1.53,1.5,0.0,2150541000.0,152713000.0,305343000.0,11539000.0,727608000.0,170056000.0,-155354000.0,-90581000.0,915211000.0,1147809000.0,77785000.0
BFAM,2016-12-31,False,FY,2016,10-K,1569841000.0,197238000.0,93919000.0,1.59,1.55,0.0,2359017000.0,154399000.0,387580000.0,14633000.0,687867000.0,213297000.0,-302837000.0,93755000.0,1064759000.0,1267705000.0,75334000.0
BFAM,2017-09-30,False,Q3,2017,10-Q,433316000.0,44963000.0,31105000.0,0.53,0.51,0.0,2463150000.0,195786000.0,398441000.0,42265000.0,774513000.0,201211000.0,-80596000.0,-95067000.0,1059393000.0,1302549000.0,63070000.0
BFAM,2017-06-30,False,Q2,2017,10-Q,445546000.0,56806000.0,33040000.0,0.56,0.54,0.0,2418372000.0,167906000.0,397126000.0,34337000.0,722037000.0,167597000.0,-59221000.0,-89878000.0,1061639000.0,1298676000.0,42195000.0
BFAM,2018-06-30,False,Q2,2018,10-Q,489699000.0,64624000.0,40426000.0,0.7,0.68,0.0,2481754000.0,160257000.0,469224000.0,22912000.0,749022000.0,188697000.0,-89779000.0,-99763000.0,1061563000.0,1342158000.0,39155000.0
BFAM,2018-03-31,False,Q1,2018,10-Q,463657000.0,55284000.0,37298000.0,0.64,0.62,0.0,2514480000.0,196346000.0,511723000.0,20324000.0,737177000.0,105750000.0,-29483000.0,-79601000.0,1054538000.0,1335297000.0,12767000.0
BFAM,2017-12-31,False,FY,2017,10-K,1740905000.0,205439000.0,155995000.0,2.65,2.59,0.0,2468644000.0,192461000.0,460655000.0,23227000.0,749060000.0,236272000.0,-105321000.0,-123864000.0,1056761000.0,1306792000.0,88122000.0
BFAM,2018-09-30,False,Q3,2018,10-Q,471585000.0,55460000.0,33600000.0,0.58,0.57,0.0,2497414000.0,174458000.0,452517000.0,21304000.0,780213000.0,239696000.0,-114293000.0,-118247000.0,1058875000.0,1339450000.0,62549000.0
