symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BFIN,2012-06-30,False,Q2,2012,10-Q,17242000.0,,798000.0,0.04,0.04,0.0,1522194000.0,,,17679000.0,202943000.0,9365000.0,133448000.0,-42810000.0,,,1495000.0
BFIN,2018-12-31,False,FY,2018,10-K,76164000.0,,19342000.0,1.11,1.11,0.28,1585325000.0,,,13805000.0,187150000.0,20685000.0,8060000.0,-58133000.0,21049000.0,,1609000.0
BFIN,2011-09-30,False,Q3,2011,10-Q,19853000.0,,-1896000.0,-0.1,-0.1,0.0,1633826000.0,,,15270000.0,247102000.0,14600000.0,-19691000.0,-107551000.0,,22566000.0,1385000.0
BFIN,2012-03-31,False,Q1,2012,10-Q,18466000.0,,2337000.0,0.12,0.12,0.01,1549137000.0,,,24037000.0,202111000.0,4265000.0,67403000.0,-14292000.0,,,685000.0
BFIN,2011-12-31,False,FY,2011,10-K,77025000.0,,-48696000.0,-2.46,-2.46,0.22,1563575000.0,,,24247000.0,199857000.0,19979000.0,10950000.0,-131035000.0,,,2370000.0
BFIN,2012-09-30,False,Q3,2012,10-Q,16299000.0,,-5222000.0,-0.26,-0.26,0.0,1499872000.0,,,19619000.0,197997000.0,14741000.0,162123000.0,-60839000.0,,,1885000.0
BFIN,2013-03-31,False,Q1,2013,10-Q,15579000.0,,678000.0,0.03,0.03,0.0,1466135000.0,,,17742000.0,173639000.0,2267000.0,47640000.0,-14543000.0,2740000.0,,14000.0
BFIN,2012-12-31,False,FY,2012,10-K,67579000.0,,-27109000.0,-1.36,-1.36,0.03,1481192000.0,,,20361000.0,172890000.0,17013000.0,192732000.0,-54685000.0,5567000.0,3038000.0,2335000.0
BFIN,2013-09-30,False,Q3,2013,10-Q,13646000.0,,1039000.0,0.05,0.05,0.0,1441948000.0,,,18068000.0,174311000.0,9704000.0,-1486000.0,-40504000.0,2883000.0,,24000.0
BFIN,2014-03-31,False,Q1,2014,10-Q,13618000.0,,942000.0,0.05,0.05,0.0,1448542000.0,,,13869000.0,176864000.0,1452000.0,-8033000.0,-2652000.0,2668000.0,,125000.0
BFIN,2013-06-30,False,Q2,2013,10-Q,13785000.0,,76000.0,0.0,0.0,0.0,1461132000.0,,,18303000.0,173229000.0,6333000.0,53386000.0,-23390000.0,2940000.0,,25000.0
BFIN,2013-06-30,True,Q2,2013,10-Q,13785000.0,,76000.0,0.0,0.0,0.0,1461132000.0,,,18303000.0,173229000.0,6333000.0,53386000.0,-23390000.0,2940000.0,,25000.0
BFIN,2013-12-31,False,FY,2013,10-K,57526000.0,,3298000.0,0.16,0.16,0.04,1453594000.0,,,15781000.0,175627000.0,9779000.0,-91314000.0,-33272000.0,3055000.0,2433000.0,10000.0
BFIN,2014-06-30,False,Q2,2014,10-Q,14142000.0,,1404000.0,0.07,0.07,0.0,1442306000.0,,,13715000.0,178319000.0,8705000.0,-21193000.0,-14964000.0,3068000.0,,223000.0
BFIN,2011-06-30,False,Q2,2011,10-Q,20879000.0,,1026000.0,0.05,0.05,0.0,1662888000.0,,,14049000.0,250378000.0,10924000.0,-36088000.0,-81164000.0,,22566000.0,413000.0
BFIN,2015-06-30,False,Q2,2015,10-Q,13882000.0,,2224000.0,0.11,0.11,0.0,1439738000.0,,,10591000.0,211748000.0,9151000.0,38799000.0,-30105000.0,3039000.0,,282000.0
BFIN,2014-09-30,False,Q3,2014,10-Q,14116000.0,,3590000.0,0.17,0.17,0.0,1420933000.0,,,11078000.0,181276000.0,13896000.0,-42576000.0,-39352000.0,2834000.0,,362000.0
BFIN,2015-03-31,False,Q1,2015,10-Q,13747000.0,,1986000.0,0.1,0.1,0.04,1443369000.0,,,10211000.0,217546000.0,3434000.0,25814000.0,-22575000.0,3217000.0,,191000.0
BFIN,2015-09-30,False,Q3,2015,10-Q,13856000.0,,2349000.0,0.12,0.12,0.0,1431423000.0,,,8809000.0,213074000.0,12242000.0,29149000.0,-39502000.0,18048000.0,,363000.0
BFIN,2015-12-31,False,FY,2015,10-K,55653000.0,,8675000.0,0.44,0.44,0.2,1512443000.0,,,13192000.0,212364000.0,14882000.0,-53613000.0,38527000.0,64318000.0,,542000.0
BFIN,2014-12-31,False,FY,2014,10-K,56058000.0,,40614000.0,2.01,2.01,0.08,1465410000.0,,,9693000.0,216121000.0,17845000.0,-87461000.0,-31760000.0,12921000.0,1855000.0,1176000.0
BFIN,2016-03-31,False,Q1,2016,10-Q,14353000.0,,1904000.0,0.1,0.1,0.05,1511808000.0,,,10238000.0,209488000.0,5028000.0,4482000.0,-2944000.0,17621000.0,,96000.0
BFIN,2016-09-30,False,Q3,2016,10-Q,14482000.0,,2508000.0,0.13,0.13,0.0,1540273000.0,,,9499000.0,203667000.0,12852000.0,6167000.0,22134000.0,1406000.0,,660000.0
BFIN,2016-06-30,False,Q2,2016,10-Q,14118000.0,,831000.0,0.04,0.04,0.0,1499831000.0,,,11509000.0,206707000.0,8487000.0,33643000.0,-15950000.0,1469000.0,,317000.0
BFIN,2017-09-30,False,Q3,2017,10-Q,15744000.0,,3560000.0,0.2,0.2,0.0,1654269000.0,,,10620000.0,199778000.0,14778000.0,-12924000.0,27123000.0,60928000.0,,906000.0
BFIN,2016-12-31,False,FY,2016,10-K,57473000.0,,7502000.0,0.4,0.39,0.21,1620037000.0,,,13053000.0,204780000.0,18941000.0,-77021000.0,95387000.0,51069000.0,,696000.0
BFIN,2017-12-31,False,FY,2017,10-K,62587000.0,,9004000.0,0.49,0.49,0.28,1625558000.0,,,13572000.0,197634000.0,22730000.0,14405000.0,-6227000.0,60768000.0,,1133000.0
BFIN,2018-03-31,False,Q1,2018,10-Q,16287000.0,,3559000.0,0.2,0.2,0.08,1559929000.0,,,10613000.0,198352000.0,3710000.0,27949000.0,-66675000.0,60983000.0,,150000.0
BFIN,2018-06-30,False,Q2,2018,10-Q,18114000.0,,4630000.0,0.26,0.26,0.0,1567498000.0,,,11738000.0,194228000.0,9962000.0,18034000.0,-63393000.0,50901000.0,,132000.0
BFIN,2017-06-30,False,Q2,2017,10-Q,15256000.0,,2572000.0,0.14,0.14,0.0,1623418000.0,,,9835000.0,200062000.0,8408000.0,-24217000.0,731000.0,50877000.0,,507000.0
BFIN,2017-03-31,False,Q1,2017,10-Q,14906000.0,,1881000.0,0.1,0.1,0.15,1603473000.0,,,10247000.0,202021000.0,3358000.0,-7738000.0,-16838000.0,52046000.0,,179000.0
BFIN,2018-09-30,False,Q3,2018,10-Q,16943000.0,,3737000.0,0.22,0.22,0.0,1532484000.0,,,12473000.0,192083000.0,14458000.0,46688000.0,-101804000.0,21232000.0,,512000.0
