symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BIOC,2014-03-31,False,Q1,2014,10-Q,28275.0,-3527023.0,-5127871.0,-1.96,-1.96,0.0,11289508.0,10987777.0,1459650.0,10417277.0,9356778.0,-5093187.0,0.0,15441286.0,,,0.0
BIOC,2018-09-30,False,Q3,2018,10-Q,761591.0,-6007983.0,-6684154.0,-2.42,-2.42,0.0,14551892.0,11650898.0,4439087.0,8956200.0,8938408.0,-16936994.0,-145253.0,23891836.0,,,145253.0
BIOC,2014-06-30,False,Q2,2014,10-Q,19245.0,-2904013.0,-2996840.0,-0.67,-0.67,0.0,13359982.0,12988606.0,1272971.0,12460565.0,6883269.0,-7956894.0,-6297.0,20354578.0,4706038.0,,6297.0
BIOC,2014-09-30,False,Q3,2014,10-Q,10274.0,-3711629.0,-3859794.0,-0.87,-0.87,0.0,9875039.0,9321426.0,1190524.0,8819872.0,3344897.0,-11385896.0,-201835.0,20338425.0,4731541.0,,201835.0
BIOC,2016-03-31,False,Q1,2016,10-Q,221369.0,-4773620.0,-4875198.0,-0.25,-0.25,0.0,6780830.0,5861031.0,4137689.0,4572750.0,-489231.0,-3957231.0,-90337.0,-201011.0,,,90337.0
BIOC,2015-03-31,False,Q1,2015,10-Q,150002.0,-3650605.0,-3800728.0,-0.37,-0.37,0.0,20899513.0,20272832.0,2233502.0,19294706.0,13582795.0,-3329784.0,-25096.0,17285004.0,,,25096.0
BIOC,2015-09-30,False,Q3,2015,10-Q,164856.0,-4358844.0,-4496193.0,-0.24,-0.24,0.0,14196386.0,13341178.0,3390747.0,12541919.0,6928277.0,-10896102.0,-118896.0,18192335.0,,,118896.0
BIOC,2015-06-30,False,Q2,2015,10-Q,76768.0,-3890884.0,-4035105.0,-0.22,-0.22,0.0,18317659.0,17399472.0,3033146.0,16523975.0,11049961.0,-7184924.0,-72717.0,18417034.0,,,72717.0
BIOC,2015-12-31,False,FY,2015,10-K,609909.0,-16410803.0,-16949526.0,-1.02,-1.02,0.0,10586918.0,9640738.0,3340788.0,8821329.0,3692735.0,-15154841.0,-165160.0,18776748.0,49000.0,,165160.0
BIOC,2014-12-31,False,FY,2014,10-K,133415.0,-13873924.0,-15866046.0,-3.97,-3.97,0.0,6588247.0,5902631.0,1430783.0,5364582.0,-220569.0,-14605046.0,-394925.0,20295375.0,34000.0,,394925.0
BIOC,2016-12-31,False,FY,2016,10-K,3223096.0,-18025037.0,-18399322.0,-1.92,-1.92,0.0,7578326.0,5771995.0,4393552.0,4609332.0,658661.0,-15697058.0,-451403.0,11936464.0,76000.0,,482065.0
BIOC,2017-03-31,False,Q1,2017,10-Q,1683065.0,-4388593.0,-4432707.0,-0.21,-0.21,0.0,17933413.0,15789713.0,5452800.0,14042388.0,10418069.0,-3739056.0,-127223.0,13299335.0,,,127223.0
BIOC,2016-09-30,False,Q3,2016,10-Q,1047280.0,-4627919.0,-4743076.0,-0.57,-0.57,0.0,3282549.0,1761169.0,5045449.0,678855.0,-4556158.0,-11257281.0,-391196.0,3506003.0,,,392496.0
BIOC,2017-09-30,False,Q3,2017,10-Q,1111411.0,-5742964.0,-5821306.0,-0.2,-0.2,0.0,11120215.0,8200419.0,5838197.0,5879025.0,4026079.0,-13896576.0,-1055549.0,16221818.0,,,1055549.0
BIOC,2016-06-30,False,Q2,2016,10-Q,662860.0,-4532363.0,-4594174.0,-0.2,-0.2,0.0,6303153.0,4940612.0,3587962.0,3751570.0,-419402.0,-8293790.0,-323923.0,3547954.0,,,323923.0
BIOC,2017-12-31,False,FY,2017,10-K,5068663.0,-21174706.0,-21613737.0,-0.79,-0.79,0.0,7378906.0,4255339.0,4661345.0,2146611.0,1296034.0,-19650726.0,-1400180.0,18588185.0,61000.0,,1400180.0
BIOC,2017-06-30,False,Q2,2017,10-Q,1278961.0,-5476628.0,-5693151.0,-0.21,-0.21,0.0,14653193.0,12250938.0,5749416.0,10000155.0,7342257.0,-8947154.0,-527431.0,14865408.0,,,527431.0
BIOC,2018-06-30,False,Q2,2018,10-Q,822238.0,-6038862.0,-6153101.0,-2.7,-2.7,0.0,8291310.0,5398734.0,4505481.0,2569111.0,2527568.0,-11482334.0,-72356.0,11977190.0,,,72356.0
BIOC,2018-03-31,False,Q1,2018,10-Q,806943.0,-6273730.0,-6356404.0,-0.11,-0.11,0.0,14747827.0,11758240.0,4882920.0,9272420.0,8507714.0,-5576114.0,-53980.0,12755903.0,,,53980.0
