symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BK,2011-12-31,False,FY,2011,10-K,14680000000.0,,2516000000.0,2.03,2.03,0.48,325266000000.0,,,4884000000.0,34087000000.0,2211000000.0,-80178000000.0,78765000000.0,19933000000.0,17904000000.0,642000000.0
BK,2012-12-31,False,FY,2012,10-K,14479000000.0,,2427000000.0,2.04,2.03,0.52,358990000000.0,,,4182000000.0,37264000000.0,1629000000.0,-29387000000.0,28288000000.0,18530000000.0,18075000000.0,652000000.0
BK,2012-03-31,False,Q1,2012,10-Q,3635000000.0,,619000000.0,0.52,0.52,0.13,300169000000.0,,,4333000000.0,34709000000.0,114000000.0,24367000000.0,-24352000000.0,20336000000.0,18002000000.0,129000000.0
BK,2018-12-31,False,FY,2018,10-K,5993000000.0,,4097000000.0,4.06,4.04,1.04,362873000000.0,,,909000000.0,40739000000.0,5996000000.0,3299000000.0,-8098000000.0,29163000000.0,17350000000.0,1108000000.0
BK,2011-03-31,False,Q1,2011,10-Q,3602000000.0,,625000000.0,0.5,0.5,0.09,266444000000.0,,,4058000000.0,34035000000.0,426000000.0,-16480000000.0,16430000000.0,17215000000.0,18156000000.0,164000000.0
BK,2012-09-30,False,Q3,2012,10-Q,3650000000.0,,720000000.0,0.61,0.61,0.0,339944000000.0,,,4991000000.0,36999000000.0,1273000000.0,-10375000000.0,9906000000.0,19516000000.0,17984000000.0,453000000.0
BK,2011-06-30,False,Q2,2011,10-Q,3829000000.0,,735000000.0,0.59,0.59,0.0,304706000000.0,,,5560000000.0,34606000000.0,997000000.0,-52024000000.0,52900000000.0,17004000000.0,18191000000.0,367000000.0
BK,2013-06-30,False,Q2,2013,10-Q,3970000000.0,,833000000.0,0.71,0.71,0.0,360505000000.0,,,6940000000.0,36742000000.0,-959000000.0,-632000000.0,3931000000.0,18481000000.0,17919000000.0,258000000.0
BK,2013-03-31,False,Q1,2013,10-Q,3597000000.0,,-266000000.0,-0.23,-0.23,0.13,355942000000.0,,,4440000000.0,36496000000.0,-2744000000.0,7261000000.0,-4755000000.0,19854000000.0,17920000000.0,126000000.0
BK,2011-09-30,False,Q3,2011,10-Q,3681000000.0,,651000000.0,0.53,0.53,0.0,322187000000.0,,,6691000000.0,34405000000.0,-683000000.0,-69132000000.0,73125000000.0,19399000000.0,18045000000.0,580000000.0
BK,2013-12-31,False,FY,2013,10-K,14903000000.0,,2047000000.0,1.75,1.74,0.58,374310000000.0,,,6959000000.0,38304000000.0,-642000000.0,-13200000000.0,15621000000.0,19864000000.0,18073000000.0,609000000.0
BK,2014-03-31,False,Q1,2014,10-Q,3627000000.0,,661000000.0,0.57,0.57,0.15,368241000000.0,,,6092000000.0,38757000000.0,-1055000000.0,7401000000.0,-6717000000.0,20616000000.0,18100000000.0,201000000.0
BK,2012-06-30,False,Q2,2012,10-Q,3588000000.0,,466000000.0,0.39,0.39,0.0,330283000000.0,,,4522000000.0,35255000000.0,374000000.0,-5793000000.0,5781000000.0,19536000000.0,17909000000.0,276000000.0
