symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BKU,2012-03-31,False,Q1,2012,10-Q,206688.0,,50272.0,0.49,0.49,0.17,12198884.0,,,43804.0,1644933.0,-97621.0,-184064.0,290004.0,,,8462.0
BKU,2018-12-31,False,FY,2018,10-K,1581166000.0,,311819000.0,3.01,2.99,0.84,32164326000.0,,,9392000.0,2923833000.0,824252000.0,-2041531000.0,1404770000.0,394390000.0,78000000.0,190500000.0
BKU,2014-03-31,False,Q1,2014,10-Q,220752000.0,,55271000.0,0.53,0.53,0.21,15751652000.0,,,41947000.0,1979704000.0,-18640000.0,-606390000.0,635442000.0,,68898000.0,16352000.0
BKU,2015-06-30,False,Q2,2015,10-Q,233692000.0,,46637000.0,0.44,0.43,0.21,21401793000.0,,,40576000.0,2146335000.0,76248000.0,-2265015000.0,2166110000.0,,78511000.0,16025000.0
BKU,2013-06-30,False,Q2,2013,10-Q,192178000.0,,54008000.0,0.52,0.52,0.21,13233425000.0,,,47160000.0,1852709000.0,-45936000.0,-997313000.0,761448000.0,,69413000.0,12084000.0
BKU,2012-12-31,False,FY,2012,10-K,810103000.0,,207361000.0,2.05,2.05,0.72,12375953000.0,,,61088000.0,1806680000.0,-351606000.0,201000000.0,342217000.0,,67231000.0,31958000.0
BKU,2012-06-30,False,Q2,2012,10-Q,199581000.0,,48008000.0,0.48,0.48,0.17,12429961000.0,,,41691000.0,1692251000.0,-170366000.0,-420793000.0,451561000.0,,,15395000.0
BKU,2013-09-30,False,Q3,2013,10-Q,188990000.0,,54309000.0,0.52,0.52,0.21,14308014000.0,,,42360000.0,1885814000.0,-42803000.0,-1669700000.0,1742829000.0,,69240000.0,16194000.0
BKU,2015-09-30,False,Q3,2015,10-Q,255071000.0,,98287000.0,0.96,0.95,0.21,22537671000.0,,,25262000.0,2210568000.0,160156000.0,-3237803000.0,3166411000.0,,78408000.0,20421000.0
BKU,2011-06-30,False,Q1,2011,10-Q,204954502.0,,43994502.0,0.44,0.44,0.14,10846659000.0,,,34899000.0,1476673000.0,-122995000.0,174666000.0,-272686000.0,,,17803000.0
