symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BL,2018-06-30,False,Q2,2018,10-Q,255300000.0,-8831000.0,-8457000.0,-0.16,-0.16,0.0,464440000.0,192533000.0,141172000.0,28682000.0,314088000.0,6503000.0,-11274000.0,2409000.0,,185138000.0,3696000.0
BL,2016-12-31,False,FY,2016,10-K,123123000.0,-33934000.0,-39159000.0,-0.92,-0.92,0.0,420437000.0,163823000.0,108464000.0,22118000.0,291410000.0,-4808000.0,-119674000.0,131395000.0,,185138000.0,1724000.0
BL,2017-06-30,False,Q2,2017,10-Q,42293000.0,-7852000.0,-10114000.0,-0.2,-0.2,0.0,417992000.0,167548000.0,111957000.0,23507000.0,296781000.0,167000.0,-3880000.0,5102000.0,,185138000.0,1118000.0
BL,2016-09-30,False,Q3,2016,10-Q,32196000.0,-7167000.0,-6619000.0,-0.16,-0.16,0.0,331235000.0,68032000.0,97723000.0,19586000.0,152548000.0,1049000.0,-35122000.0,38454000.0,64836000.0,185052000.0,1308000.0
BL,2017-09-30,False,Q3,2017,10-Q,45871000.0,-13205000.0,-13092000.0,-0.25,-0.25,0.0,422123000.0,172743000.0,117454000.0,24645000.0,295789000.0,3674000.0,-9160000.0,8013000.0,,185138000.0,3729000.0
BL,2018-12-31,False,FY,2018,10-K,285000000.0,-29836000.0,-27804000.0,-0.52,-0.52,0.0,493868000.0,221521000.0,159229000.0,46181000.0,321569000.0,16140000.0,-15977000.0,14522000.0,,185138000.0,6284000.0
BL,2018-03-31,False,Q1,2018,10-Q,51284000.0,-7560000.0,-7155000.0,-0.13,-0.13,0.0,458515000.0,186676000.0,131547000.0,30864000.0,317561000.0,1822000.0,-4982000.0,2994000.0,,185138000.0,1634000.0
BL,2018-09-30,False,Q3,2018,10-Q,257800000.0,-5021000.0,-4460000.0,-0.08,-0.08,0.0,474694000.0,204493000.0,143344000.0,38401000.0,322433000.0,11317000.0,-13894000.0,9752000.0,,185138000.0,4588000.0
BL,2017-03-31,False,Q1,2017,10-Q,38634000.0,-8295000.0,-9010000.0,-0.18,-0.18,0.0,416235000.0,162515000.0,110343000.0,23448000.0,284346000.0,-1705000.0,3629000.0,-594000.0,,185138000.0,488000.0
BL,2017-12-31,False,FY,2017,10-K,177031000.0,-35060000.0,-38061000.0,-0.73,-0.73,0.0,440884000.0,193954000.0,137039000.0,31104000.0,294628000.0,6424000.0,-7031000.0,9593000.0,,185138000.0,4002000.0
