symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
HCACU,2014-06-30,False,Q2,2014,10-Q,,,-390000.0,-0.11,-0.11,0.0,115882000.0,878000.0,256000.0,818000.0,5000000.0,-326000.0,-115004000.0,116148000.0,,,
BLBD,2018-12-29,False,Q1,2019,10-Q,154926000.0,1837000.0,-1220000.0,-0.05,-0.05,0.0,297705000.0,124163000.0,115895000.0,18818000.0,-79711000.0,-48208000.0,-10787000.0,17553000.0,189876000.0,18825000.0,10787000.0
BLBD,2015-07-04,False,Q3,2015,10-Q,262653000.0,19258000.0,9444000.0,0.46,0.38,0.0,307622000.0,175121000.0,169721000.0,27823000.0,-133846000.0,-31638000.0,-3427000.0,1751000.0,215927000.0,18825000.0,3427000.0
HCACU,2014-09-30,False,Q3,2014,10-Q,,,-3335000.0,0.9,0.9,0.0,115533000.0,509000.0,3242000.0,477000.0,5000000.0,-671000.0,-115000000.0,116148000.0,,,
BLBD,2015-10-03,False,FY,2015,10-K,919128000.0,35834000.0,12685000.0,0.6,0.59,0.0,267903000.0,128897000.0,133415000.0,52861000.0,-121230000.0,23366000.0,-5190000.0,-26452000.0,188346000.0,18825000.0,5190000.0
BLBD,2015-04-04,False,Q2,2015,10-Q,183018000.0,-10920000.0,-11095000.0,-0.52,-0.52,0.0,261656000.0,129149000.0,133318000.0,22618000.0,-145593000.0,-41410000.0,-1832000.0,4723000.0,218264000.0,18825000.0,1832000.0
HCACU,2014-03-31,False,Q1,2014,10-Q,,,-132000.0,-0.04,-0.04,0.0,116088000.0,1088000.0,72000.0,1025000.0,5000000.0,-123000.0,,116146000.0,,,
BLBD,2016-01-02,False,Q1,2016,10-Q,131333000.0,1674000.0,-3335000.0,-0.16,-0.16,0.0,250969000.0,113524000.0,111984000.0,16632000.0,-121530000.0,-41566000.0,-1671000.0,7008000.0,184900000.0,18825000.0,1671000.0
HCACU,2014-12-31,False,FY,2014,10-K,,,-5650000.0,-1.53,-1.53,0.0,115170000.0,137000.0,4672000.0,119000.0,5000000.0,-1029000.0,,116146000.0,,,
BLBD,2017-12-30,False,Q1,2018,10-Q,162549000.0,-5270000.0,-8609000.0,-0.36,-0.36,0.0,248837000.0,113799000.0,102624000.0,23208000.0,-65316000.0,-33808000.0,-3449000.0,-2151000.0,149418000.0,18825000.0,3449000.0
BLBD,2018-03-31,False,Q2,2018,10-Q,216628000.0,2927000.0,1073000.0,0.04,0.04,0.0,277215000.0,140809000.0,138234000.0,10349000.0,-69952000.0,-33057000.0,-7021000.0,-12189000.0,147608000.0,18825000.0,7021000.0
BLBD,2016-12-31,False,Q1,2017,10-Q,136660000.0,6000.0,-9476000.0,-0.42,-0.42,0.0,257826000.0,110143000.0,110378000.0,12999000.0,-93118000.0,-32206000.0,-2956000.0,-4148000.0,156720000.0,18825000.0,2956000.0
BLBD,2016-07-02,False,Q3,2016,10-Q,323055000.0,1303000.0,-3898000.0,-0.18,-0.18,0.0,310252000.0,180255000.0,187826000.0,42702000.0,-99051000.0,21261000.0,-6511000.0,-24909000.0,154327000.0,18825000.0,6511000.0
BLBD,2017-09-30,False,FY,2017,10-K,990602000.0,54537000.0,18449000.0,0.79,0.74,0.0,295816000.0,160447000.0,138756000.0,62616000.0,-58510000.0,47641000.0,-9204000.0,-28130000.0,151224000.0,18825000.0,9252000.0
BLBD,2017-04-01,False,Q2,2017,10-Q,208651000.0,5390000.0,1731000.0,0.08,0.07,0.0,309328000.0,163042000.0,154122000.0,38432000.0,-82193000.0,-9325000.0,-5113000.0,561000.0,154858000.0,18825000.0,5159000.0
BLBD,2017-07-01,False,Q3,2017,10-Q,332604000.0,28679000.0,19058000.0,0.81,0.68,0.0,366780000.0,223167000.0,190355000.0,50311000.0,-59632000.0,5751000.0,-7146000.0,-603000.0,153028000.0,18825000.0,7193000.0
BLBD,2018-06-30,False,Q3,2018,10-Q,314186000.0,16023000.0,21709000.0,0.83,0.77,0.0,331538000.0,191831000.0,181043000.0,41924000.0,-44477000.0,7022000.0,-15560000.0,-12154000.0,145797000.0,18825000.0,15572000.0
BLBD,2018-09-29,False,FY,2018,10-K,1024976000.0,33233000.0,28924000.0,1.15,1.08,0.0,307430000.0,149843000.0,148857000.0,60260000.0,-28336000.0,48353000.0,-32104000.0,-18605000.0,142139000.0,18825000.0,32118000.0
BLBD,2016-04-02,False,Q2,2016,10-Q,191208000.0,6369000.0,441000.0,0.02,0.02,0.0,279359000.0,140693000.0,150860000.0,28615000.0,-119155000.0,-13371000.0,-3937000.0,-6938000.0,182650000.0,18825000.0,3937000.0
BLBD,2016-10-01,False,FY,2016,10-K,932010000.0,26645000.0,3022000.0,0.14,0.14,0.0,277866000.0,140146000.0,130521000.0,52309000.0,-86974000.0,25105000.0,-9583000.0,-16074000.0,152116000.0,18825000.0,9583000.0
