symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BLKB,2013-03-31,False,Q1,2013,10-Q,115623000.0,4594000.0,2666000.0,0.06,0.06,0.12,642393000.0,149404000.0,250524000.0,8449000.0,149685000.0,12940000.0,-7932000.0,-9912000.0,211000000.0,265667000.0,6292000.0
BLKB,2011-09-30,False,Q3,2011,10-Q,95531000.0,15683000.0,9761000.0,0.22,0.22,0.12,371362000.0,171717000.0,216508000.0,51999000.0,145008000.0,67719000.0,-28598000.0,-14440000.0,,89255000.0,12997000.0
BLKB,2012-09-30,False,Q3,2012,10-Q,122472000.0,6185000.0,2825000.0,0.06,0.06,0.12,665648000.0,176148000.0,262994000.0,25582000.0,147659000.0,39669000.0,-296686000.0,229498000.0,245000000.0,263172000.0,15427000.0
BLKB,2012-12-31,False,FY,2012,10-K,447419000.0,19435000.0,6583000.0,0.15,0.15,0.48,705747000.0,213748000.0,311695000.0,13491000.0,147684000.0,68691000.0,-302489000.0,194556000.0,215500000.0,265055000.0,20557000.0
BLKB,2011-12-31,False,FY,2011,10-K,370868000.0,50928000.0,33220000.0,0.76,0.75,0.48,392590000.0,187948000.0,240041000.0,52520000.0,140002000.0,85527000.0,-41738000.0,-19263000.0,,90122000.0,18215000.0
BLKB,2012-03-31,False,Q1,2012,10-Q,94706000.0,5252000.0,2759000.0,0.06,0.06,0.12,369190000.0,164305000.0,213633000.0,45967000.0,143757000.0,3985000.0,-6297000.0,-4580000.0,,90216000.0,6297000.0
BLKB,2012-06-30,False,Q2,2012,10-Q,110190000.0,-1877000.0,-2271000.0,-0.05,-0.05,0.12,668429000.0,174902000.0,413490000.0,21192000.0,146677000.0,10949000.0,-291898000.0,249654000.0,259600000.0,262568000.0,11568000.0
BLKB,2014-03-31,False,Q1,2014,10-Q,127622000.0,9277000.0,3814000.0,0.08,0.08,0.12,651749000.0,181495000.0,267308000.0,32550000.0,164436000.0,13264000.0,-7407000.0,14699000.0,175000000.0,264819000.0,6119000.0
BLKB,2013-12-31,False,FY,2013,10-K,503817000.0,51542000.0,30472000.0,0.68,0.67,0.48,706610000.0,229769000.0,356682000.0,11889000.0,161544000.0,107244000.0,-24159000.0,-84288000.0,152908000.0,264599000.0,20086000.0
BLKB,2014-06-30,False,Q2,2014,10-Q,139388000.0,15996000.0,9280000.0,0.21,0.2,0.12,688258000.0,192123000.0,293006000.0,24847000.0,172978000.0,45104000.0,-42016000.0,9607000.0,173906000.0,277200000.0,5423000.0
BLKB,2013-09-30,False,Q3,2013,10-Q,127854000.0,18008000.0,9393000.0,0.21,0.21,0.12,649949000.0,168764000.0,287664000.0,16679000.0,156672000.0,77970000.0,-16654000.0,-57923000.0,173700000.0,264639000.0,13407000.0
BLKB,2013-06-30,False,Q2,2013,10-Q,125468000.0,14318000.0,6623000.0,0.15,0.15,0.12,653177000.0,165281000.0,272007000.0,7300000.0,153389000.0,37472000.0,-12587000.0,-30738000.0,195500000.0,264454000.0,10068000.0
BLKB,2012-12-31,False,FY,2012,10-K,447419000.0,19435000.0,6583000.0,0.15,0.15,0.48,705747000.0,213748000.0,311695000.0,13491000.0,147684000.0,68691000.0,-302489000.0,194556000.0,215500000.0,265055000.0,20557000.0
BLKB,2010-06-30,False,Q2,2010,10-Q,80671000.0,11155000.0,6790000.0,0.16,0.15,0.11,298120000.0,105617000.0,182021000.0,13264000.0,107290000.0,24686000.0,-9281000.0,-24544000.0,,73544000.0,6761000.0
BLKB,2010-12-31,False,FY,2010,10-K,327094000.0,46297000.0,29805000.0,0.69,0.68,0.44,328091000.0,143148000.0,195713000.0,27974000.0,123059000.0,55908000.0,-18224000.0,-32748000.0,,76247000.0,10760000.0
BLKB,2010-09-30,False,Q3,2010,10-Q,83226000.0,13126000.0,8519000.0,0.2,0.2,0.11,315383000.0,126843000.0,192048000.0,26253000.0,114646000.0,48863000.0,-13117000.0,-32369000.0,,73804000.0,10597000.0
BLKB,2011-03-31,False,Q1,2011,10-Q,87274000.0,10288000.0,7584000.0,0.17,0.17,0.12,322322000.0,121263000.0,183735000.0,24126000.0,129173000.0,17512000.0,-16948000.0,-4841000.0,,88935000.0,1073000.0
BLKB,2011-06-30,False,Q2,2011,10-Q,93402000.0,13774000.0,8928000.0,0.21,0.2,0.12,349599000.0,147786000.0,198905000.0,33397000.0,137496000.0,37846000.0,-23459000.0,-9327000.0,,89450000.0,7703000.0
BLKB,2014-12-31,False,FY,2014,10-K,564421000.0,46364000.0,28290000.0,0.63,0.62,0.48,943183000.0,287782000.0,421004000.0,14735000.0,185916000.0,102277000.0,-211364000.0,112044000.0,282419000.0,349008000.0,13911000.0
BLKB,2014-09-30,False,Q3,2014,10-Q,144598000.0,13502000.0,10380000.0,0.23,0.23,0.12,702984000.0,210836000.0,306050000.0,53960000.0,184136000.0,85492000.0,-47879000.0,4734000.0,172813000.0,274065000.0,8317000.0
BLKB,2015-09-30,False,Q3,2015,10-Q,158811000.0,13968000.0,7911000.0,0.17,0.17,0.12,844164000.0,209332000.0,353709000.0,17555000.0,203968000.0,85291000.0,-26469000.0,-54780000.0,243437000.0,345770000.0,14560000.0
BLKB,2016-06-30,False,Q2,2016,10-Q,180191000.0,14197000.0,7813000.0,0.17,0.17,0.12,1185084000.0,371843000.0,522414000.0,15263000.0,221668000.0,37987000.0,-24207000.0,-13852000.0,405056000.0,436012000.0,12569000.0
BLKB,2015-06-30,False,Q2,2015,10-Q,156259000.0,14461000.0,7042000.0,0.15,0.15,0.12,855360000.0,215339000.0,353963000.0,13227000.0,195255000.0,47564000.0,-14517000.0,-33571000.0,259131000.0,345873000.0,7014000.0
