symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BLL,2011-10-02,False,Q3,2011,10-Q,2258300000.0,228600000.0,132100000.0,0.81,0.79,0.07,7538400000.0,2573900000.0,1785600000.0,190100000.0,1568000000.0,441000000.0,-626300000.0,216300000.0,3041100000.0,2283100000.0,323800000.0
BLL,2011-04-03,False,Q1,2011,10-Q,2011200000.0,194000000.0,91300000.0,0.54,0.53,0.0,7783000000.0,2714400000.0,1683400000.0,193100000.0,1682300000.0,-74400000.0,-384200000.0,498000000.0,,2320200000.0,95000000.0
BLL,2011-07-03,False,Q2,2011,10-Q,2309700000.0,254100000.0,143100000.0,0.86,0.84,0.07,7850400000.0,2724600000.0,1751800000.0,144800000.0,1734800000.0,161200000.0,-509300000.0,339700000.0,3185200000.0,2372000000.0,213500000.0
BLL,2010-06-27,False,Q2,2010,10-Q,2007500000.0,222100000.0,69000000.0,0.75,0.74,0.0,6618300000.0,2549900000.0,1880800000.0,75000000.0,1446400000.0,30700000.0,-175900000.0,12000000.0,,1887600000.0,69100000.0
BLL,2010-09-26,False,Q3,2010,10-Q,2035000000.0,233100000.0,227500000.0,2.54,2.5,0.0,6979100000.0,2358100000.0,1935300000.0,168700000.0,1740400000.0,371400000.0,5800000.0,-416600000.0,,2111500000.0,131100000.0
BLL,2012-04-01,False,Q1,2012,10-Q,2042700000.0,182000000.0,88300000.0,0.56,0.55,0.1,7559400000.0,2516800000.0,1812500000.0,106800000.0,1348700000.0,-218300000.0,-86700000.0,251500000.0,3275600000.0,2281000000.0,76000000.0
BLL,2018-12-31,False,FY,2018,10-K,11635000000.0,935000000.0,454000000.0,1.32,1.29,0.4,16554000000.0,3940000000.0,4095000000.0,721000000.0,3562000000.0,1566000000.0,-206000000.0,-1040000000.0,6518000000.0,4475000000.0,816000000.0
BLL,2012-07-01,False,Q2,2012,10-Q,2296300000.0,237600000.0,139500000.0,0.9,0.88,0.1,7439500000.0,2511700000.0,1888500000.0,123500000.0,1341400000.0,74700000.0,-154700000.0,34500000.0,3073900000.0,2222300000.0,138500000.0
BLL,2011-12-31,False,FY,2011,10-K,8630900000.0,836900000.0,444000000.0,2.69,2.63,0.28,7284600000.0,2321900000.0,1856100000.0,165800000.0,1378000000.0,948400000.0,-738000000.0,-216800000.0,2764500000.0,2247100000.0,443800000.0
BLL,2013-03-31,False,Q1,2013,10-Q,1991000000.0,143000000.0,72000000.0,0.48,0.47,0.13,7776000000.0,2622700000.0,1742900000.0,208000000.0,1257500000.0,-324600000.0,-109300000.0,469000000.0,3489100000.0,2319500000.0,88700000.0
