symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BMRA,2013-08-31,False,Q1,2014,10-Q,1013739.0,-173768.0,-167714.0,-0.02,-0.02,0.0,6205334.0,5105306.0,536504.0,2085463.0,5668830.0,-376271.0,-8731.0,760.0,,,8731.0
BMRA,2013-02-28,False,Q3,2013,10-Q,1416698.0,-63333.0,-35614.0,-0.01,-0.01,0.0,6110531.0,4938473.0,584100.0,2318677.0,5526431.0,1496040.0,-249410.0,-2586.0,,,249410.0
BMRA,2018-11-30,False,Q2,2019,10-Q,1500791.0,-485937.0,-477244.0,-0.05,-0.05,0.0,5428762.0,4687511.0,1016750.0,1124914.0,4412012.0,-1001068.0,-85017.0,1011902.0,,,53080.0
BMRA,2013-11-30,False,Q2,2014,10-Q,934841.0,-247502.0,-243357.0,-0.03,-0.03,0.0,5827160.0,4699125.0,400592.0,1647559.0,5426568.0,-740148.0,-83855.0,1780.0,,,83855.0
BMRA,2014-02-28,False,Q3,2014,10-Q,1492719.0,32617.0,26544.0,0.0,0.0,0.0,6271078.0,5060805.0,543452.0,1665690.0,5727626.0,-852902.0,-117365.0,167275.0,,,117365.0
BMRA,2014-05-31,False,FY,2014,10-K,5120451.0,-446594.0,-215660.0,-0.03,-0.03,0.0,6470313.0,4913174.0,555844.0,1509125.0,5914469.0,-862273.0,-282530.0,185275.0,0.0,,137234.0
BMRA,2012-05-31,False,FY,2012,10-K,6081131.0,504999.0,548435.0,0.08,0.08,0.0,5570922.0,4486630.0,592288.0,1077342.0,4978634.0,147412.0,-113170.0,55400.0,500.0,,164798.0
BMRA,2011-11-30,False,Q2,2012,10-Q,1616606.0,194086.0,195092.0,0.03,0.03,0.0,5074782.0,4013565.0,422126.0,965968.0,4652656.0,76290.0,-74321.0,-23648.0,,,49321.0
BMRA,2014-08-31,False,Q1,2015,10-Q,1034450.0,-224111.0,-219268.0,-0.03,-0.03,0.0,6047179.0,4537566.0,348725.0,1646978.0,5698454.0,143641.0,-1775.0,-3079.0,,,3675.0
BMRA,2013-05-31,False,FY,2013,10-K,6472960.0,514008.0,536957.0,0.08,0.07,0.0,6394887.0,5253355.0,559893.0,2469796.0,5834994.0,1394037.0,-257121.0,258514.0,,,257121.0
BMRA,2012-11-30,False,Q2,2013,10-Q,1883771.0,247502.0,236919.0,0.03,0.03,0.0,6058310.0,4842424.0,545681.0,1194369.0,5512629.0,396998.0,-242416.0,-37001.0,,,242416.0
BMRA,2014-11-30,False,Q2,2015,10-Q,1133600.0,-249865.0,-238028.0,-0.03,-0.03,0.0,5927785.0,4466546.0,466991.0,1674048.0,5460794.0,183996.0,-20890.0,3495.0,,,14136.0
BMRA,2015-02-28,False,Q3,2015,10-Q,1299400.0,-135537.0,-117193.0,-0.02,-0.02,0.0,5831787.0,4430974.0,483370.0,1171689.0,5348417.0,-318913.0,-20891.0,4355.0,,,8656.0
