symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BOLD,2017-09-30,False,Q3,2017,10-Q,,-25210000.0,-25009000.0,-0.88,-0.88,0.0,200247000.0,160532000.0,13336000.0,53531000.0,175322000.0,-61617000.0,-38877000.0,117666000.0,,3631000.0,5031000.0
BOLD,2016-09-30,False,Q3,2016,10-Q,,-15473000.0,-15369000.0,-0.94,-0.94,0.0,158750000.0,125268000.0,10144000.0,87067000.0,138361000.0,-36471000.0,-23870000.0,75350000.0,,3631000.0,14357000.0
BOLD,2018-12-31,False,FY,2018,10-K,,-134372000.0,-128821000.0,-3.4,-3.4,0.0,472555000.0,419772000.0,23852000.0,144349000.0,442754000.0,-107978000.0,-185048000.0,398462000.0,,3631000.0,11609000.0
BOLD,2017-06-30,False,Q2,2017,10-Q,,-22841000.0,-22739000.0,-0.87,-0.87,0.0,188592000.0,149391000.0,14855000.0,54574000.0,162054000.0,-38641000.0,-24083000.0,80939000.0,0.0,3631000.0,2217000.0
BOLD,2018-03-31,False,Q1,2018,10-Q,,-26410000.0,-25571000.0,-0.74,-0.74,0.0,373089000.0,329373000.0,16119000.0,230864000.0,352442000.0,-24592000.0,-1440000.0,217929000.0,60000.0,3631000.0,921000.0
BOLD,2016-06-30,False,Q2,2016,10-Q,,-14202000.0,-14158000.0,-6.43,-6.43,0.0,100525000.0,69275000.0,12508000.0,12456000.0,77879000.0,-26468000.0,-33227000.0,93000.0,,3631000.0,8845000.0
BOLD,2017-03-31,False,Q1,2017,10-Q,,-18245000.0,-18115000.0,-0.83,-0.83,0.0,121739000.0,85906000.0,8703000.0,18764000.0,102528000.0,-22557000.0,4828000.0,134000.0,,3631000.0,752000.0
BOLD,2018-06-30,False,Q2,2018,10-Q,,-32629000.0,-31367000.0,-0.85,-0.85,0.0,366051000.0,319431000.0,16767000.0,214495000.0,340964000.0,-47944000.0,-10288000.0,233670000.0,55000.0,3631000.0,5370000.0
BOLD,2018-09-30,False,Q3,2018,10-Q,,-37735000.0,-36291000.0,-0.97,-0.97,0.0,337773000.0,285328000.0,19246000.0,104339000.0,310555000.0,-79495000.0,-90146000.0,234923000.0,52000.0,3631000.0,8074000.0
BOLD,2017-12-31,False,FY,2017,10-K,,-93177000.0,-90238000.0,-3.4,-3.4,0.0,178662000.0,137010000.0,17712000.0,38967000.0,156598000.0,-84509000.0,-33436000.0,120553000.0,60000.0,3631000.0,7551000.0
BOLD,2016-12-31,False,FY,2016,10-K,,-60046000.0,-59668000.0,-5.59,-5.59,0.0,142057000.0,108437000.0,12560000.0,36359000.0,119371000.0,-49016000.0,-62048000.0,75365000.0,,3631000.0,16651000.0
