symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BOOM,2012-03-31,False,Q1,2012,10-Q,50212000.0,4138000.0,2428000.0,0.18,0.18,0.04,230037000.0,96857000.0,29829000.0,7533000.0,152712000.0,6733000.0,-12811000.0,8173000.0,,38399000.0,2633000.0
BOOM,2011-09-30,False,Q3,2011,10-Q,54890000.0,5666000.0,4273000.0,0.32,0.32,0.04,218591000.0,92169000.0,45239000.0,4116000.0,147026000.0,2258000.0,-4344000.0,1569000.0,,39546000.0,4364000.0
BOOM,2018-12-31,False,FY,2018,10-K,326429000.0,37424000.0,29780000.0,2.05,2.04,0.08,240418000.0,132216000.0,64565000.0,13375000.0,134286000.0,27638000.0,-45095000.0,21858000.0,41355000.0,,45095000.0
BOOM,2011-12-31,False,FY,2011,10-K,208891000.0,18219000.0,12491000.0,0.94,0.93,0.16,213426000.0,91189000.0,29310000.0,5276000.0,146043000.0,9726000.0,-7731000.0,-1395000.0,,37507000.0,7726000.0
BOOM,2011-06-30,False,Q2,2011,10-Q,54165000.0,5897000.0,3868000.0,0.29,0.29,0.04,230864000.0,97467000.0,53382000.0,7613000.0,149669000.0,755000.0,-2250000.0,4211000.0,,42020000.0,2286000.0
BOOM,2012-09-30,False,Q3,2012,10-Q,50149000.0,5150000.0,3754000.0,0.28,0.28,0.04,235833000.0,104915000.0,25556000.0,11381000.0,155994000.0,12477000.0,-20668000.0,14356000.0,137000.0,36637000.0,10526000.0
BOOM,2012-06-30,False,Q2,2012,10-Q,48687000.0,3650000.0,2653000.0,0.2,0.2,0.04,222037000.0,95337000.0,27144000.0,5215000.0,148819000.0,8075000.0,-15763000.0,7759000.0,148000.0,36056000.0,5595000.0
BOOM,2013-09-30,False,Q3,2013,10-Q,54268000.0,5460000.0,3562000.0,0.26,0.26,0.04,229554000.0,89850000.0,22642000.0,9578000.0,171173000.0,30734000.0,-13821000.0,-15707000.0,70000.0,37553000.0,14030000.0
BOOM,2013-06-30,False,Q2,2013,10-Q,57859000.0,6013000.0,3440000.0,0.25,0.25,0.04,232343000.0,96904000.0,30022000.0,2323000.0,163360000.0,15398000.0,-9534000.0,-11629000.0,83000.0,36447000.0,9726000.0
BOOM,2013-03-31,False,Q1,2013,10-Q,46270000.0,-1055000.0,215000.0,0.02,0.02,0.04,229007000.0,95554000.0,21361000.0,8174000.0,159157000.0,6290000.0,-4408000.0,-1661000.0,101000.0,36125000.0,4453000.0
BOOM,2013-12-31,False,FY,2013,10-K,209573000.0,11697000.0,7495000.0,0.55,0.54,0.16,240612000.0,98764000.0,31192000.0,10617000.0,172792000.0,32052000.0,-18239000.0,-11587000.0,51000.0,37970000.0,17565000.0
BOOM,2012-12-31,False,FY,2012,10-K,201567000.0,17403000.0,11696000.0,0.87,0.87,0.16,235431000.0,100666000.0,24378000.0,8200000.0,162556000.0,19970000.0,-25555000.0,8517000.0,120000.0,37431000.0,15647000.0
BOOM,2014-06-30,False,Q2,2014,10-Q,53618000.0,3991000.0,2887000.0,0.21,0.21,0.04,241948000.0,104175000.0,23908000.0,8692000.0,176646000.0,691000.0,-4267000.0,1740000.0,20000.0,37161000.0,4215000.0
