symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BIOS,2015-03-31,False,Q1,2015,10-Q,,-3051792.0,-3132301.0,-0.26,-0.26,0.0,2256940.0,2219096.0,6763935.0,2059328.0,-6967995.0,-1219982.0,-2684.0,3042213.0,,,2684.0
BIOS,2015-12-31,False,FY,2015,10-K,,-12044030.0,-9812974.0,-0.7,-0.7,0.0,1030562.0,984542.0,2470193.0,953234.0,-2910631.0,-4523751.0,-18475.0,5255679.0,,,15863.0
BIOS,2015-09-30,False,Q3,2015,10-Q,2713.0,-2474088.0,324619.0,0.02,0.02,0.0,577456.0,535801.0,2717410.0,334559.0,-3997954.0,-3431733.0,-11583.0,3538094.0,,,8971.0
BSGM,2018-09-30,False,Q3,2018,10-Q,,-3152872.0,-3345362.0,-0.22,-0.22,0.0,7747790.0,7425807.0,720361.0,7279520.0,6552429.0,-7286321.0,-250370.0,13268632.0,,,21674.0
BIOS,2014-06-30,False,Q2,2014,10-Q,,,-870441.0,-0.1,-0.1,0.0,105291.0,63994.0,883444.0,42188.0,-3544399.0,-962384.0,0.0,702385.0,,,0.0
BIOS,2017-06-30,False,Q2,2017,10-Q,,-3018372.0,-3101425.0,-0.12,-0.12,0.0,1099825.0,1055681.0,4269030.0,880659.0,-4174205.0,-3452958.0,-1620.0,3279342.0,,,1620.0
BIOS,2017-09-30,False,Q3,2017,10-Q,,-1914288.0,-1822856.0,-0.07,-0.07,0.0,423106.0,384767.0,4224084.0,234285.0,-4785978.0,-5215666.0,-6788.0,4400844.0,,,6788.0
BIOS,2016-03-31,False,Q1,2016,10-Q,,-2314482.0,-2615151.0,-0.15,-0.15,0.0,192016.0,148904.0,2758293.0,137613.0,-3962277.0,-1167621.0,0.0,352000.0,,,0.0
BIOS,2015-06-30,False,Q2,2015,10-Q,2612.0,-4430059.0,-4873457.0,-0.35,-0.35,0.0,1391043.0,1346781.0,5692434.0,1197239.0,-6359391.0,-2569053.0,-11583.0,3538094.0,,,8971.0
BIOS,2014-12-31,False,FY,2014,10-K,,-7868245.0,-8773399.0,-0.91,-0.91,0.0,353338.0,315318.0,1225400.0,239781.0,-3583062.0,-1997072.0,-3963.0,1938629.0,,,3963.0
BIOS,2014-09-30,False,Q3,2014,10-Q,,-3944387.0,-4023090.0,-0.39,-0.39,0.0,410944.0,369577.0,837138.0,268877.0,-3207194.0,-1535858.0,-3963.0,1506511.0,,,3963.0
BIOS,2016-12-31,False,FY,2016,10-K,,-11164280.0,-11697210.0,-0.6,-0.6,0.0,1241958.0,1190158.0,2959162.0,1055895.0,-2787204.0,-5107452.0,-16255.0,5226368.0,,,16255.0
BIOS,2016-06-30,False,Q2,2016,10-Q,,-5535916.0,-6120845.0,-0.32,-0.32,0.0,893218.0,846884.0,3221035.0,705341.0,-3417817.0,-2766125.0,-5555.0,2523787.0,,,5555.0
BIOS,2018-03-31,False,Q1,2018,10-Q,,-2637119.0,-2942080.0,-0.09,-0.09,0.0,1196145.0,1154211.0,821447.0,1035100.0,-590302.0,-2387274.0,-3644.0,1878439.0,,,3644.0
BSGM,2016-09-30,False,Q3,2016,10-Q,,-1554936.0,-1561891.0,-0.08,-0.08,0.0,335288.0,284984.0,3383446.0,150454.0,-4138158.0,-3844553.0,-12095.0,3053868.0,,,12095.0
BIOS,2017-03-31,False,Q1,2017,10-Q,,-2899014.0,-3296370.0,-0.14,-0.14,0.0,1456254.0,1405903.0,3565463.0,1244126.0,-3179209.0,-1609841.0,-1620.0,1799692.0,,,1620.0
BIOS,2016-12-31,True,FY,2016,10-K,,-11164280.0,-11697210.0,-0.6,-0.6,0.0,1241958.0,1190158.0,2959162.0,1055895.0,-2787204.0,-5107452.0,-16255.0,5226368.0,,,16255.0
BIOS,2017-12-31,False,FY,2017,10-K,,-12906283.0,-12815620.0,-0.5,-0.5,0.0,1700317.0,1664517.0,3965161.0,1547579.0,-3249844.0,-7470054.0,-9436.0,7971174.0,,,9436.0
BSGM,2018-06-30,False,Q2,2018,10-Q,,-5766986.0,-6047590.0,-0.18,-0.18,0.0,4177788.0,3839249.0,525232.0,3673137.0,3077556.0,-4797308.0,-266444.0,7189310.0,,,8211.0
