symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BTU,2010-12-31,False,FY,2010,10-K,6860000000.0,1325700000.0,768400000.0,2.88,2.85,0.295,11363100000.0,2958200000.0,1513700000.0,1295200000.0,4689300000.0,1087100000.0,-703600000.0,-77100000.0,2750000000.0,,557000000.0
BTU,2012-03-31,False,Q1,2012,10-Q,145200000.0,350200000.0,171500000.0,0.63,0.63,0.085,16937100000.0,3029700000.0,1632000000.0,952400000.0,5812800000.0,395500000.0,-203100000.0,-39100000.0,6653000000.0,,235300000.0
BTU,2018-12-31,False,FY,2018,10-K,5581800000.0,661600000.0,536200000.0,4.5,4.43,0.485,7423700000.0,1955600000.0,1058500000.0,981900000.0,3451600000.0,1489700000.0,-517300000.0,-1025200000.0,500000000.0,,301000000.0
BTU,2011-03-31,False,Q1,2011,10-Q,1744900000.0,294300000.0,175600000.0,0.66,0.65,0.085,11523900000.0,3046200000.0,1644700000.0,1273200000.0,4891800000.0,220600000.0,-211200000.0,-31400000.0,2941800000.0,,107200000.0
BTU,2011-09-30,False,Q3,2011,10-Q,2035900000.0,375700000.0,272500000.0,1.01,1.0,0.085,11691600000.0,3005000000.0,1441300000.0,1401600000.0,5322500000.0,1190500000.0,-756800000.0,-327300000.0,2502400000.0,,616200000.0
BTU,2013-09-30,False,Q3,2013,10-Q,1797600000.0,112200000.0,-26300000.0,-0.1,-0.1,0.085,14890900000.0,2287800000.0,1659500000.0,551300000.0,4534900000.0,544000000.0,-260100000.0,-291400000.0,6007500000.0,,228700000.0
BTU,2012-09-30,False,Q3,2012,10-Q,2058800000.0,266500000.0,42700000.0,0.16,0.16,0.085,16850400000.0,2654700000.0,1789800000.0,648000000.0,5977000000.0,1291500000.0,-921800000.0,-520800000.0,6363100000.0,,732100000.0
BTU,2011-06-30,False,Q2,2011,10-Q,2008000000.0,458400000.0,283100000.0,1.05,1.05,0.085,11745600000.0,3110400000.0,1485500000.0,1176900000.0,5245300000.0,615600000.0,-439800000.0,-294100000.0,2512000000.0,,354800000.0
BTU,2012-06-30,False,Q2,2012,10-Q,1998200000.0,277900000.0,203200000.0,0.75,0.75,0.085,16693900000.0,2574500000.0,1739900000.0,489200000.0,5869400000.0,675500000.0,-515900000.0,-469500000.0,6385400000.0,,427600000.0
BTU,2013-03-31,False,Q1,2013,10-Q,1748000000.0,88800000.0,-23400000.0,-0.09,-0.09,0.085,15471900000.0,2452100000.0,1660200000.0,629500000.0,4904000000.0,271700000.0,-68300000.0,-132700000.0,6145700000.0,,74000000.0
