symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
BVSN,2011-06-30,False,Q2,2011,10-Q,3992000.0,-1972000.0,-1542000.0,-0.34,-0.34,0.0,64761000.0,64428000.0,10269000.0,35276000.0,53052000.0,-2007000.0,4036000.0,189000.0,,,12000.0
BVSN,2018-09-30,False,Q3,2018,10-Q,964000.0,-1655000.0,-1716000.0,-0.34,-0.34,0.0,5874000.0,5638000.0,2320000.0,4349000.0,2961000.0,-5325000.0,999000.0,9000.0,,,1000.0
BVSN,2011-12-31,False,FY,2011,10-K,17554000.0,-5550000.0,-5389000.0,-1.2,-1.2,0.0,61002000.0,60715000.0,10296000.0,45405000.0,49770000.0,-6602000.0,18815000.0,350000.0,,,33000.0
BVSN,2011-09-30,False,Q3,2011,10-Q,4247000.0,-1095000.0,-1641000.0,-0.36,-0.36,0.0,61420000.0,61107000.0,8890000.0,37809000.0,51389000.0,-4160000.0,8854000.0,262000.0,,,25000.0
BVSN,2013-06-30,False,Q2,2013,10-Q,4080000.0,-1387000.0,-1092000.0,-0.23,-0.23,0.0,53213000.0,52726000.0,7441000.0,41376000.0,44844000.0,-2935000.0,20352000.0,210000.0,,,50000.0
BVSN,2013-03-31,False,Q1,2013,10-Q,3843000.0,-1604000.0,-2148000.0,-0.46,-0.46,0.0,55423000.0,54939000.0,8680000.0,27855000.0,45775000.0,-1017000.0,4928000.0,112000.0,,,9000.0
BVSN,2012-03-31,False,Q1,2012,10-Q,3821000.0,-1694000.0,-1347000.0,-0.29,-0.29,0.0,61093000.0,60795000.0,9620000.0,38640000.0,50533000.0,-1102000.0,-7637000.0,1813000.0,,,41000.0
BVSN,2012-12-31,False,FY,2012,10-K,15126000.0,-6175000.0,-5052000.0,-1.09,-1.09,0.0,57886000.0,57374000.0,9042000.0,23789000.0,47657000.0,-5006000.0,-18937000.0,2167000.0,,,281000.0
BVSN,2012-06-30,False,Q2,2012,10-Q,3603000.0,-1778000.0,-2493000.0,-0.54,-0.54,0.0,57768000.0,57208000.0,8471000.0,11153000.0,48201000.0,-4264000.0,-32013000.0,1969000.0,,,248000.0
BVSN,2012-09-30,False,Q3,2012,10-Q,3628000.0,-1298000.0,-66000.0,-0.01,-0.01,0.0,56860000.0,56313000.0,7180000.0,17147000.0,48520000.0,-5119000.0,-25319000.0,2070000.0,,,268000.0
BVSN,2013-09-30,False,Q3,2013,10-Q,3964000.0,-1331000.0,-848000.0,-0.18,-0.18,0.0,51975000.0,51514000.0,6731000.0,39010000.0,44360000.0,-4862000.0,19737000.0,387000.0,,,58000.0
BVSN,2013-12-31,False,FY,2013,10-K,15599000.0,-5777000.0,-5422000.0,-1.15,-1.15,0.0,51609000.0,51171000.0,7417000.0,36865000.0,43414000.0,-6292000.0,18886000.0,484000.0,,,70000.0
BVSN,2014-03-31,False,Q1,2014,10-Q,2994000.0,-2376000.0,-2339000.0,-0.49,-0.49,0.0,50371000.0,49951000.0,7894000.0,34851000.0,41671000.0,-856000.0,-1503000.0,323000.0,,,7000.0
BVSN,2014-06-30,False,Q2,2014,10-Q,3160000.0,-2222000.0,-2333000.0,-0.49,-0.49,0.0,47578000.0,47170000.0,7107000.0,31482000.0,39690000.0,-2902000.0,-2945000.0,430000.0,,,14000.0
BVSN,2014-09-30,False,Q3,2014,10-Q,3125000.0,-2061000.0,-3253000.0,-0.68,-0.68,0.0,43462000.0,43085000.0,5782000.0,27414000.0,36854000.0,-7357000.0,-2688000.0,514000.0,,,20000.0
BVSN,2015-03-31,False,Q1,2015,10-Q,2496000.0,-2152000.0,-3555000.0,-0.74,-0.74,0.0,39928000.0,39604000.0,6141000.0,25078000.0,32597000.0,-1045000.0,932000.0,75000.0,,,3000.0
BVSN,2015-06-30,False,Q2,2015,10-Q,2187000.0,-2638000.0,-2496000.0,-0.51,-0.51,0.0,37747000.0,37448000.0,6086000.0,15291000.0,30478000.0,-2149000.0,-7836000.0,149000.0,,,3000.0
BVSN,2014-12-31,False,FY,2014,10-K,13585000.0,-7397000.0,-9481000.0,-1.98,-1.98,0.0,41826000.0,41484000.0,5439000.0,24941000.0,35613000.0,-9978000.0,-2626000.0,557000.0,,,24000.0
BVSN,2016-03-31,False,Q1,2016,10-Q,2009000.0,-2680000.0,-2051000.0,-0.42,-0.42,0.0,29697000.0,29475000.0,5295000.0,7415000.0,23564000.0,-1748000.0,-341000.0,55000.0,,,2000.0
BVSN,2015-09-30,False,Q3,2015,10-Q,2082000.0,-2463000.0,-2067000.0,-0.42,-0.42,0.0,34821000.0,34531000.0,5213000.0,12069000.0,28548000.0,-5012000.0,-8045000.0,220000.0,,,12000.0
BVSN,2016-06-30,False,Q2,2016,10-Q,1922000.0,-2695000.0,-2603000.0,-0.53,-0.53,0.0,27231000.0,27005000.0,5216000.0,14996000.0,21193000.0,-4067000.0,9538000.0,124000.0,,,9000.0
BVSN,2016-09-30,False,Q3,2016,10-Q,1951000.0,-2487000.0,-2442000.0,-0.5,-0.5,0.0,24171000.0,23952000.0,4418000.0,8841000.0,18970000.0,-7221000.0,6544000.0,168000.0,,,12000.0
