symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CAP,2012-03-31,False,Q1,2012,10-Q,39407000.0,22892000.0,14391000.0,0.75,0.73,0.0,1014740000.0,111654000.0,71863000.0,47593000.0,264273000.0,25164000.0,-43068000.0,51662000.0,,,1000.0
CAP,2013-03-31,False,Q1,2013,10-Q,50959000.0,27848000.0,16067000.0,0.73,0.71,0.0,1535680000.0,109311000.0,156991000.0,26768000.0,363029000.0,24932000.0,-92690000.0,78505000.0,970949000.0,,52000.0
CAP,2011-09-30,False,Q3,2011,10-Q,32962000.0,21688000.0,13622000.0,0.71,0.7,0.0,900649000.0,71712000.0,119134000.0,13149000.0,236862000.0,51753000.0,-333623000.0,280392000.0,,,107000.0
CAP,2012-09-30,False,Q3,2012,10-Q,44939000.0,26046000.0,16528000.0,0.86,0.84,0.0,1285858000.0,89281000.0,143388000.0,15211000.0,277195000.0,76018000.0,-305429000.0,230436000.0,825687000.0,,247000.0
CAP,2012-06-30,False,Q2,2012,10-Q,39725000.0,24362000.0,15135000.0,0.78,0.77,0.0,1171957000.0,88445000.0,147613000.0,23151000.0,278911000.0,50172000.0,-165243000.0,124142000.0,,,107000.0
CAI,2018-12-31,False,FY,2018,10-K,432098000.0,160505000.0,73472000.0,3.76,3.71,0.0,3012617000.0,220021000.0,425533000.0,25211000.0,701132000.0,179770000.0,-663343000.0,512350000.0,334913000.0,15794000.0,823000.0
CAP,2011-12-31,False,FY,2011,10-K,125706000.0,78025000.0,50189000.0,2.6,2.55,0.0,953368000.0,74903000.0,79053000.0,14078000.0,248736000.0,72105000.0,-430137000.0,358048000.0,,,147000.0
CAP,2013-06-30,False,Q2,2013,10-Q,52987000.0,27843000.0,16931000.0,0.76,0.75,0.0,1615982000.0,112944000.0,125883000.0,33588000.0,380548000.0,58515000.0,-215703000.0,174912000.0,1067488000.0,,52000.0
CAP,2012-12-31,False,FY,2012,10-K,173925000.0,102886000.0,63465000.0,3.26,3.18,0.0,1387941000.0,95114000.0,106779000.0,17671000.0,346845000.0,106830000.0,-461219000.0,358083000.0,888990000.0,,249000.0
CAP,2011-06-30,False,Q2,2011,10-Q,28759000.0,16920000.0,10880000.0,0.56,0.55,0.0,820559000.0,65435000.0,128662000.0,11064000.0,223930000.0,32327000.0,-230044000.0,193951000.0,,,65000.0
CAI,2017-09-30,False,Q3,2017,10-Q,90161000.0,31894000.0,17587000.0,0.92,0.9,0.0,2356157000.0,137394000.0,355842000.0,34953000.0,498534000.0,104758000.0,-216635000.0,100316000.0,,15794000.0,91000.0
CAI,2018-06-30,False,Q2,2018,10-Q,105705000.0,39919000.0,19149000.0,0.98,0.97,0.0,2720458000.0,180590000.0,375119000.0,24300000.0,628748000.0,78412000.0,-227653000.0,163928000.0,,15794000.0,196000.0
CAI,2018-03-31,False,Q1,2018,10-Q,95374000.0,34716000.0,17117000.0,0.84,0.83,0.0,2555131000.0,151224000.0,328367000.0,22800000.0,622820000.0,39247000.0,-94814000.0,74331000.0,,15794000.0,58000.0
CAI,2018-09-30,False,Q3,2018,10-Q,115452000.0,42881000.0,20006000.0,1.04,1.03,0.0,2999165000.0,199264000.0,486999000.0,23800000.0,696469000.0,139587000.0,-458269000.0,341459000.0,,15794000.0,394000.0
CAI,2017-12-31,False,FY,2017,10-K,348393000.0,111016000.0,72060000.0,3.74,3.68,0.0,2430402000.0,140339000.0,259931000.0,35420000.0,563845000.0,155192000.0,-411751000.0,245625000.0,240400000.0,15794000.0,126000.0
