symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CBAN,2018-09-30,False,Q3,2018,10-Q,14656000.0,,2695000.0,0.32,0.32,0.05,1186196000.0,,,10149000.0,88988000.0,11835000.0,25536000.0,-50367000.0,82729000.0,,2256000.0
CBAN,2011-06-30,False,Q2,2011,10-Q,15766000.0,,189000.0,0.02,0.02,0.0,1197573000.0,,,31506000.0,95592000.0,9404000.0,-49647000.0,-81694000.0,,,173000.0
CBAN,2013-06-30,False,Q2,2013,10-Q,13336000.0,,611000.0,0.07,0.07,0.0,1106454000.0,,,26969000.0,91740000.0,10897000.0,-1827000.0,-31347000.0,64229000.0,,896000.0
CBAN,2013-03-31,False,Q1,2013,10-Q,13374000.0,,567000.0,0.07,0.07,0.0,1118865000.0,,,29574000.0,95437000.0,5300000.0,-3861000.0,-21111000.0,64229000.0,,541000.0
CBAN,2012-03-31,False,Q1,2012,10-Q,14005000.0,,189000.0,0.02,0.02,0.0,1176644000.0,,,47825000.0,97125000.0,6348000.0,-22424000.0,-19471000.0,,,424000.0
CBAN,2011-12-31,False,FY,2011,10-K,61743888.0,,1133595.0,0.13,0.13,0.0,1195376436.0,,,83371842.0,96612810.0,15159896.0,98677019.0,-84614742.0,,,397825.0
CBAN,2012-09-30,False,Q3,2012,10-Q,14651000.0,,411000.0,0.05,0.05,0.0,1097437000.0,,,65023000.0,96369000.0,17412000.0,64020000.0,-99781000.0,54229000.0,,723000.0
CBAN,2012-06-30,False,Q2,2012,10-Q,14347000.0,,403000.0,0.05,0.05,0.0,1133170000.0,,,62606000.0,97009000.0,12064000.0,31020000.0,-63850000.0,59229000.0,,553000.0
CBAN,2011-09-30,False,Q3,2011,10-Q,15155000.0,,208000.0,0.02,0.02,0.0,1145983000.0,,,27338000.0,97931000.0,13489000.0,95594000.0,-135894000.0,,,267000.0
CBAN,2012-12-31,False,FY,2012,10-K,709191.0,,1205913.0,0.14,0.14,0.0,1139396781.0,,,49245833.0,95759167.0,22806632.0,-632260.0,-56300381.0,59229000.0,,845338.0
CBAN,2013-09-30,False,Q3,2013,10-Q,13369000.0,,701000.0,0.08,0.08,0.0,1113141000.0,,,37559000.0,90815000.0,15260000.0,-1724000.0,-25223000.0,64229000.0,,1089000.0
