symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CYMA,2014-03-31,False,Q1,2014,10-Q,,-5115000.0,-10062000.0,-1.02,-1.02,0.0,31196000.0,30933000.0,15521000.0,22342000.0,11376000.0,-5011000.0,550000.0,2402000.0,,,32000.0
CBAY,2018-12-31,False,FY,2018,10-K,,-72505000.0,-72548000.0,-1.25,-1.26,0.0,186747000.0,181562000.0,14415000.0,48995000.0,170418000.0,-54936000.0,-54111000.0,134988000.0,,,529000.0
CYMA,2013-12-31,False,FY,2013,10-K,0.0,-9396000.0,-10073000.0,103.52,-3.54,0.0,32500000.0,32239000.0,9488000.0,24401000.0,18596000.0,-8458000.0,-6231000.0,31364000.0,,,
CYMA,2014-06-30,False,Q2,2014,10-Q,,-5749000.0,-3172000.0,-0.32,-0.56,0.0,26033000.0,25432000.0,13757000.0,8002000.0,8477000.0,-9750000.0,-9054000.0,2405000.0,,,93000.0
CBAY,2015-09-30,False,Q3,2015,10-Q,,-6729000.0,-5865000.0,-0.27,-0.27,0.0,48863000.0,48573000.0,6153000.0,6691000.0,33494000.0,-18128000.0,-17294000.0,30527000.0,,,
CYMA,2014-09-30,False,Q3,2014,10-Q,,-5535000.0,-5961000.0,-0.44,-0.44,0.0,44649000.0,44399000.0,15032000.0,16356000.0,26131000.0,-13642000.0,-19836000.0,25433000.0,,,103000.0
CYMA,2015-03-31,False,Q1,2015,10-Q,,-6776000.0,-2328000.0,-0.15,-0.44,0.0,34730000.0,34492000.0,13664000.0,10841000.0,18268000.0,-6159000.0,1099000.0,4315000.0,,,
CYMA,2014-12-31,False,FY,2014,10-K,,-24008000.0,-31917000.0,-2.65,-2.65,0.0,37474000.0,37229000.0,20459000.0,11586000.0,13850000.0,-21114000.0,-16938000.0,25237000.0,,,103000.0
CBAY,2015-06-30,False,Q2,2015,10-Q,,-6545000.0,-1357000.0,-0.09,-0.09,0.0,28670000.0,28303000.0,8545000.0,11702000.0,17680000.0,-11468000.0,7653000.0,3931000.0,,,
CBAY,2016-03-31,False,Q1,2016,10-Q,,-6889000.0,-6848000.0,-0.29,-0.29,0.0,36770000.0,36490000.0,6747000.0,21197000.0,21846000.0,-6140000.0,19631000.0,,,,0.0
CBAY,2016-09-30,False,Q3,2016,10-Q,,-5664000.0,-5879000.0,-0.25,-0.25,0.0,24786000.0,24480000.0,7751000.0,6821000.0,10212000.0,-17951000.0,17310000.0,-244000.0,,,42000.0
CBAY,2016-12-31,False,FY,2016,10-K,,-25586000.0,-26671000.0,-1.14,-1.14,0.0,19359000.0,18528000.0,9311000.0,10495000.0,3937000.0,-23353000.0,27128000.0,-986000.0,8798000.0,,42000.0
CBAY,2015-12-31,False,FY,2015,10-K,,-25897000.0,-15529000.0,-0.82,-0.83,0.0,43079000.0,42794000.0,6146000.0,7706000.0,28115000.0,-23324000.0,-11083000.0,30527000.0,9308000.0,,
CBAY,2016-06-30,False,Q2,2016,10-Q,,-6346000.0,-6992000.0,-0.3,-0.3,0.0,30475000.0,30164000.0,7542000.0,12411000.0,15421000.0,-12210000.0,16915000.0,,,,37000.0
CBAY,2017-09-30,False,Q3,2017,10-Q,207000.0,-6394000.0,-8234000.0,-0.21,-0.21,0.0,104344000.0,103659000.0,14028000.0,23009000.0,86504000.0,-13560000.0,-72626000.0,98700000.0,,,
CBAY,2017-06-30,False,Q2,2017,10-Q,207000.0,-7626000.0,-8929000.0,-0.31,-0.31,0.0,18732000.0,17869000.0,11988000.0,9509000.0,2139000.0,-8094000.0,-722000.0,7830000.0,,,
CBAY,2017-03-31,False,Q1,2017,10-Q,4793000.0,-2949000.0,-5351000.0,-0.2,-0.2,0.0,25379000.0,24557000.0,10780000.0,13673000.0,9227000.0,-2203000.0,-3224000.0,8605000.0,,,
CBAY,2017-12-31,False,FY,2017,10-K,10000000.0,-21325000.0,-27557000.0,-0.79,-0.79,0.0,104247000.0,103544000.0,16310000.0,23054000.0,84947000.0,-19632000.0,-67528000.0,99719000.0,6098000.0,,27000.0
CBAY,2018-09-30,False,Q3,2018,10-Q,,-21129000.0,-18563000.0,-0.31,-0.34,0.0,203708000.0,202255000.0,13640000.0,41795000.0,188131000.0,-35341000.0,-80882000.0,134964000.0,,,60000.0
CBAY,2018-03-31,False,Q1,2018,10-Q,,-12850000.0,-17005000.0,-0.32,-0.32,0.0,232259000.0,231176000.0,17918000.0,65581000.0,212199000.0,-6441000.0,-89655000.0,138623000.0,,,46000.0
CBAY,2018-06-30,False,Q2,2018,10-Q,,-17971000.0,-17531000.0,-0.3,-0.3,0.0,218168000.0,216715000.0,16916000.0,44726000.0,199213000.0,-19264000.0,-92489000.0,133425000.0,,,46000.0
