symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin,debt,goodwill,cap_ex
CDK,2014-12-31,False,Q2,2015,10-Q,521200000.0,83200000.0,42500000.0,0.26,0.26,0.12,2515200000.0,892100000.0,479700000.0,402200000.0,750800000.0,106300000.0,-222500000.0,131500000.0,996900000.0,1189300000.0,21200000.0
CDK,2014-09-30,False,Q1,2015,10-Q,516000000.0,63100000.0,39100000.0,0.24,0.24,0.0,2470300000.0,824900000.0,458700000.0,355300000.0,735100000.0,21300000.0,-212900000.0,154200000.0,1000000000.0,1207200000.0,11600000.0
CDK,2016-09-30,False,Q1,2017,10-Q,550700000.0,120800000.0,76900000.0,0.51,0.51,0.135,2379600000.0,765700000.0,492400000.0,245600000.0,427100000.0,86800000.0,-16900000.0,-43800000.0,750000000.0,1179300000.0,16800000.0
CDK,2015-03-31,False,Q3,2015,10-Q,526400000.0,98500000.0,56300000.0,0.35,0.35,0.12,2509300000.0,906400000.0,475700000.0,368500000.0,764000000.0,160200000.0,-7800000.0,-163800000.0,993800000.0,1169100000.0,27200000.0
CDK,2015-12-31,False,Q2,2016,10-Q,520100000.0,111300000.0,68200000.0,0.43,0.43,0.135,2516000000.0,917100000.0,443400000.0,347500000.0,595800000.0,25800000.0,-19200000.0,-58300000.0,750000000.0,1187300000.0,18100000.0
CDK,2015-09-30,False,Q1,2016,10-Q,514600000.0,104500000.0,59000000.0,0.37,0.37,0.12,2488500000.0,878700000.0,456200000.0,359600000.0,804300000.0,5200000.0,-15900000.0,-34100000.0,750000000.0,1197300000.0,8100000.0
CDK,2016-12-31,False,Q2,2017,10-Q,547800000.0,131400000.0,82700000.0,0.56,0.55,0.14,2444900000.0,861700000.0,495600000.0,327600000.0,126400000.0,173400000.0,-35800000.0,-20700000.0,750000000.0,1159200000.0,29700000.0
CDK,2016-03-31,False,Q3,2016,10-Q,537700000.0,89200000.0,53800000.0,0.35,0.34,0.135,2672800000.0,1023700000.0,536600000.0,464100000.0,650900000.0,206900000.0,-60600000.0,-86500000.0,750000000.0,1202200000.0,35000000.0
CDK,2015-06-30,False,FY,2015,10-K,2063500000.0,322200000.0,178400000.0,1.11,1.1,0.0,2518500000.0,885200000.0,498400000.0,408200000.0,784100000.0,267900000.0,-40800000.0,-199900000.0,750000000.0,1209900000.0,44000000.0
CDK,2017-03-31,False,Q3,2017,10-Q,556300000.0,124300000.0,77300000.0,0.53,0.53,0.14,2557100000.0,963300000.0,548000000.0,385200000.0,208000000.0,287200000.0,-67500000.0,-48400000.0,750000000.0,1165800000.0,47000000.0
CDK,2017-06-30,False,FY,2017,10-K,2220200000.0,489200000.0,295600000.0,2.01,1.99,0.0,2883100000.0,1278800000.0,552600000.0,726100000.0,-56800000.0,431000000.0,-87900000.0,159900000.0,1350000000.0,1181200000.0,62400000.0
CDK,2016-06-30,False,FY,2016,10-K,2114600000.0,402500000.0,239300000.0,1.52,1.51,0.0,2365000000.0,738700000.0,523400000.0,219100000.0,376200000.0,320100000.0,-81600000.0,-419300000.0,750000000.0,1182700000.0,50800000.0
